"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EAMCH5R7","journalArticle","2021","Cambra-Badii, I.; Guardiola, E.; Baños, J.-E.","Frankenstein; or, the modern Prometheus: a classic novel to stimulate the analysis of complex contemporary issues in biomedical sciences","BMC Medical Ethics","","14726939","10.1186/s12910-021-00586-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101400240&doi=10.1186%2fs12910-021-00586-7&partnerID=40&md5=19817584595dd07a32d471c1efefce55","Background: Advances in biomedicine can substantially change human life. However, progress is not always followed by ethical reflection on its consequences or scientists’ responsibility for their creations. The humanities can help health sciences students learn to critically analyse these issues; in particular, literature can aid discussions about ethical principles in biomedical research. Mary Shelley’s Frankenstein; or, the modern Prometheus (1818) is an example of a classic novel presenting complex scenarios that could be used to stimulate discussion. Main text: Within the framework of the 200th anniversary of the novel, we searched PubMed to identify works that explore and discuss its value in teaching health sciences. Our search yielded 56 articles, but only two of these reported empirical findings. Our analysis of these articles identified three main approaches to using Frankenstein in teaching health sciences: discussing the relationship between literature and science, analysing ethical issues in biomedical research, and examining the importance of empathy and compassion in healthcare and research. After a critical discussion of the articles, we propose using Frankenstein as a teaching tool to prompt students to critically analyse ethical aspects of scientific and technological progress, the need for compassion and empathy in medical research, and scientists’ responsibility for their discoveries. Conclusion: Frankenstein can help students reflect on the personal and social limits of science, the connection between curiosity and scientific progress, and scientists’ responsibilities. Its potential usefulness in teaching derives from the interconnectedness of science, ethics, and compassion. Frankenstein can be a useful tool for analysing bioethical issues related to scientific and technological advances, such as artificial intelligence, genetic engineering, and cloning. Empirical studies measuring learning outcomes are necessary to confirm the usefulness of this approach. © 2021, The Author(s).","2021","2021-04-20 16:38:27","2021-04-20 16:38:27","","","","1","22","","","","","","","","","","English","","","","","","","Publisher: BioMed Central Ltd","<p>cited By 0</p>","","","article; artificial intelligence; bioethics; empathy; empiricism; genetic engineering; human; human experiment; learning; medical research; Medline; responsibility; systematic review; teaching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LFIZY8RL","journalArticle","2021","Kiesow, H.; Spreng, R.N.; Holmes, A.J.; Chakravarty, M.M.; Marquand, A.F.; Yeo, B.T.T.; Bzdok, D.","Deep learning identifies partially overlapping subnetworks in the human social brain","Communications Biology","","23993642","10.1038/s42003-020-01559-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099382680&doi=10.1038%2fs42003-020-01559-z&partnerID=40&md5=6fa716c14a9bf81828cfd5652c23f05f","Complex social interplay is a defining property of the human species. In social neuroscience, many experiments have sought to first define and then locate ‘perspective taking’, ‘empathy’, and other psychological concepts to specific brain circuits. Seldom, bottom-up studies were conducted to first identify explanatory patterns of brain variation, which are then related to psychological concepts; perhaps due to a lack of large population datasets. In this spirit, we performed a systematic de-construction of social brain morphology into its elementary building blocks, involving 10,000 UK Biobank participants. We explored coherent representations of structural co-variation at population scale within a recent social brain atlas, by translating autoencoder neural networks from deep learning. The learned subnetworks revealed essential patterns of structural relationships between social brain regions, with the nucleus accumbens, medial prefrontal cortex, and temporoparietal junction embedded at the core. Some of the uncovered subnetworks contributed to predicting examined social traits in general, while other subnetworks helped predict specific facets of social functioning, such as the experience of social isolation. As a consequence of our population-level evidence, spatially overlapping subsystems of the social brain probably relate to interindividual differences in everyday social life. © 2021, The Author(s).","2021","2021-04-20 16:38:27","2021-04-20 16:38:27","","","","1","4","","","","","","","","","","English","","","","","","","Publisher: Nature Research","<p>cited By 0</p>","","","adult; article; autoencoder; biobank; brain region; deep learning; female; human; human experiment; language; major clinical study; male; medial prefrontal cortex; nerve cell network; nucleus accumbens; social interaction; social isolation; social life; temporoparietal junction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HVCDT45L","journalArticle","2021","Pozharliev, R.; De Angelis, M.; Rossi, D.; Romani, S.; Verbeke, W.; Cherubino, P.","Attachment styles moderate customer responses to frontline service robots: Evidence from affective, attitudinal, and behavioral measures","Psychology and Marketing","","07426046","10.1002/mar.21475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102376850&doi=10.1002%2fmar.21475&partnerID=40&md5=580e99d22b71187f8d39c58e61bf0f5b","Despite the growing application of interactive technologies like service robots in customer service, there is limited understanding about how customers respond to interactions with frontline service robots compared to those with frontline human employees. Moreover, it is unclear whether all customers respond to the interaction with frontline service robots in the same way. Our research looks at how individual differences in social behaviors, specifically in customers' attachment styles, influence three types of customer responses: affective responses (experienced pleasantness), attitudinal responses (perceived empathy, satisfaction), and behavioral responses (word-of-mouth). Three experimental studies reveal that customers with low (vs. high) scores on anxious attachment style (AAS) measures respond more negatively to frontline service robot (compared to a frontline human agent). We investigate alternative explanations for these findings, such as robots' level of anthropomorphism and we show that human-likeness features such as voice type and level of human-like physical appearance, cannot explain our findings. Our results indicate that for low-AAS customers replacing frontline human service agent with frontline robot undermines customer attitude and behavioral responses to service robots, leading to possible implications on customer segmentation, targeting, and marketing communication. © 2021 Wiley Periodicals LLC","2021","2021-04-20 16:38:27","2021-04-20 16:38:27","","881-895","","5","38","","","","","","","","","","English","","","","","","","Publisher: John Wiley and Sons Inc","<p>cited By 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LW7TG96I","journalArticle","2021","Dorn, A.W.; Dawson, P.F.","Simulating Peace Operations: New Digital Possibilities for Training and Public Education","Simulation and Gaming","","10468781","10.1177/1046878120968605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095452183&doi=10.1177%2f1046878120968605&partnerID=40&md5=fa1122832b21ccc429123ceace2be44d","Background and Motivation.: A plethora of warfighting games exist commercially, but there is a lack of digital games that deal with peace processes. Furthermore, none simulate actual peacekeeping. The United Nations currently deploys about 100,000 peacekeepers to some of the world’s most dangerous zones, where peacekeepers save lives, alleviate suffering, and help create conditions for peace. The United Nations and national militaries lack peacekeeping simulations to help train their soldiers. Additionally, the public needs to learn more about the way peacekeeping works. Thus, peacekeeping simulation and gaming are worth exploring, especially in the rapidly evolving digital space, which offers new avenues and benefits. Methods.: We review the meager literature on the subject and observe that there are few digital games to directly draw from. We build on previous work that argued the need for such development, but we now assess important design principles and parameters. We draw upon peacekeeping tabletop exercises that are already well developed. Results.: We conclude that excellent scenarios and simulation technologies exist that could be combined quite easily for effective peacekeeping training and public education. We find key materials and scenarios in exercises of the United Nations and of the Pearson Peacekeeping Centre. Highlighted areas for future digital design are the inclusion of non-military avatars, emphasis on soft skills development (especially empathy), and realistically complex links between actions and consequences. Conclusion.: While describing some UN exploration at a proof-of-concept stage, we suggest that both the United Nations and the gaming industry should explore the idea further to achieve synergies between institutional and entertainment applications. The growing capacity of digital technology allows significant innovation, yielding results that could be useful, ethical, enjoyable, and potentially profitable. © 2020 SAGE Publications.","2021","2021-04-20 16:38:27","2021-04-20 16:38:27","","226-242","","2","52","","","","","","","","","","English","","","","","","","Publisher: SAGE Publications Inc.","<p>cited By 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERBKS5YW","conferencePaper","2021","Urakami, J.; Sutthithatip, S.","Building a collaborative relationship between human and robot through verbal and non-verbal interaction","ACM/IEEE International Conference on Human-Robot Interaction","978-1-4503-8290-8","","10.1145/3434074.3447171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102771962&doi=10.1145%2f3434074.3447171&partnerID=40&md5=fecbf983f69e99c7fb201e98b4f4d83e","Interpersonal communication and relationship building promote successful collaborations. This study investigated the effect of conversational nonverbal and verbal interactions of a robot on bonding and relationship building with a human partner. Participants interacted with two robots that differed in their nonverbal and verbal expressiveness. The interactive robot actively engaged the participant in a conversation before, during and after a collaborative task whereas the non-interactive robot remained passive. The robots' nonverbal and verbal interactions increased participants' perception of the robot as a social actor and strengthened bonding and relationship building between human and robot. The results of our study indicate that the evaluation of the collaboration improves when the robot maintains eye contact, the robot is attributed a certain personality, and the robot is perceived as being alive. Our study could not show that an interactive robot receives more help by the collaboration partner. Future research should investigate additional factors that facilitate helpful behavior among humans, such as similarity, attributional judgement and empathy. © 2021 ACM.","2021","2021-04-20 16:38:27","2021-04-20 16:38:27","","257-261","","","","","","","","","","","IEEE Computer Society","","English","","","","","","","ISSN: 21672148","<p>cited By 0; Conference of 2021 ACM/IEEE International Conference on Human-Robot Interaction, HRI 2021 ; Conference Date: 8 March 2021 Through 11 March 2021; Conference Code:167645</p>","","","Agricultural robots; Collaboration partner; Collaborative relationships; Collaborative tasks; Inter-personal communications; Interactive robot; Man machine systems; Relationship building; Robot learning; Social actors; Social robots; Verbal interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9BRVWWVM","conferencePaper","2021","Chirapornchai, C.; Bremner, P.; Daly, J.E.","Helper's high with a robot pet","ACM/IEEE International Conference on Human-Robot Interaction","978-1-4503-8290-8","","10.1145/3434074.3447165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102737723&doi=10.1145%2f3434074.3447165&partnerID=40&md5=c942af818e402ab356da6eb5f8cb4f0c","Helper's high is the phenomenon that helping someone or something else can lead to psychological benefits such as mood improvement. This study investigates if a robot pet can, like a real pet, induce helpers high in people interacting with it. A Vector robot was programmed to express the need for daily exercise and attention, and participants were instructed how to help the robot meet those needs. Our within subjects design had two conditions: with and without emotional behaviour modifiers to the robot's behaviour. Our primary research question is whether behaviours that conveyed emotion as well as needs would lead to empathy in the participants, which would create a stronger helper's high effect than purely functional need expression behaviours. We present a long-term (4 day) remote study design that not only facilitates the kind of interactions needed for helper's high, but abides by government guidelines on Covid-19 safety (under which a laboratory study is not possible). Preliminary results suggest that Vector was able to improve the mood of some participants, and mood changes tend to be greater when Vector expressed behaviours with emotional components. Our post-study interview data suggests that individual differences in living environment and mood impacting external factors, affected Vector's efficacy in mood influencing. © 2021 ACM.","2021","2021-04-20 16:38:28","2021-04-20 16:38:28","","229-233","","","","","","","","","","","IEEE Computer Society","","English","","","","","","","ISSN: 21672148","<p>cited By 0; Conference of 2021 ACM/IEEE International Conference on Human-Robot Interaction, HRI 2021 ; Conference Date: 8 March 2021 Through 11 March 2021; Conference Code:167645</p>","","","Agricultural robots; External factors; Human robot interaction; Individual Differences; Laboratory studies; Living environment; Machine design; Man machine systems; Purely functional; Research questions; Study design; Vectors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZXR73UKD","journalArticle","2021","Andreotta, A.J.","The hard problem of AI rights","AI and Society","","09515666","10.1007/s00146-020-00997-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085877284&doi=10.1007%2fs00146-020-00997-x&partnerID=40&md5=bd9018524171b9ac98aa2157ae1ac084","In the past few years, the subject of AI rights—the thesis that AIs, robots, and other artefacts (hereafter, simply ‘AIs’) ought to be included in the sphere of moral concern—has started to receive serious attention from scholars. In this paper, I argue that the AI rights research program is beset by an epistemic problem that threatens to impede its progress—namely, a lack of a solution to the ‘Hard Problem’ of consciousness: the problem of explaining why certain brain states give rise to experience. To motivate this claim, I consider three ways in which to ground AI rights—namely: superintelligence, empathy, and a capacity for consciousness. I argue that appeals to superintelligence and empathy are problematic, and that consciousness should be our central focus, as in the case of animal rights. However, I also argue that AI rights is disanalogous from animal rights in an important respect: animal rights can proceed without a solution to the ‘Hard Problem’ of consciousness. Not so with AI rights, I argue. There we cannot make the same kinds of assumptions that we do about animal consciousness, since we still do not understand why brain states give rise to conscious mental states in humans. © 2020, Springer-Verlag London Ltd., part of Springer Nature.","2021","2021-04-20 16:38:28","2021-04-20 16:38:28","","19-32","","1","36","","","","","","","","","","English","","","","","","","Publisher: Springer Science and Business Media Deutschland GmbH","<p>cited By 0</p>","","","Animal rights; Animals; Brain state; Hard problems; Mental state; Moral concerns; Research programs; Superintelligence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W4G4RG7F","journalArticle","2021","Riddoch, K.A.; Cross, E.S.","“Hit the Robot on the Head With This Mallet” – Making a Case for Including More Open Questions in HRI Research","Frontiers in Robotics and AI","","22969144","10.3389/frobt.2021.603510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102476565&doi=10.3389%2ffrobt.2021.603510&partnerID=40&md5=f5a5c2b9d0bd196319223ba0af859cd1","Researchers continue to devise creative ways to explore the extent to which people perceive robots as social agents, as opposed to objects. One such approach involves asking participants to inflict ‘harm’ on a robot. Researchers are interested in the length of time between the experimenter issuing the instruction and the participant complying, and propose that relatively long periods of hesitation might reflect empathy for the robot, and perhaps even attribution of human-like qualities, such as agency and sentience. In a recent experiment, we adapted the so-called ‘hesitance to hit’ paradigm, in which participants were instructed to hit a humanoid robot on the head with a mallet. After standing up to do so (signaling intent to hit the robot), participants were stopped, and then took part in a semi-structured interview to probe their thoughts and feelings during the period of hesitation. Thematic analysis of the responses indicate that hesitation not only reflects perceived socialness, but also other factors including (but not limited to) concerns about cost, mallet disbelief, processing of the task instruction, and the influence of authority. The open-ended, free responses participants provided also offer rich insights into individual differences with regards to anthropomorphism, perceived power imbalances, and feelings of connection toward the robot. In addition to aiding understanding of this measurement technique and related topics regarding socialness attribution to robots, we argue that greater use of open questions can lead to exciting new research questions and interdisciplinary collaborations in the domain of social robotics. © Copyright © 2021 Riddoch and Cross.","2021","2021-04-20 16:38:28","2021-04-20 16:38:28","","","","","8","","","","","","","","","","English","","","","","","","Publisher: Frontiers Media S.A.","<p>cited By 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIYGHKXU","journalArticle","2021","Babel, F.; Kraus, J.M.; Baumann, M.","Development and Testing of Psychological Conflict Resolution Strategies for Assertive Robots to Resolve Human–Robot Goal Conflict","Frontiers in Robotics and AI","","22969144","10.3389/frobt.2020.591448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100979428&doi=10.3389%2ffrobt.2020.591448&partnerID=40&md5=1559635c8cb5c0ff77d426050b3d793f","As service robots become increasingly autonomous and follow their own task-related goals, human-robot conflicts seem inevitable, especially in shared spaces. Goal conflicts can arise from simple trajectory planning to complex task prioritization. For successful human-robot goal-conflict resolution, humans and robots need to negotiate their goals and priorities. For this, the robot might be equipped with effective conflict resolution strategies to be assertive and effective but similarly accepted by the user. In this paper, conflict resolution strategies for service robots (public cleaning robot, home assistant robot) are developed by transferring psychological concepts (e.g., negotiation, cooperation) to HRI. Altogether, fifteen strategies were grouped by the expected affective outcome (positive, neutral, negative). In two online experiments, the acceptability of and compliance with these conflict resolution strategies were tested with humanoid and mechanic robots in two application contexts (public: n1 = 61; private: n2 = 93). To obtain a comparative value, the strategies were also applied by a human. As additional outcomes trust, fear, arousal, and valence, as well as perceived politeness of the agent were assessed. The positive/neutral strategies were found to be more acceptable and effective than negative strategies. Some negative strategies (i.e., threat, command) even led to reactance and fear. Some strategies were only positively evaluated and effective for certain agents (human or robot) or only acceptable in one of the two application contexts (i.e., approach, empathy). Influences on strategy acceptance and compliance in the public context could be found: acceptance was predicted by politeness and trust. Compliance was predicted by interpersonal power. Taken together, psychological conflict resolution strategies can be applied in HRI to enhance robot task effectiveness. If applied robot-specifically and context-sensitively they are accepted by the user. The contribution of this paper is twofold: conflict resolution strategies based on Human Factors and Social Psychology are introduced and empirically evaluated in two online studies for two application contexts. Influencing factors and requirements for the acceptance and effectiveness of robot assertiveness are discussed. © Copyright © 2021 Babel, Kraus and Baumann.","2021","2021-04-20 16:38:28","2021-04-20 16:38:28","","","","","7","","","","","","","","","","English","","","","","","","Publisher: Frontiers Media S.A.","<p>cited By 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ITKU2ZLR","journalArticle","2021","Chang, W.; Wang, H.; Yan, G.; Lu, Z.; Liu, C.; Hua, C.","EEG based functional connectivity analysis of human pain empathy towards humans and robots","Neuropsychologia","","00283932","10.1016/j.neuropsychologia.2020.107695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097757961&doi=10.1016%2fj.neuropsychologia.2020.107695&partnerID=40&md5=95c990a62e5739f884d45547193f3cab","Humans can show emotional reactions toward humanoid robots, such as empathy. Previous neuroimaging studies have indicated that neural responses of empathy for others' pain are modulated by an early automatic emotional sharing and a late controlled cognitive evaluation process. Recent studies about pain empathy for robots found humans present similar empathy process towards humanoid robots under painful stimuli as well as to humans. However, the whole-brain functional connectivity and the spatial dynamics of neural activities underlying empathic processes are still unknown. In the present study, the functional connectivity was investigated for ERPs recorded from 18 healthy adults who were presented with pictures of human hand and robot hand under painful and non-painful situations. Functional brain networks for both early and late empathy responses were constructed and a new parameter, empathy index (EI), was proposed to represent the empathy ability of humans quantitatively. We found that the mutual dependences between early ERP components was significantly decreased, but for the late components, there were no significant changes. The mutual dependences for human hand stimuli were larger than to robot hand stimuli for early components, but not for late components. The connectivity weights for early components were larger than late components. EI value shows significant difference between painful and non-painful stimuli, indicating it is a good indicator to represent the empathy of humans. This study enriches our understanding of the neurological mechanisms implicated in human empathy, and provides evidence of functional connectivity for both early and late responses of pain empathy towards humans and robots. © 2020 Elsevier Ltd","2021","2021-04-20 16:38:28","2021-04-20 16:38:28","","","","","151","","","","","","","","","","English","","","","","","","Publisher: Elsevier Ltd","<p>cited By 0</p>","","","adult; Article; brain region; electroencephalogram; empathy; event related potential; female; functional connectivity; hand pain; human; human experiment; male; normal human; pain empathy; pain threshold; reaction time; robotics; stimulus response; young adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
