"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VM32RABW","journalArticle","","Malinowska, Joanna K.","What Does It Mean to Empathise with a Robot?","MINDS AND MACHINES","","0924-6495","10.1007/s11023-021-09558-7","","Given that empathy allows people to form and maintain satisfying social relationships with other subjects, it is no surprise that this is one of the most studied phenomena in the area of human-robot interaction (HRI). But the fact that the term `empathy' has strong social connotations raises a question: can it be applied to robots? Can we actually use social terms and explanations in relation to these inanimate machines? In this article, I analyse the range of uses of the term empathy in the field of HRI studies and social robotics, and consider the substantial, functional and relational positions on this issue. I focus on the relational (cooperational) perspective presented by Luisa Damiano and Paul Dumouchel, who interpret emotions (together with empathy) as being the result of affective coordination. I also reflect on the criteria that should be used to determine when, in such relations, we are dealing with actual empathy.","","2021-04-19 15:55:59","2021-04-19 15:55:59","","","","","","","","","","","","","","","English","","","","","","","Place: VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS Publisher: SPRINGER Type: Article; Early Access","","","","","Empathy; Human&#8211; Neuroscience; robot interactions; Social robots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VMFQK9GU","journalArticle","","Pozharliev, Rumen; De Angelis, Matteo; Rossi, Dario; Romani, Simona; Verbeke, Willem; Cherubino, Patrizia","Attachment styles moderate customer responses to frontline service robots: Evidence from affective, attitudinal, and behavioral measures","PSYCHOLOGY & MARKETING","","0742-6046","10.1002/mar.21475","","Despite the growing application of interactive technologies like service robots in customer service, there is limited understanding about how customers respond to interactions with frontline service robots compared to those with frontline human employees. Moreover, it is unclear whether all customers respond to the interaction with frontline service robots in the same way. Our research looks at how individual differences in social behaviors, specifically in customers' attachment styles, influence three types of customer responses: affective responses (experienced pleasantness), attitudinal responses (perceived empathy, satisfaction), and behavioral responses (word-of-mouth). Three experimental studies reveal that customers with low (vs. high) scores on anxious attachment style (AAS) measures respond more negatively to frontline service robot (compared to a frontline human agent). We investigate alternative explanations for these findings, such as robots' level of anthropomorphism and we show that human-likeness features such as voice type and level of human-like physical appearance, cannot explain our findings. Our results indicate that for low-AAS customers replacing frontline human service agent with frontline robot undermines customer attitude and behavioral responses to service robots, leading to possible implications on customer segmentation, targeting, and marketing communication.","","2021-04-19 15:55:59","2021-04-19 15:55:59","","","","","","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article; Early Access","","","","","anthropomorphism; attachment styles; empathy; service robots; social response","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6C2CXDDG","journalArticle","2021","Riddoch, Katie A.; Cross, Emily S.","“Hit the Robot on the Head With This Mallet” - Making a Case for Including More Open Questions in HRI Research","FRONTIERS IN ROBOTICS AND AI","","2296-9144","10.3389/frobt.2021.603510","","Researchers continue to devise creative ways to explore the extent to which people perceive robots as social agents, as opposed to objects. One such approach involves asking participants to inflict `harm' on a robot. Researchers are interested in the length of time between the experimenter issuing the instruction and the participant complying, and propose that relatively long periods of hesitation might reflect empathy for the robot, and perhaps even attribution of human-like qualities, such as agency and sentience. In a recent experiment, we adapted the so-called `hesitance to hit' paradigm, in which participants were instructed to hit a humanoid robot on the head with a mallet. After standing up to do so (signaling intent to hit the robot), participants were stopped, and then took part in a semi-structured interview to probe their thoughts and feelings during the period of hesitation. Thematic analysis of the responses indicate that hesitation not only reflects perceived socialness, but also other factors including (but not limited to) concerns about cost, mallet disbelief, processing of the task instruction, and the influence of authority. The open-ended, free responses participants provided also offer rich insights into individual differences with regards to anthropomorphism, perceived power imbalances, and feelings of connection toward the robot. In addition to aiding understanding of this measurement technique and related topics regarding socialness attribution to robots, we argue that greater use of open questions can lead to exciting new research questions and interdisciplinary collaborations in the domain of social robotics.","2021-02-25","2021-04-19 15:56:00","2021-04-19 15:56:00","","","","","8","","","","","","","","","","English","","","","","","","Place: AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND Publisher: FRONTIERS MEDIA SA Type: Article","","","","","empathy; human- robot interaction; prosocial behaviour; qualitative research; social perception; social robotics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QQBA9CW2","journalArticle","2021","Cambra-Badii, Irene; Guardiola, Elena; Banos, Josep-E.","Frankenstein; or, the modern Prometheus: a classic novel to stimulate the analysis of complex contemporary issues in biomedical sciences","BMC MEDICAL ETHICS","","1472-6939","10.1186/s12910-021-00586-7","","Background Advances in biomedicine can substantially change human life. However, progress is not always followed by ethical reflection on its consequences or scientists' responsibility for their creations. The humanities can help health sciences students learn to critically analyse these issues; in particular, literature can aid discussions about ethical principles in biomedical research. Mary Shelley's Frankenstein; or, the modern Prometheus (1818) is an example of a classic novel presenting complex scenarios that could be used to stimulate discussion. Main text Within the framework of the 200th anniversary of the novel, we searched PubMed to identify works that explore and discuss its value in teaching health sciences. Our search yielded 56 articles, but only two of these reported empirical findings. Our analysis of these articles identified three main approaches to using Frankenstein in teaching health sciences: discussing the relationship between literature and science, analysing ethical issues in biomedical research, and examining the importance of empathy and compassion in healthcare and research. After a critical discussion of the articles, we propose using Frankenstein as a teaching tool to prompt students to critically analyse ethical aspects of scientific and technological progress, the need for compassion and empathy in medical research, and scientists' responsibility for their discoveries. Conclusion Frankenstein can help students reflect on the personal and social limits of science, the connection between curiosity and scientific progress, and scientists' responsibilities. Its potential usefulness in teaching derives from the interconnectedness of science, ethics, and compassion. Frankenstein can be a useful tool for analysing bioethical issues related to scientific and technological advances, such as artificial intelligence, genetic engineering, and cloning. Empirical studies measuring learning outcomes are necessary to confirm the usefulness of this approach.","2021-02-23","2021-04-19 15:56:00","2021-04-19 15:56:00","","","","1","22","","","","","","","","","","English","","","","","","","Place: CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND Publisher: BMC Type: Article","","","","","Bioethics; Frankenstein; Health sciences; responsibility; Science fiction; Scientists&#8217; Teaching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96V9YMJ9","journalArticle","2021","Nanetti, Andrea","Defining Heritage Science: A Consilience Pathway to Treasuring the Complexity of Inheritable Human Experiences through Historical Method, AI, and ML","COMPLEXITY","","1076-2787","10.1155/2021/4703820","","Societies have always used their heritage to remain resilient and to express their cultural identities. Today, all the still-available experiences accrued by human societies over time and across space are, in principle, essential in coping with the twenty-first century grand challenges of humanity (refer to the 17 UN Sustainable Development Goals). Artificial intelligence and machine learning algorithms can assist the next generation of historians, heritage stakeholders, and decision-makers in (1) decoding unstructured knowledge and wisdom embedded in selected cultural artefacts and social rituals, (2) encoding data in machine-readable systems, (3) aggregating information according to the user's needs in real time, and (4) simulating the consequences of either erasing, neglecting, putting in latency, or preserving and sharing specific human experiences. What our global society needs is a multilingual and transcultural approach to decode-encode the treasure of human experience and transmit it to the next generation of world citizens. This approach can be the pathway to work on a new science of heritage, its ethics, and empathy.","2021-02-15","2021-04-19 15:56:00","2021-04-19 15:56:00","","","","","2021","","","","","","","","","","English","","","","","","","Place: ADAM HOUSE, 3RD FL, 1 FITZROY SQ, LONDON, WIT 5HE, ENGLAND Publisher: WILEY-HINDAWI Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JMTWQRWQ","journalArticle","2021","Babel, Franziska; Kraus, Johannes M.; Baumann, Martin","Development and Testing of Psychological Conflict Resolution Strategies for Assertive Robots to Resolve Human-Robot Goal Conflict","FRONTIERS IN ROBOTICS AND AI","","2296-9144","10.3389/frobt.2020.591448","","As service robots become increasingly autonomous and follow their own task-related goals, human-robot conflicts seem inevitable, especially in shared spaces. Goal conflicts can arise from simple trajectory planning to complex task prioritization. For successful human-robot goal-conflict resolution, humans and robots need to negotiate their goals and priorities. For this, the robot might be equipped with effective conflict resolution strategies to be assertive and effective but similarly accepted by the user. In this paper, conflict resolution strategies for service robots (public cleaning robot, home assistant robot) are developed by transferring psychological concepts (e.g., negotiation, cooperation) to HRI. Altogether, fifteen strategies were grouped by the expected affective outcome (positive, neutral, negative). In two online experiments, the acceptability of and compliance with these conflict resolution strategies were tested with humanoid and mechanic robots in two application contexts (public: n(1) = 61; private: n(2) = 93). To obtain a comparative value, the strategies were also applied by a human. As additional outcomes trust, fear, arousal, and valence, as well as perceived politeness of the agent were assessed. The positive/neutral strategies were found to be more acceptable and effective than negative strategies. Some negative strategies (i.e., threat, command) even led to reactance and fear. Some strategies were only positively evaluated and effective for certain agents (human or robot) or only acceptable in one of the two application contexts (i.e., approach, empathy). Influences on strategy acceptance and compliance in the public context could be found: acceptance was predicted by politeness and trust. Compliance was predicted by interpersonal power. Taken together, psychological conflict resolution strategies can be applied in HRI to enhance robot task effectiveness. If applied robot-specifically and context-sensitively they are accepted by the user. The contribution of this paper is twofold: conflict resolution strategies based on Human Factors and Social Psychology are introduced and empirically evaluated in two online studies for two application contexts. Influencing factors and requirements for the acceptance and effectiveness of robot assertiveness are discussed.","2021-01-26","2021-04-19 15:56:00","2021-04-19 15:56:00","","","","","7","","","","","","","","","","English","","","","","","","Place: AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND Publisher: FRONTIERS MEDIA SA Type: Article","","","","","acceptance; HRI strategies; persuasive robots; robot assertiveness; trust; user compliance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UBNLRTZ5","journalArticle","","Dollmat, Khairi Shazwan; Abdullah, Nor Aniza","Machine learning in emotional intelligence studies: a survey","BEHAVIOUR & INFORMATION TECHNOLOGY","","0144-929X","10.1080/0144929X.2021.1877356","","Research has proven that having high level of emotional intelligence (EI) can reduce the chance of getting mental illness. EI, and its component, can be improved with training, but currently the process is less flexible and very time-consuming. Machine learning (ML), on the other hand, can analyse huge amount of data to discover useful trends and patterns in shortest time possible. Despite the benefits, ML usage in EI training is scarce. In this paper, we studied 92 journal articles to discover the trend of the ML utilisation in the study of EI and its components. This survey aims to pave way for future studies that could lead to implementation of ML in EI training, and to rope in researchers in psychology and computer science to find possibilities of having a generic ML algorithm for every EI's components. Our findings show an increasing trend to apply ML on EI components, and Support Vector Machine and Neural Network are the two most popular ML algorithms used in those researches. We also found that social skill and empathy are the least exposed EI components to ML. Finally, we provide recommendations for future research direction of ML in EI domain, and EI in ML.","","2021-04-19 15:56:00","2021-04-19 15:56:00","","","","","","","","","","","","","","","English","","","","","","","Place: 2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND Publisher: TAYLOR & FRANCIS LTD Type: Article; Early Access","","","","","emotional intelligence; Machine learning; Neural Network; Support Vector Machine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59JB7DRD","journalArticle","2021","Chang, Wenwen; Wang, Hong; Yan, Guanghui; Lu, Zhiguo; Liu, Chong; Hua, Chengcheng","EEG based functional connectivity analysis of human pain empathy towards humans and robots","NEUROPSYCHOLOGIA","","0028-3932","10.1016/j.neuropsychologia.2020.107695","","Humans can show emotional reactions toward humanoid robots, such as empathy. Previous neuroimaging studies have indicated that neural responses of empathy for others' pain are modulated by an early automatic emotional sharing and a late controlled cognitive evaluation process. Recent studies about pain empathy for robots found humans present similar empathy process towards humanoid robots under painful stimuli as well as to humans. However, the whole-brain functional connectivity and the spatial dynamics of neural activities underlying empathic processes are still unknown. In the present study, the functional connectivity was investigated for ERPs recorded from 18 healthy adults who were presented with pictures of human hand and robot hand under painful and non-painful situations. Functional brain networks for both early and late empathy responses were constructed and a new parameter, empathy index (EI), was proposed to represent the empathy ability of humans quantitatively. We found that the mutual dependences between early ERP components was significantly decreased, but for the late components, there were no significant changes. The mutual dependences for human hand stimuli were larger than to robot hand stimuli for early components, but not for late components. The connectivity weights for early components were larger than late components. EI value shows significant difference between painful and non-painful stimuli, indicating it is a good indicator to represent the empathy of humans. This study enriches our understanding of the neurological mechanisms implicated in human empathy, and provides evidence of functional connectivity for both early and late responses of pain empathy towards humans and robots.","2021-01-22","2021-04-19 15:56:00","2021-04-19 15:56:00","","","","","151","","","","","","","","","","English","","","","","","","Place: THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND Publisher: PERGAMON-ELSEVIER SCIENCE LTD Type: Article","","","","","EEG; Empathy; Empathy index; Functional connectivity; Human-robot interaction; Mutual information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9LGEK4RD","journalArticle","2021","Kiesow, Hannah; Spreng, R. Nathan; Holmes, Avram J.; Chakravarty, M. Mallar; Marquand, Andre F.; Yeo, B. T. Thomas; Bzdok, Danilo","Deep learning identifies partially overlapping subnetworks in the human social brain","COMMUNICATIONS BIOLOGY","","","10.1038/s42003-020-01559-z","","Complex social interplay is a defining property of the human species. In social neuroscience, many experiments have sought to first define and then locate `perspective taking', `empathy', and other psychological concepts to specific brain circuits. Seldom, bottom-up studies were conducted to first identify explanatory patterns of brain variation, which are then related to psychological concepts; perhaps due to a lack of large population datasets. In this spirit, we performed a systematic de-construction of social brain morphology into its elementary building blocks, involving similar to 10,000 UK Biobank participants. We explored coherent representations of structural co-variation at population scale within a recent social brain atlas, by translating autoencoder neural networks from deep learning. The learned subnetworks revealed essential patterns of structural relationships between social brain regions, with the nucleus accumbens, medial prefrontal cortex, and temporoparietal junction embedded at the core. Some of the uncovered subnetworks contributed to predicting examined social traits in general, while other subnetworks helped predict specific facets of social functioning, such as the experience of social isolation. As a consequence of our population-level evidence, spatially overlapping subsystems of the social brain probably relate to interindividual differences in everyday social life. Kiesow et al. use deep learning to identify partially overlapping subnetworks in the human social brain at the population level. They also demonstrate that the learned subnetwork representations can be used to predict social traits.","2021-01-14","2021-04-19 15:56:01","2021-04-19 15:56:01","","","","1","4","","","","","","","","","","English","","","","","","","Place: HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY Publisher: NATURE RESEARCH Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C85BUWKL","journalArticle","2021","Irfan, Farhana","Artificial Intelligence: Help or Hindrance for Family Physicians?","PAKISTAN JOURNAL OF MEDICAL SCIENCES","","1682-024X","10.12669/pjms.37.1.3351","","The use of Artificial Intelligence (AI) and related technologies is rapidly increasing and its application in clinical practice is a promising area of development. Artificial Intelligence can be a solution in the future as a physician's new assistant; AI-physician combinations can act like models of `peaceful co-existence'. While it has the potential to mold many dimensions of patient care and can augment quality improvement, it cannot replace a family physician's diagnostic intelligence, empathy and relationships. Physicians need to strike a balance between these combinations for better health outcomes without increasing patients' frustration.","2021-02","2021-04-19 15:56:01","2021-04-19 15:56:01","","288-291","","1","37","","","","","","","","","","English","","","","","","","Place: PANORAMA CENTRE, RM 522, 5TH FLOOR, BLDG 2, RAJA GHAZANFAR ALI RD, PO BOX 8766, SADDAR, KARACHI 00000, PAKISTAN Publisher: PROFESSIONAL MEDICAL PUBLICATIONS Type: Article","","","","","Artificial Intelligence; Family Physicians; Machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
