"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NERFN6R4","journalArticle","2019","Sanal MG; Paul K; Kumar S; Ganguly NK","Artificial Intelligence and Deep Learning: The Future of Medicine and Medical Practice.","The Journal of the Association of Physicians of India","","0004-5772","","","Abstract: Artificial Intelligence (AI) and access to ""Big Data"" together with the evolving techniques in biotechnology will change the medical practice a big way. Many diseases such as type II diabetes will no longer be considered as a single disease. Many familiar cancers such as cancer of liver or pancreas will have hundreds of subtypes whose management will be very different. The way we think about diseases will change. It will no longer be possible for clinicians to make a diagnosis, remember the names of diseases, the names of drugs or management protocols without the help of computers. As computer intelligence becomes more important than human intelligence in deciding diagnosis and treatment there will be a paradigm in the role of doctors. Internet, computers and social media will become more important than individuals in decision making. As a result, medicine will go more and more egalitarian (""wiki"") with increasing community participation in health decision making and management. A socialistic pattern will evolve over time globally as an adaptive reaction to the pressures put by artificial intelligence. This is because the individual differences in knowledge or intellect between human beings will become less apparent compared to the super powers of artificial intelligence. Qualities which are unique for humans such as compassion, empathy and emotional care will decide the professional success of future physicians even more than today. Today we are using artificial intelligence in diagnosis and prediction to help clinicians. Clinical algorithms and human experience cannot be replaced by machines. It will take many years to completely merge or replace humans with machines. However, we need to modify our medical education system in order to prepare the medical community and sensitize the society well in advance for a smooth transition.","2019","2021-04-20 16:53:16","2021-04-20 16:53:16","","71-73","","4","67","","","Artificial Intelligence and Deep Learning","","","","","","","English","","","","","Open WorldCat","","OCLC: 8178727167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HYPQ3QV4","journalArticle","2016","Simmhan, Yogesh; Ramakrishnan, Lavanya; Antoniu, Gabriel; Goble, Carole; Yu, Yong; Mu, Yi; Lu, Rongxing; Ren, Jian; Venticinque, Salvatore; Camacho, David; Hernández-Castro, Carlos Javier; Barrero, David F; R-Moreno, María D","Machine learning and empathy: the Civil Rights CAPTCHA A MACHINE LEARNING ATTACK AGAINST CRC","Concurrency Computat.: Pract. Exper. Concurrency and Computation: Practice and Experience","","","","","","2016","2021-04-20 16:53:16","2021-04-20 16:53:16","","1310-1323","","4","28","","","Machine learning and empathy","","","","","","","English","","","","","Open WorldCat","","OCLC: 5886321052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZL8CB25N","journalArticle","2016","Hernández-Castro, Carlos Javier; Barrero, David F; R-Moreno, María D","Machine learning and empathy: the Civil Rights CAPTCHA","CPE Concurrency and Computation: Practice and Experience","","1532-0626","","","Human interactive proofs (HIPs) are a basic security measure on the Internet to avoid automatic attacks. There is an ongoing effort to find a HIP that is secure enough yet easy for humans. Recently, a new HIP has been designed aiming at higher security: the Civil Rights Completely Automated Public Turing test to tell Computers and Humans Apart (CAPTCHA). It employs the empathy capacity of humans to further strengthen Securimage, a well-known text CAPTCHA. In this paper, we analyze it from a security perspective, finding fundamental design flaws. Using several well-known machine learning (ML) algorithms, we analyze to what extent these flaws affect its security. We discover that thanks to them, we can create a successful side-channel attack. This attack is able to correctly solve the HIP on 20.7<i>%</i> of occasions, much more than enough to consider it broken. Thus, we show that there is no need to solve the problem of optical character recognition nor empathy analysis for computers to break this particular HIP. ML can be successfully used to break a HIP that uses both with a side-channel attack. This security analysis can be applied to other HIPs. It will allow to test whether they are <i>leaking</i> too much information by unexpected ways, given non-evident design flaws. Copyright © 2015 John Wiley & Sons, Ltd.","2016","2021-04-20 16:53:16","2021-04-20 16:53:16","","1310-1323","","4","28","","","Machine learning and empathy","","","","","","","English","","","","","Open WorldCat","","OCLC: 5997406030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GD4BCIA9","journalArticle","2019","Devchand, Pallavi R","Well. From Artificial Intelligence to Empathy?","Nuclear Receptor Research","","2314-5706","","","","2019","2021-04-20 16:53:16","2021-04-20 16:53:16","","","","","6","","","","","","","","","","English","","","","","Open WorldCat","","OCLC: 8049478490","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"US82I8TD","journalArticle","2016","Gibson J; Can D; Xiao B; Georgiou P; Narayanan S; Imel Z.E; Atkins D.C; 17th Annual Conference of the International Speech Communication Association, INTERSPEECH 2016","A deep learning approach to modeling empathy in addiction counseling","Proc. Annu. Conf. Int. Speech. Commun. Assoc., INTERSPEECH Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH","","2308-457X","","","","2016","2021-04-20 16:53:16","2021-04-20 16:53:16","","1447-1451","","","","","","","","","","","","","English","","","","","Open WorldCat","","OCLC: 6943004632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RW576EM3","journalArticle","2019","","ARTIFICIAL INTELLIGENCE, EMPATHY AND INCLUSION: A DESIGN PROBLEM","Ergodesign & HCI","","2317-8876","","","People already have crucial issues in their lives decided by mathematical algorithms (learning evaluation, granting pensions or work productivity monitoring, for example). This article asks: How human beings interact with these tools in these situations? What is their experience? How to overcome empathy and inclusion issues when machines take decisions?","2019","2021-04-20 16:53:16","2021-04-20 16:53:16","","51-63","","Especial","7","","","ARTIFICIAL INTELLIGENCE, EMPATHY AND INCLUSION","","","","","","","English","","","","","Open WorldCat","","OCLC: 8864800288","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F72XLHK8","journalArticle","2020","Ostherr K","Artificial Intelligence and Medical Humanities.","The Journal of medical humanities","","1041-3545","","","The use of artificial intelligence in healthcare has led to debates about the role of human clinicians in the increasingly technological contexts of medicine. Some researchers have argued that AI will augment the capacities of physicians and increase their availability to provide empathy and other uniquely human forms of care to their patients. The human vulnerabilities experienced in the healthcare context raise the stakes of new technologies such as AI, and the human dimensions of AI in healthcare have particular significance for research in the humanities. This article explains four key areas of concern relating to AI and the role that medical/health humanities research can play in addressing them: definition and regulation of ""medical"" versus ""health"" data and apps; social determinants of health; narrative medicine; and technological mediation of care. Issues include data privacy and trust, flawed datasets and algorithmic bias, racial discrimination, and the rhetoric of humanism and disability. Through a discussion of potential humanities contributions to these emerging intersections with AI, this article will suggest future scholarly directions for the field.","2020","2021-04-20 16:53:16","2021-04-20 16:53:16","","","","","","","","","","","","","","","English","","","","","Open WorldCat","","OCLC: 8626727427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FKVVD2WT","journalArticle","2021","Kiesow, Hannah; Spreng, R. Nathan; Holmes, Avram J; Chakravarty, M. Mallar; Marquand, Andre F; Yeo, B. T. Thomas; Bzdok, Danilo","Deep learning identifies partially overlapping subnetworks in the human social brain","Commun Biol Communications Biology","","","","","Abstract: Complex social interplay is a defining property of the human species. In social neuroscience, many experiments have sought to first define and then locate ‘perspective taking’, ‘empathy’, and other psychological concepts to specific brain circuits. Seldom, bottom-up studies were conducted to first identify explanatory patterns of brain variation, which are then related to psychological concepts; perhaps due to a lack of large population datasets. In this spirit, we performed a systematic de-construction of social brain morphology into its elementary building blocks, involving ~10,000 UK Biobank participants. We explored coherent representations of structural co-variation at population scale within a recent social brain atlas, by translating autoencoder neural networks from deep learning. The learned subnetworks revealed essential patterns of structural relationships between social brain regions, with the nucleus accumbens, medial prefrontal cortex, and temporoparietal junction embedded at the core. Some of the uncovered subnetworks contributed to predicting examined social traits in general, while other subnetworks helped predict specific facets of social functioning, such as the experience of social isolation. As a consequence of our population-level evidence, spatially overlapping subsystems of the social brain probably relate to interindividual differences in everyday social life. : Kiesow et al. use deep learning to identify partially overlapping subnetworks in the human social brain at the population level. They also demonstrate that the learned subnetwork representations can be used to predict social traits.","2021","2021-04-20 16:53:16","2021-04-20 16:53:16","","","","1","4","","","","","","","","","","English","","","","","Open WorldCat","","OCLC: 8881022873","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YN8869DJ","journalArticle","2020","Jenkins J; van der Poel S; Krüssel J; Bosch E; Nelson SM; Pinborg A; Yao MMW","Empathetic application of machine learning may address appropriate utilization of ART.","Reproductive biomedicine online","","1472-6483","","","The value of artificial intelligence to benefit infertile patients is a subject of debate. This paper presents the experience of one aspect of artificial intelligence, machine learning, coupled with patient empathy to improve utilization of assisted reproductive technology (ART), which is an important aspect of care that is under-recognized. Although ART provides very effective options for infertile patients to build families, patients often discontinue ART when further treatment is likely to be beneficial and most of these patients do not achieve pregnancy without medical aid. Use of ART is only in part dependent on financial considerations; stress and other factors play a major role, as shown by high discontinuation rates despite reimbursement. This commentary discusses challenges and strategies to providing personalized ART prognostics based on machine learning, and presents a case study where appropriate use of such prognostics in ART centres is associated with a trend towards increased ART utilization.","2020","2021-04-20 16:53:16","2021-04-20 16:53:16","","573-577","","4","41","","","","","","","","","","English","","","","","Open WorldCat","","OCLC: 8651489959","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KR7XT4CE","journalArticle","2020","A. Kerasidou","Artificial intelligence and the ongoing need for empathy, compassion and trust in healthcare.","Bulletin of the World Health Organization","","0042-9686","","","Empathy, compassion and trust are fundamental values of a patient-centred, relational model of health care. In recent years, the quest for greater efficiency in health care, including economic efficiency, has often resulted in the side-lining of these ...","2020","2021-04-20 16:53:16","2021-04-20 16:53:16","","245","","4","98","","","","","","","","","","English","","","","","Open WorldCat","","OCLC: 8773078935","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
