Title,Citations,Author,Publication Title,Publication Year,Item Type,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Title Duplicate,TA Keyword
Ethical and technical aspects of emotions to create empathy in medical machines,14,"Vallverdú, J.; Casacuberta, D.","Intelligent Systems, Control and Automation: Science and Engineering",2015,bookChapter,,22138986,10.1007/978-3-319-08108-3_20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921448800&doi=10.1007%2f978-3-319-08108-3_20&partnerID=40&md5=a10a06e28a6b500f117c166167fc864e,"This chapter analyzes the ethical challenges in healthcare when introducing medical machines able to understand and mimic human emotions. Artificial emotions is still an emergent field in artificial intelligence, so we devote some space in this paper in order to explain what they are and how we can have an machine able to recognize and mimic basic emotions. We argue that empathy is the key emotion in healthcare contexts. We discuss what empathy is and how it can be modeled to include it in a medical machine. We consider types of medical machines (telemedicine, care robots and mobile apps), and describe the main machines that are in use and offer some predictions about what the near future may bring. The main ethical problems we consider in machine medical ethics are: privacy violations (due to online patient databases), how to deal with error and responsibility concerning machine decisions and actions, social inequality (as a result of people being removed from an e-healthcare system), and how to build trust between machines, patients, and medical professionals. © Springer International Publishing Switzerland 2015.",2015,2021-04-20T16:38:53Z,2021-04-20T16:38:53Z,,341-362,22,,74,,,,,,,,,,English,,,,,,,Publisher: Kluwer Academic Publishers,<p>cited By 4</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ethicalandtechnicalaspectsofemotionstocreateempathyinmedicalmachines,ethical and technical aspects of emotions to create empathy in medical machines this chapter analyzes the ethical challenges in healthcare when introducing medical machines able to understand and mimic human emotions artificial emotions is still an emergent field in artificial intelligence so we devote some space in this paper in order to explain what they are and how we can have an machine able to recognize and mimic basic emotions we argue that empathy is the key emotion in healthcare contexts we discuss what empathy is and how it can be modeled to include it in a medical machine we consider types of medical machines telemedicine care robots and mobile apps and describe the main machines that are in use and offer some predictions about what the near future may bring the main ethical problems we consider in machine medical ethics are privacy violations due to online patient databases how to deal with error and responsibility concerning machine decisions and actions social inequality as a result of people being removed from an ehealthcare system and how to build trust between machines patients and medical professionals  springer international publishing switzerland 2015
Evolving Artificial Pain from Fault Detection through Pattern Data Analysis,1,"Anshar, Muh; Williams, Mary-Anne",2017 IEEE INTERNATIONAL CONFERENCE ON REAL-TIME COMPUTING AND ROBOTICS (RCAR),2017,conferencePaper,978-1-5386-2035-9,,10.1109/RCAR.2017.8311945,,"Fault detection is a classical area of study in robotics and extensive research works have been dedicated to investigate its broad applications. As the breath of robots applications requiring human interaction grow, it is important for robots to acquire sophisticated social skills such as empathy towards pain. However, it turns out that this is difficult to achieve without having an appropriate concept of pain that relies on robots being aware of their own body machinery aspects. This paper introduces the concept of pain, based on the ability to develop a state of awareness of robots own body and the use of the fault detection approach to generate artificial robot pain. Faults provide the stimulus and defines a classified magnitude value, which constitutes artificial pain generation, comprised of synthetic pain classes. Our experiment evaluates some of synthetic pain classes and the results show that the robot gains awareness of its internal state through its ability to predict its joint motion and generate appropriate artificial pain. The robot is also capable of alerting humans whenever a task will generate artificial pain, or whenever humans fails to acknowledge the alert, the robot can take a considerable preventive actions through joint stiffness adjustment.",2017,2021-04-19T15:57:04Z,2021-04-19T15:57:04Z,,694-699,6,,,,,,,,,,IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",English,,,,,,,Backup Publisher: Inst Elect & Elect Engineers; Inst Elect & Elect Engineers Robot & Automat Soc; Harbin Inst Technol; Beijing Inst Technol; Univ Nevada; Univ Electro Commun Tokyo; Chinese Univ Hong Kong; Chinese Acad Sci Type: Proceedings Paper,"<p>IEEE International Conference on Real-time Computing and Robotics (RCAR), Okinawa, JAPAN, JUL 14-18, 2017</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evolvingartificialpainfromfaultdetectionthroughpatterndataanalysis,evolving artificial pain from fault detection through pattern data analysis fault detection is a classical area of study in robotics and extensive research works have been dedicated to investigate its broad applications as the breath of robots applications requiring human interaction grow it is important for robots to acquire sophisticated social skills such as empathy towards pain however it turns out that this is difficult to achieve without having an appropriate concept of pain that relies on robots being aware of their own body machinery aspects this paper introduces the concept of pain based on the ability to develop a state of awareness of robots own body and the use of the fault detection approach to generate artificial robot pain faults provide the stimulus and defines a classified magnitude value which constitutes artificial pain generation comprised of synthetic pain classes our experiment evaluates some of synthetic pain classes and the results show that the robot gains awareness of its internal state through its ability to predict its joint motion and generate appropriate artificial pain the robot is also capable of alerting humans whenever a task will generate artificial pain or whenever humans fails to acknowledge the alert the robot can take a considerable preventive actions through joint stiffness adjustment
EmotoTent: Reducing School Violence through Embodied Empathy Games,3,"Antle, Alissa N.; Sadka, Ofir; Radu, Iulian; Gong, Boxiao; Cheung, Victor; Baishya, Uddipana",PROCEEDINGS OF ACM INTERACTION DESIGN AND CHILDREN (IDC 2019),2019,conferencePaper,978-1-4503-6690-8,,10.1145/3311927.3326596,,"EmotoTent is an interactive socio-emotional learning system developed in response to escalating levels of violence, inequality and marginalization in schools seen in the early 21st Century. The system is inspired by advances in biosensing wearables, tattoo displays, brain sensors, robotic agents, artificial intelligence (Al), gestural interaction and 3D holographic displays. By 2030, technological advances will enable us to prototype and investigate questions related to experiential and embodied emotional learning; emotion-based human-computer interaction, affective biosensing, empathetic Al agents, and 3D interactive holographic environments. We envision EmotoTent as a modular, emotion sensing Holodeck. In the EmotoTent program children learn and practice emotion regulation and empathy with peers, pets and a robotic dog agent in ways that are experiential, embodied and playful. We propose EmotoTent as a core element of a K-6 socio-emotional learning curriculum designed to improve school culture through the enhancement of children's ability to regulate emotions and interact with human and non-human species with empathy and compassion. Enhancing these qualities has been shown to lead to reductions in violence and bullying, racism, gender inequality and other forms of marginalization. We predict that the EmotoTent socio-emotional learning program will improve school cultures and create a foundation for children's lifelong well-being.",2019,2021-04-19T15:56:26Z,2021-04-19T15:56:26Z,,755-760,6,,,,,,,,,,ASSOC COMPUTING MACHINERY,"1515 BROADWAY, NEW YORK, NY 10036-9998 USA",English,,,,,,,Backup Publisher: Boise State Univ; Stem Act Ctr; St Lukes; Osmo; Langan Barber Fdn; Discovery Ctr Idaho; StemFinity; NSF; Boise Type: Proceedings Paper,"<p>18th Annual ACM Interaction Design and Children (IDC), Boise, ID, JUN 12-15, 2019</p>",,,,biosensing; children; embodied learning; Empathy; experiential learning; holographic environments; mind-body interaction; robotic agents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emototentreducingschoolviolencethroughembodiedempathygames,emototent reducing school violence through embodied empathy games emototent is an interactive socioemotional learning system developed in response to escalating levels of violence inequality and marginalization in schools seen in the early 21st century the system is inspired by advances in biosensing wearables tattoo displays brain sensors robotic agents artificial intelligence al gestural interaction and 3d holographic displays by 2030 technological advances will enable us to prototype and investigate questions related to experiential and embodied emotional learning emotionbased humancomputer interaction affective biosensing empathetic al agents and 3d interactive holographic environments we envision emototent as a modular emotion sensing holodeck in the emototent program children learn and practice emotion regulation and empathy with peers pets and a robotic dog agent in ways that are experiential embodied and playful we propose emototent as a core element of a k6 socioemotional learning curriculum designed to improve school culture through the enhancement of childrens ability to regulate emotions and interact with human and nonhuman species with empathy and compassion enhancing these qualities has been shown to lead to reductions in violence and bullying racism gender inequality and other forms of marginalization we predict that the emototent socioemotional learning program will improve school cultures and create a foundation for childrens lifelong wellbeing
Empirical Study of Humor Support in Social Human-Robot Interaction,9,"Bechade, Lucile; Duplessis, Guillaume Dubuisson; Devillers, Laurence","DISTRIBUTED, AMBIENT AND PERVASIVE INTERACTIONS, (DAPI 2016)",2016,conferencePaper,978-3-319-39862-4 978-3-319-39861-7,,10.1007/978-3-319-39862-4_28,,"As part of the Joker project which provides a multimodal dialog system with social skills including humor and empathy, this paper explores idea concerning the human verbal responses to a joking robot. Humor support is defined as the conversational strategies used in reaction to humor utterances. This paper aims at exploring the phenomenon of responses to humor interventions from the robot through the examination of a corpus. We assume that using humor in human-robot interaction sets up a positive atmosphere in which participants are willing to contribute. This study relies on 49 human-robot interaction dialogues and 381 adjacency pairs of humorous acts made by the robot and the following human responses. The human humor responses, elicited through canned jokes and conversational humor, were annotated. Three main categories of human responses were found (1) providing no support, (2) recognizing the attempt of humor and (3) contributing with more humor. The findings indicate that, as in human-human interaction, strategies of humor support are strongly dependent of the humorous event's context.",2016,2021-04-19T15:57:22Z,2021-04-19T15:57:22Z,,305-316,12,,9749,,,,Lecture Notes in Computer Science,,,,SPRINGER INT PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND",English,,,,,,,ISSN: 0302-9743 Type: Proceedings Paper,"<p>4th International Conference on Distributed, Ambient and Pervasive Interactions (DAPI) held as part of 18th International Conference on Human-Computer Interaction (HCI International), Toronto, CANADA, JUL 17-22, 2016</p>",,,,,"Streitz, N and Markopoulos, P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empiricalstudyofhumorsupportinsocialhumanrobotinteraction,empirical study of humor support in social humanrobot interaction as part of the joker project which provides a multimodal dialog system with social skills including humor and empathy this paper explores idea concerning the human verbal responses to a joking robot humor support is defined as the conversational strategies used in reaction to humor utterances this paper aims at exploring the phenomenon of responses to humor interventions from the robot through the examination of a corpus we assume that using humor in humanrobot interaction sets up a positive atmosphere in which participants are willing to contribute this study relies on 49 humanrobot interaction dialogues and 381 adjacency pairs of humorous acts made by the robot and the following human responses the human humor responses elicited through canned jokes and conversational humor were annotated three main categories of human responses were found 1 providing no support 2 recognizing the attempt of humor and 3 contributing with more humor the findings indicate that as in humanhuman interaction strategies of humor support are strongly dependent of the humorous events context
The Effects of Cognitive Biases in Long-Term Human-Robot Interactions: Case Studies Using Three Cognitive Biases on MARC the Humanoid Robot,2,"Biswas, Mriganka; Murray, John","SOCIAL ROBOTICS, (ICSR 2016)",2016,conferencePaper,978-3-319-47437-3 978-3-319-47436-6,,10.1007/978-3-319-47437-3_15,,"The research presented in this paper is part of a wider study investigating the role cognitive bias plays in developing long-term companionship between a robot and human. In this paper we discuss, how cognitive biases such as misattribution, Empathy gap and Dunning-Kruger effects can play a role in robot-human interaction with the aim of improving long-term companionship. One of the robots used in this study called MARC (See Fig. 1) was given a series of biased behaviours such as forgetting participant's names, denying its own faults for failures, unable to understand what a participant is saying, etc. Such fallible behaviours were compared to a non-biased baseline behaviour. In the current paper, we present a comparison of two case studies using these biases and a non-biased algorithm. It is hoped that such humanlike fallible characteristics can help in developing a more natural and believable companionship between Robots and Humans. The results of the current experiments show that the participants initially warmed to the robot with the biased behaviours.",2016,2021-04-19T15:57:22Z,2021-04-19T15:57:22Z,,148-158,11,,9979,,,,Lecture Notes in Artificial Intelligence,,,,SPRINGER-VERLAG BERLIN,"HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",English,,,,,,,"Backup Publisher: SoftBank Robot; Univ Kansas, Sch Engn; Springer ISSN: 0302-9743 Type: Proceedings Paper","<p>8th International Conference on Social Robotics (ICSR), Kansas City, MO, NOV 01-03, 2016</p>",,,,Cognitive bias in robot; Human-robot interaction; Human-robot long-term interactions; Imperfect robot,"Agah, A and Cabibihan, JJ and Howard, AM and Salichs, MA and He, H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theeffectsofcognitivebiasesinlongtermhumanrobotinteractionscasestudiesusingthreecognitivebiasesonmarcthehumanoidrobot,the effects of cognitive biases in longterm humanrobot interactions case studies using three cognitive biases on marc the humanoid robot the research presented in this paper is part of a wider study investigating the role cognitive bias plays in developing longterm companionship between a robot and human in this paper we discuss how cognitive biases such as misattribution empathy gap and dunningkruger effects can play a role in robothuman interaction with the aim of improving longterm companionship one of the robots used in this study called marc see fig 1 was given a series of biased behaviours such as forgetting participants names denying its own faults for failures unable to understand what a participant is saying etc such fallible behaviours were compared to a nonbiased baseline behaviour in the current paper we present a comparison of two case studies using these biases and a nonbiased algorithm it is hoped that such humanlike fallible characteristics can help in developing a more natural and believable companionship between robots and humans the results of the current experiments show that the participants initially warmed to the robot with the biased behaviours
Digital empathy secures Frankenstein’s monster,4,"Bond, R.; Engel, F.; Fuchs, M.; Hemmje, M.; Kevitt, P.M.; McTear, M.; Mulvenna, M.; Walsh, P.; Zheng, H.J.",CEUR Workshop Proceedings,2019,conferencePaper,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064815682&partnerID=40&md5=df4d3ba30de229d5c06bceb065e14210,"People’s worries about robot and AI software and how it can go wrong have led them to think of it and its associated algorithms and programs as being like Mary Shelley’s Frankenstein monster. The term Franken-algorithms has been used. Furthermore, there are concerns about driverless cars, automated General Practitioner Doctors (GPs) and robotic surgeons, legal expert systems, and particularly autonomous military drones. Digital Empathy grows when people and computers place themselves in each other’s shoes. Some would argue that for too long people have discriminated against computers and robots by saying that they are only as good as what we put into them. However, in recent times computers have outperformed people, beating world champions at the Asian game of Go (2017), Jeopardy (2011) and chess (1997), mastering precision in medical surgical operations (STAR) and diagnosis (Watson), and in specific speech and image recognition tasks. Computers have also composed music (AIVA), generated art (Aaron), stories (Quill) and poetry (Google AI). In terms of calling for more Digital Empathy between machines and people, we refer here to theories, computational models, algorithms and systems for detecting, representing and responding to people’s emotions and sentiment in speech and images but also for people’s goals, plans, beliefs and intentions. In reciprocation, people should have more empathy with machines allowing for their mistakes and also accepting that they will be better than people at performing particular tasks involving large data sets where fast decisions may need to be made, keeping in mind that they are not as prone as people to becoming tired. We conclude that if digital souls are programmed with Digital Empathy, and people have more empathy with them, by doing unto them as we would have them do unto us, this will help to secure Shelley’s monster. © 2019 CEUR-WS. All rights reserved.",2019,2021-04-20T16:38:41Z,2021-04-20T16:38:41Z,,335-349,15,,2348,,,,,,,,CEUR-WS,,English,,,,,,,ISSN: 16130073,"<p>cited By 4; Conference of 5th Collaborative European Research Conference, CERC 2019 ; Conference Date: 29 March 2019 Through 30 March 2019; Conference Code:147497</p>",,,Asian games; Computation theory; Computational model; Computer games; Diagnosis; Expert systems; General practitioners; Image recognition; Large datasets; Medical imaging; Robotic surgery; Speech recognition; Surgery; Surgical operation,,"Walsh P., Low R., Burkhardt D., Bleimann U., Regier S., Stengel I., Humm B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,digitalempathysecuresfrankensteinsmonster,digital empathy secures frankensteins monster peoples worries about robot and ai software and how it can go wrong have led them to think of it and its associated algorithms and programs as being like mary shelleys frankenstein monster the term frankenalgorithms has been used furthermore there are concerns about driverless cars automated general practitioner doctors gps and robotic surgeons legal expert systems and particularly autonomous military drones digital empathy grows when people and computers place themselves in each others shoes some would argue that for too long people have discriminated against computers and robots by saying that they are only as good as what we put into them however in recent times computers have outperformed people beating world champions at the asian game of go 2017 jeopardy 2011 and chess 1997 mastering precision in medical surgical operations star and diagnosis watson and in specific speech and image recognition tasks computers have also composed music aiva generated art aaron stories quill and poetry google ai in terms of calling for more digital empathy between machines and people we refer here to theories computational models algorithms and systems for detecting representing and responding to peoples emotions and sentiment in speech and images but also for peoples goals plans beliefs and intentions in reciprocation people should have more empathy with machines allowing for their mistakes and also accepting that they will be better than people at performing particular tasks involving large data sets where fast decisions may need to be made keeping in mind that they are not as prone as people to becoming tired we conclude that if digital souls are programmed with digital empathy and people have more empathy with them by doing unto them as we would have them do unto us this will help to secure shelleys monster  2019 ceurws all rights reserved
Predicting Future Alleviation of Mental Illness in Social Media: An Empathy-Based Social Network Perspective,0,"Chai, Y.; Wu, F.; Sun, R.; Zhang, Z.; Bao, J.; Ma, R.; Peng, Q.; Wu, D.; Wan, Y.; Li, K.","2019 IEEE Intl Conf on Parallel Distributed Processing with Applications, Big Data Cloud Computing, Sustainable Computing Communications, Social Computing Networking (ISPA/BDCloud/SocialCom/SustainCom)",2019,conferencePaper,,,10.1109/ISPA-BDCloud-SustainCom-SocialCom48970.2019.00230,,"Numerous studies have shown that users' posts on social media can explicitly or implicitly reflect various human psychological characteristics. Through mining these data, predictive models can be built to forecast and analyze potential mental illness, which can facilitate therapeutic decision making and offer the best hope for early interventions and treatments. However, most existing approaches face severe information loss and ignore the time dynamics of user behaviour. To fill the research gaps, we use time-aware social networks to combine various information sources in social media posts. Also, machine learning detectors are trained to automatically identify empathic interactions, filter out irrelevant information and construct empathy-based networks. Finally, we devise a hybrid deep learning algorithm to learn embeddings from the dynamic feature-rich networks and predict future alleviation of mental illness. Compared with strong baselines, our approach achieves the best-performing results with efficient computation speed.",2019-12,2021-04-19T15:42:32Z,2021-04-19T15:42:32Z,,1564-1571,8,,,,,,,,,,,,,,,,,,,,,,,Big Data; Cloud computing; deep learning; Distributed processing; Electromagnetic interference; Erbium; mental illness; online empathy.; Social computing; social media; social network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,predictingfuturealleviationofmentalillnessinsocialmediaanempathybasedsocialnetworkperspective,predicting future alleviation of mental illness in social media an empathybased social network perspective numerous studies have shown that users posts on social media can explicitly or implicitly reflect various human psychological characteristics through mining these data predictive models can be built to forecast and analyze potential mental illness which can facilitate therapeutic decision making and offer the best hope for early interventions and treatments however most existing approaches face severe information loss and ignore the time dynamics of user behaviour to fill the research gaps we use timeaware social networks to combine various information sources in social media posts also machine learning detectors are trained to automatically identify empathic interactions filter out irrelevant information and construct empathybased networks finally we devise a hybrid deep learning algorithm to learn embeddings from the dynamic featurerich networks and predict future alleviation of mental illness compared with strong baselines our approach achieves the bestperforming results with efficient computation speed
Helper's High with a Robot Pet,0,"Chirapornchai, Chatchai; Bremner, Paul; Daly, Joseph E.",Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction,2021,conferencePaper,978-1-4503-8290-8,,10.1145/3434074.3447165,https://doi.org/10.1145/3434074.3447165,"Helper's high is the phenomenon that helping someone or something else can lead to psychological benefits such as mood improvement. This study investigates if a robot pet can, like a real pet, induce helpers high in people interacting with it. A Vector robot was programmed to express the need for daily exercise and attention, and participants were instructed how to help the robot meet those needs. Our within subjects design had two conditions: with and without emotional behaviour modifiers to the robot's behaviour. Our primary research question is whether behaviours that conveyed emotion as well as needs would lead to empathy in the participants, which would create a stronger helper's high effect than purely functional need expression behaviours. We present a long-term (4 day) remote study design that not only facilitates the kind of interactions needed for helper's high, but abides by government guidelines on Covid-19 safety (under which a laboratory study is not possible). Preliminary results suggest that Vector was able to improve the mood of some participants, and mood changes tend to be greater when Vector expressed behaviours with emotional components. Our post-study interview data suggests that individual differences in living environment and mood impacting external factors, affected Vector's efficacy in mood influencing.",2021,2021-04-19T16:09:42Z,2021-04-19T16:09:42Z,,229–233,5,,,,,,HRI '21 Companion,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,"event-place: Boulder, CO, USA",,,,empathy; helper's high; mood improvement; robot pet; vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpershighwitharobotpet,helpers high with a robot pet helpers high is the phenomenon that helping someone or something else can lead to psychological benefits such as mood improvement this study investigates if a robot pet can like a real pet induce helpers high in people interacting with it a vector robot was programmed to express the need for daily exercise and attention and participants were instructed how to help the robot meet those needs our within subjects design had two conditions with and without emotional behaviour modifiers to the robots behaviour our primary research question is whether behaviours that conveyed emotion as well as needs would lead to empathy in the participants which would create a stronger helpers high effect than purely functional need expression behaviours we present a longterm 4 day remote study design that not only facilitates the kind of interactions needed for helpers high but abides by government guidelines on covid19 safety under which a laboratory study is not possible preliminary results suggest that vector was able to improve the mood of some participants and mood changes tend to be greater when vector expressed behaviours with emotional components our poststudy interview data suggests that individual differences in living environment and mood impacting external factors affected vectors efficacy in mood influencing
Facial Expression of Social Interaction Based on Emotional Motivation of Animal Robot,4,"Chumkamon, Sakmongkon; Masato, Koike; Hayashi, Eiji","2015 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS (SMC 2015): BIG DATA ANALYTICS FOR HUMAN-CENTRIC SYSTEMS",2015,conferencePaper,978-1-4799-8696-5,,10.1109/SMC.2015.45,,"This paper aims to develop the research based on a pet robot and its artificial consciousness. We propose the animal behavior and emotion using the artificial neurotransmitter and motivation. This research still implements the communication between human and a pet robot respecting to a social cognitive and interaction. Thus, the development of cross-creature communication is crucial for friendly companionship. This system focuses on three points. The first that is the organization of the behavior and emotion model regarding the phylogenesis. The second is the method of the robot that can have empathy with user expression. The third is how the robot can socially perform its expression to human for encouragement or being delighted based on its own emotion and the human expression. This paper eventually presents the performance and the experiment that the robot using cross-perception and cross-expression between animal robot and social interaction of human communication based on the consciousness based architecture (CBA).",2015,2021-04-19T15:57:36Z,2021-04-19T15:57:36Z,,185-190,6,,,,,,IEEE International Conference on Systems Man and Cybernetics Conference Proceedings,,,,IEEE COMPUTER SOC,"10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA",English,,,,,,,Backup Publisher: IEEE; IEEE Comp Soc; IEEE Syst Man & Cybernet Soc; Hong Kong Polytechn Univ; K C Wong Fdn ISSN: 1062-922X Type: Proceedings Paper,"<p>IEEE International Conference on Systems, Man, and Cybernetics (SMC), City Univ Hong Kong, Hong Kong, PEOPLES R CHINA, OCT 09-12, 2015</p>",,,,CBA; component; Facial Expression Recognition; Human-Robot Interactio; Social Robot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facialexpressionofsocialinteractionbasedonemotionalmotivationofanimalrobot,facial expression of social interaction based on emotional motivation of animal robot this paper aims to develop the research based on a pet robot and its artificial consciousness we propose the animal behavior and emotion using the artificial neurotransmitter and motivation this research still implements the communication between human and a pet robot respecting to a social cognitive and interaction thus the development of crosscreature communication is crucial for friendly companionship this system focuses on three points the first that is the organization of the behavior and emotion model regarding the phylogenesis the second is the method of the robot that can have empathy with user expression the third is how the robot can socially perform its expression to human for encouragement or being delighted based on its own emotion and the human expression this paper eventually presents the performance and the experiment that the robot using crossperception and crossexpression between animal robot and social interaction of human communication based on the consciousness based architecture cba
Learning Empathy-Driven Emotion Expressions using Affective Modulations,12,"Churamani, Nikhil; Banos, Pablo; Strahl, Erik; Wermter, Stefan",2018 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS (IJCNN),2018,conferencePaper,978-1-5090-6014-6,,10.1109/IJCNN.2018.8489158,,"Human-Robot Interaction (HRI) studies, particularly the ones designed around social robots, use emotions as important building blocks for interaction design. In order to provide a natural interaction experience, these social robots need to recognise the emotions expressed by the users across various modalities of communication and use them to estimate an internal affective model of the interaction. These internal emotions act as motivation for learning to respond to the user in different situations, using the physical capabilities of the robot. This paper proposes a deep hybrid neural model for multi-modal affect recognition, analysis and behaviour modelling in social robots. The model uses growing self-organising network models to encode intrinsic affective states for the robot. These intrinsic states are used to train a reinforcement learning model to learn facial expression representations on the Neuro-Inspired Companion (NICO) robot, enabling the robot to express empathy towards the users.",2018,2021-04-19T15:56:54Z,2021-04-19T15:56:54Z,,1-8,8,,,,,,IEEE International Joint Conference on Neural Networks (IJCNN),,,,IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",English,,,,,,,ISSN: 2161-4393 Type: Proceedings Paper,"<p>International Joint Conference on Neural Networks (IJCNN), Rio de Janeiro, BRAZIL, JUL 08-13, 2018</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,learningempathydrivenemotionexpressionsusingaffectivemodulations,learning empathydriven emotion expressions using affective modulations humanrobot interaction hri studies particularly the ones designed around social robots use emotions as important building blocks for interaction design in order to provide a natural interaction experience these social robots need to recognise the emotions expressed by the users across various modalities of communication and use them to estimate an internal affective model of the interaction these internal emotions act as motivation for learning to respond to the user in different situations using the physical capabilities of the robot this paper proposes a deep hybrid neural model for multimodal affect recognition analysis and behaviour modelling in social robots the model uses growing selforganising network models to encode intrinsic affective states for the robot these intrinsic states are used to train a reinforcement learning model to learn facial expression representations on the neuroinspired companion nico robot enabling the robot to express empathy towards the users
