"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AANIM2W4","conferencePaper","2013","Jo, Doori; Han, Jooyun; Chung, Kyungmi; Lee, Sukhan","Empathy between human and robot?","Proceedings of the 8th ACM/IEEE international conference on Human-robot interaction","978-1-4673-3055-8","","","","This paper aims at finding the answer to the essential question: Can people perceive a robot's presence as having a social existence? We attempt to apply a sociological and psychological approach to understand the influence of robot beings, by observing human emotion and perception changes while subjects watched a funny video clip in the presence of a robot or a human companion, each of which made their own typical laughing sounds. From this experiment, we found that the robot did not affect the human's positive emotions as much as a human companion did, but the robot did discourage negative emotions. However, the subjects were, in general, amused when they were watching the video with the robot. This amusement is similar to the contagious effect of sharing humor with another human being. Our findings suggest that the subjects accepted the robot's presence as a kind of existence empathically.","2013-03-03","2021-02-15 21:19:32","2021-02-15 21:19:32","2021-02-15","151–152","","","","","","","HRI '13","","","","IEEE Press","Tokyo, Japan","","","","","","ACM Digital Library","","","","","","","social robot; empathy; robot companion; human robot interaction; emotional contagion; presence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRS6IWUN","conferencePaper","2014","Tsuji, Yuichiro; Tsukamoto, Ami; Uchida, Takashi; Hattori, Yusuke; Nishida, Ryosuke; Fukada, Chie; Ozeki, Motoyuki; Omori, Takashi; Nagai, Takayuki; Oka, Natsuki","Experimental study of empathy and its behavioral indices in human-robot interaction","Proceedings of the second international conference on Human-agent interaction","978-1-4503-3035-0","","10.1145/2658861.2658933","https://doi.org/10.1145/2658861.2658933","Similar to relationships between humans, a person desiring to form a good relationship with a robot needs to be able to empathize with it. However, the specific kinds of human-robot interactions that would arouse and enhance empathy for the robot in the user's mind have not yet been clarified. In addition, the human behavioral traits that may be regarded as indices of empathy have not been investigated extensively. In an attempt to address these two issues, a preliminary experiment on empathy in human-robot interaction is conducted. The results suggest that the actions of naming or comforting a robot could contribute to enhancing its user's empathy and that eye fixation could be used as an index of empathy even when the use of a subjective index is inconclusive.","2014-10-29","2021-02-15 21:19:32","2021-02-15 21:19:32","2021-02-15","245–248","","","","","","","HAI '14","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","","","","empathy; behavioral indices; visual fixation time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M5X69E3Q","conferencePaper","2014","Mok, Brian K.; Yang, Stephen; Sirkin, David; Ju, Wendy","Empathy: interactions with emotive robotic drawers","Proceedings of the 2014 ACM/IEEE international conference on Human-robot interaction","978-1-4503-2658-2","","10.1145/2559636.2563720","https://doi.org/10.1145/2559636.2563720","The role of human-robot interaction is becoming more important as everyday robotic devices begin to permeate into our lives. In this study, we video-prototyped a user's interactions with a set of robotic drawers. The user and robot each displayed one of five emotional states - angry, happy, indifferent, sad, and timid. The results of our study indicated that the participants of our online questionnaire preferred empathetic drawers to neutral ones. They disliked robotic drawers that displayed emotions orthogonal to the user's emotions. This showed the importance of displaying emotions, and empathy in particular, when designing robotic devices that share our living and working spaces.","2014-03-03","2021-02-15 21:19:32","2021-02-15 21:19:32","2021-02-15","250–251","","","","","","Empathy","HRI '14","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","","","","human robot interactions; interaction design; interactive furniture; video prototyping; wizard of oz experiment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DGZDG4X","conferencePaper","2019","Okanda, Mako; Taniguchi, Kosuke; Itakura, Shoji","The Role of Animism Tendencies and Empathy in Adult Evaluations of Robot","Proceedings of the 7th International Conference on Human-Agent Interaction","978-1-4503-6922-0","","10.1145/3349537.3351891","https://doi.org/10.1145/3349537.3351891","We investigated whether Japanese adults' beliefs about friendship and morality toward robots differing in appearance (i.e., humanoid, dog-like, and egg-shaped) related to their animism tendencies and empathy. University students responded to questionnaires regarding three animism tendencies (i.e., general animism or a tendency to believe souls or gods in nonliving things, aliveness animism or a tendency to consider nonliving things as live entities, and agentic animisms or a tendency to attribute biological, artifactual, psychological, perceptual, and naming properties) and empathy. We found that friendship and morality were related to slightly different animism tendencies and empathy even though they shared some major factors. Aliveness animism, as well as a tendency to attribute perceptual and name properties toward robots, might be necessary for an individual to believe that robots could be social agents. Participants who responded that robots could be their friends showed a tendency to feel a soul in manmade objects and a strong self-oriented emotional reactivity, whereas participants who answered that robots were moral beings showed a tendency to exhibit strong emotional susceptibility. We discuss implications of these results and reasons why people feel that robots have a mind or consciousness.","2019-09-25","2021-02-15 21:19:32","2021-02-15 21:19:32","2021-02-15","51–58","","","","","","","HAI '19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","","","","empathy; human-robot interaction; animism; robots' perception","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JQQUXI92","conferencePaper","2013","Rosenthal-von der Pütten, Astrid Marieke; Schulte, Frank P.; Eimler, Sabrina C.; Hoffmann, Laura; Sobieraj, Sabrina; Maderwald, Stefan; Krämer, Nicole C.; Brand, Matthias","Neural correlates of empathy towards robots","Proceedings of the 8th ACM/IEEE international conference on Human-robot interaction","978-1-4673-3055-8","","","","We conducted an fMRI study to investigate emotionality in human-robot interaction. Subjects (N=14) were presented videos showing a human, a robot and an unanimated object, being treated in either an affectionate or a violent way. Violent interaction towards both the robot and the human resulted in similar neural activation patterns in classic limbic structures indicating that both the robot and the human elicit similar emotional reactions. However, differences in neural activity suggest that participants show more negative empathetic concern for the human in a negative situation.","2013-03-03","2021-02-15 21:19:32","2021-02-15 21:19:32","2021-02-15","215–216","","","","","","","HRI '13","","","","IEEE Press","Tokyo, Japan","","","","","","ACM Digital Library","","","","","","","empathy; human-robot interaction; experimental study; functional magnetic resonance imaging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJCE5FWN","conferencePaper","2010","Cramer, Henriette; Goddijn, Jorrit; Wielinga, Bob; Evers, Vanessa","Effects of (in)accurate empathy and situational valence on attitudes towards robots","Proceedings of the 5th ACM/IEEE international conference on Human-robot interaction","978-1-4244-4893-7","","","","Empathy has great potential in human-robot interaction. However, the challenging nature of assessing the user's emotional state points to the importance of also understanding the effects of empathic behaviours incongruent with users' affective experience. A 3x2 between-subject video-based survey experiment (N=133) was conducted with empathic robot behaviour (empathically accurate, neutral, inaccurate) and valence of the situation (positive, negative) as dimensions. Trust decreased when empathic responses were incongruent with the affective state of the user. However, in the negative valence condition, reported perceived empathic abilities were greater when the robot responded as if the situation were positive.","2010-03-02","2021-02-15 21:19:32","2021-02-15 21:19:32","2021-02-15","141–142","","","","","","","HRI '10","","","","IEEE Press","Osaka, Japan","","","","","","ACM Digital Library","","","","","","","empathy; human-robot interaction; social robots; emotional valence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L7R28TUC","conferencePaper","2014","Obaid, Mohammad; Kuchenbrandt, Dieta; Bartneck, Christoph","Empathy and yawn contagion: can we (humans) catch yawns from robots?","Proceedings of the 2014 ACM/IEEE international conference on Human-robot interaction","978-1-4503-2658-2","","10.1145/2559636.2563702","https://doi.org/10.1145/2559636.2563702","Empathy plays an important role in the interaction between humans and robots. The contagious effect of yawning is moderated by the degree of social closeness and empathy. We propose to analyse the contagion of yawns as an indicator for empathy. We conducted pilot studies to test different experimental procedures for this purpose. We hope to be able to report on experimental results in the near future.","2014-03-03","2021-02-15 21:19:32","2021-02-15 21:19:32","2021-02-15","260–261","","","","","","Empathy and yawn contagion","HRI '14","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","","","","empathy; robot; humanoid; yawn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZF8UQNN8","conferencePaper","2015","Zuckerman, Oren; Hoffman, Guy","Empathy Objects: Robotic Devices as Conversation Companions","Proceedings of the Ninth International Conference on Tangible, Embedded, and Embodied Interaction","978-1-4503-3305-4","","10.1145/2677199.2688805","https://doi.org/10.1145/2677199.2688805","We present the notion of Empathy Objects, ambient robotic devices accompanying human-human interaction. Empathy Objects respond to human behavior using physical gestures as nonverbal expressions of their ""emotional states"". The goal is to increase people's self-awareness to the emotional state of others, leading to behavior change. We demonstrate an Empathy Object prototype, Kip1, a conversation companion designed to promote non-aggressive conversation between people.","2015-01-15","2021-02-15 21:19:32","2021-02-15 21:19:32","2021-02-15","593–598","","","","","","Empathy Objects","TEI '15","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","","","","social robots; tangible interfaces; ambient devices; behavior change; companion devices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H9FWTCUC","journalArticle","2019","Alves-Oliveira, Patrícia; Sequeira, Pedro; Melo, Francisco S.; Castellano, Ginevra; Paiva, Ana","Empathic Robot for Group Learning: A Field Study","ACM Transactions on Human-Robot Interaction","","","10.1145/3300188","https://doi.org/10.1145/3300188","This work explores a group learning scenario with an autonomous empathic robot. We address two research questions: (1) Can an autonomous robot designed with empathic competencies foster collaborative learning in a group context? (2) Can an empathic robot sustain positive educational outcomes in long-term collaborative learning interactions with groups of students? To answer these questions, we developed an autonomous robot with empathic competencies that is able to interact with a group of students in a learning activity about sustainable development. Two studies were conducted. The first study compares learning outcomes in children across three conditions: learning with an empathic robot; learning with a robot without empathic capabilities; and learning without a robot. The results show that the autonomous robot with empathy fosters meaningful discussions about sustainability, which is a learning outcome in sustainability education. The second study features groups of students who interact with the robot in a school classroom for 2 months. The long-term educational interaction did not seem to provide significant learning gains, although there was a change in game-actions to achieve more sustainability during game-play. This result reflects the need to perform more long-term research in the field of educational robots for group learning.","2019-03-06","2021-02-15 21:19:32","2021-02-15 21:19:32","2021-02-15 21:18:35","3:1–3:34","","1","8","","J. Hum.-Robot Interact.","Empathic Robot for Group Learning","","","","","","","","","","","","March 2019","","","","C:\Users\esben\Zotero\storage\8WK2EF8I\Alves-Oliveira et al. - 2019 - Empathic Robot for Group Learning A Field Study.pdf","","","education; empathy; human-robot interaction; collaborative learning; group learning; learning gains; Social robotics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SKDHD9CA","conferencePaper","2015","Seo, Stela H.; Geiskkovitch, Denise; Nakane, Masayuki; King, Corey; Young, James E.","Poor Thing! Would You Feel Sorry for a Simulated Robot? A comparison of empathy toward a physical and a simulated robot","Proceedings of the Tenth Annual ACM/IEEE International Conference on Human-Robot Interaction","978-1-4503-2883-8","","10.1145/2696454.2696471","https://doi.org/10.1145/2696454.2696471","In designing and evaluating human-robot interactions and interfaces, researchers often use a simulated robot due to the high cost of robots and time required to program them. However, it is important to consider how interaction with a simulated robot differs from a real robot; that is, do simulated robots provide authentic interaction? We contribute to a growing body of work that explores this question and maps out simulated-versus-real differences, by explicitly investigating empathy: how people empathize with a physical or simulated robot when something bad happens to it. Our results suggest that people may empathize more with a physical robot than a simulated one, a finding that has important implications on the generalizability and applicability of simulated HRI work. Empathy is particularly relevant to social HRI and is integral to, for example, companion and care robots. Our contribution additionally includes an original and reproducible HRI experimental design to induce empathy toward robots in laboratory settings, and an experimentally validated empathy-measuring instrument from psychology for use with HRI.","2015-03-02","2021-02-15 21:19:32","2021-02-15 21:19:32","2021-02-15","125–132","","","","","","Poor Thing! Would You Feel Sorry for a Simulated Robot?","HRI '15","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","","","","empathy; human-robot interaction; robot embodiment; simulated interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
