"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BP6ZKNXI","journalArticle","2020","Barnett, Anthony; Savic, Michael; Pienaar, Kiran; Carter, Adrian; Warren, Narelle; Sandral, Emma; Manning, Victoria; Lubman, Dan I.","Enacting ‘more-than-human’ care: Clients’ and counsellors’ views on the multiple affordances of chatbots in alcohol and other drug counselling","International Journal of Drug Policy","","09553959","10.1016/j.drugpo.2020.102910","https://linkinghub.elsevier.com/retrieve/pii/S0955395920302498","Forms of artificial intelligence (AI), such as chatbots that provide automated online counselling, promise to revolutionise alcohol and other drug treatment. Although the replacement of human counsellors remains a speculative prospect, chatbots for ‘narrow AI’ tasks (e.g., assessment and referral) are increasingly being used to augment clinical practice. Little research has addressed the possibilities for care that chatbots may generate in the future, particularly in the context of alcohol and other drug counselling. To explore these issues, we draw on the concept of technological ‘affordances’ and identify the range of possibilities for care that emerging chatbot interventions may afford and foreclose depending on the contexts in which they are implemented. Our analysis is based on qualitative data from interviews with clients (n=20) and focus group discussions with counsellors (n=8) conducted as part of a larger study of an Australian online alcohol and other drug counselling service. Both clients and counsellors expressed a concern that chatbot interventions lacked a ‘human’ element, which they valued in empathic care encounters. Most clients reported that they would share less information with a chatbot than a human counsellor, and they viewed this as constraining care. However, clients and counsellors suggested that the use of narrow AI might afford possibilities for performing discrete tasks, such as screening, triage or referral. In the context of what we refer to as ‘more-than-human’ care, our findings reveal complex views about the types of affordances that chatbots may produce and foreclose in online care encounters. We conclude by discussing implications for the potential ‘addiction futures’ and care trajectories that AI technologies offer, focussing on how they might inform alcohol and other drug policy, and the design of digital healthcare.","2020-10","2021-02-15 21:44:16","2021-02-15 21:44:16","2021-02-15 21:44:16","102910","","","","","International Journal of Drug Policy","Enacting ‘more-than-human’ care","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\esben\Zotero\storage\VWZHGT2F\Barnett et al. - 2020 - Enacting ‘more-than-human’ care Clients’ and coun.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZKHUVNYC","journalArticle","2016","Chumkamon, Sakmongkon; Hayashi, Eiji; Koike, Masato","Intelligent emotion and behavior based on topological consciousness and adaptive resonance theory in a companion robot","Biologically Inspired Cognitive Architectures","","2212683X","10.1016/j.bica.2016.09.004","https://linkinghub.elsevier.com/retrieve/pii/S2212683X1630072X","Companion or ‘pet’ robots can be expected to be an important part of a future in which robots contribute to our lives in many ways. An understanding of emotional interactions would be essential to such robots’ behavior. To improve the cognitive and behavior systems of such robots, we propose the use of an artiﬁcial topological consciousness that uses a synthetic neurotransmitter and motivation, including a biologically inspired emotion system. A fundamental aspect of a companion robot is a crosscommunication system that enables natural interactions between humans and the robot. This paper focuses on three points in the development of our proposed framework: (1) the organization of the behavior including inside-state emotion regarding the phylogenetic consciousness-based architecture; (2) a method whereby the robot can have empathy toward its human user’s expressions of emotion; and (3) a method that enables the robot to select a facial expression in response to the human user, providing instant human-like ‘emotion’ and based on emotional intelligence (EI) that uses a biologically inspired topological online method to express, for example, encouragement or being delighted. We also demonstrate the performance of the artiﬁcial consciousness based on the complexity level and a robot’s social expressions that are designed to enhance the users afﬁnity with the robot.","2016-10","2021-02-15 21:44:20","2021-02-15 21:44:20","2021-02-15 21:44:20","51-67","","","18","","Biologically Inspired Cognitive Architectures","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\esben\Zotero\storage\E8NHB9UF\Chumkamon et al. - 2016 - Intelligent emotion and behavior based on topologi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WCQPQTJ8","journalArticle","2020","de Kervenoael, Ronan; Hasan, Rajibul; Schwob, Alexandre; Goh, Edwin","Leveraging human-robot interaction in hospitality services: Incorporating the role of perceived value, empathy, and information sharing into visitors’ intentions to use social robots","Tourism Management","","02615177","10.1016/j.tourman.2019.104042","https://linkinghub.elsevier.com/retrieve/pii/S0261517719302407","Social robots have become pervasive in the tourism and hospitality service environments. The empirical un­ derstanding of the drivers of visitors’ intentions to use robots in such services has become an urgent necessity for their sustainable deployment. Certainly, using social androids within hospitality services requires organisations’ attentive commitment to value creation and fulfilling service quality expectations. In this paper, via structural equation modelling (SEM) and semi-structured interviews with managers, we conceptualise and empirically test visitors’ intentions to use social robots in hospitality services. With data collected in Singapore’s hospitality settings, we found visitors’ intentions to use social robots stem from the effects of technology acceptance vari­ ables, service quality dimensions leading to perceived value, and two further dimensions from human robot interaction (HRI): empathy and information sharing. Analysis of these dimensions’ importance provides a deeper understanding of novel opportunities managers may take advantage of to position social robot-delivered services in tourism and hospitality strategies.","2020-06","2021-02-15 21:44:27","2021-02-15 21:44:28","2021-02-15 21:44:27","104042","","","78","","Tourism Management","Leveraging human-robot interaction in hospitality services","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\esben\Zotero\storage\KS2WFL6T\de Kervenoael et al. - 2020 - Leveraging human-robot interaction in hospitality .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KFE6Q38S","journalArticle","2017","Stein, Jan-Philipp; Ohler, Peter","Venturing into the uncanny valley of mind—The influence of mind attribution on the acceptance of human-like characters in a virtual reality setting","Cognition","","00100277","10.1016/j.cognition.2016.12.010","https://linkinghub.elsevier.com/retrieve/pii/S0010027716303055","For more than 40 years, the uncanny valley model has captivated researchers from various ﬁelds of expertise. Still, explanations as to why slightly imperfect human-like characters can evoke feelings of eeriness remain the subject of controversy. Many experiments exploring the phenomenon have emphasized speciﬁc visual factors in connection to evolutionary psychological theories or an underlying categorization conﬂict. More recently, studies have also shifted away focus from the appearance of human-like entities, instead exploring their mental capabilities as basis for observers’ discomfort. In order to advance this perspective, we introduced 92 participants to a virtual reality (VR) chat program and presented them with two digital characters engaged in an emotional and empathic dialogue. Using the same prerecorded 3D scene, we manipulated the perceived control type of the depicted characters (humancontrolled avatars vs. computer-controlled agents), as well as their alleged level of autonomy (scripted vs. self-directed actions). Statistical analyses revealed that participants experienced signiﬁcantly stronger eeriness if they perceived the empathic characters to be autonomous artiﬁcial intelligences. As human likeness and attractiveness ratings did not result in signiﬁcant group differences, we present our results as evidence for an ‘‘uncanny valley of mind‘‘ that relies on the attribution of emotions and social cognition to non-human entities. A possible relationship to the philosophy of anthropocentrism and its ‘‘threat to human distinctiveness” concept is discussed.","2017-03","2021-02-15 21:44:31","2021-02-15 21:44:31","2021-02-15 21:44:31","43-50","","","160","","Cognition","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\esben\Zotero\storage\IK2DKCQ4\Stein and Ohler - 2017 - Venturing into the uncanny valley of mind—The infl.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TIS56CFR","journalArticle","2018","Yalcin, Ӧzge Nilay; DiPaola, Steve","A computational model of empathy for interactive agents","Biologically Inspired Cognitive Architectures","","2212683X","10.1016/j.bica.2018.07.010","https://linkinghub.elsevier.com/retrieve/pii/S2212683X18300719","Empathy has been deﬁned in the scientiﬁc literature as the capacity to relate another’s emotional state and assigned to a broad spectrum of cognitive and behavioral abilities. Advances in neuroscience, psychology and ethology made it possible to reﬁne the deﬁned functions of empathy to reach a working deﬁnition and a model of empathy. Recently, cognitive science and artiﬁcial intelligence communities made attempts to model empathy in artiﬁcial agents, which can provide means to test these models and hypotheses. A computational model of empathy not only would help to advance the technological artifacts to be more socially compatible, but also understand the empathy mechanisms, test theories, and address the ethics and morality problems the Artiﬁcial Intelligence (AI) community is facing today. In this paper, we will review the empathy research from various ﬁelds, gather the requirements for empathic capacity and construct a model of empathy that is suitable for interactive conversational agents.","2018-10","2021-02-15 21:44:35","2021-02-15 21:44:35","2021-02-15 21:44:35","20-25","","","26","","Biologically Inspired Cognitive Architectures","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\esben\Zotero\storage\XWVHL9M5\Yalcin and DiPaola - 2018 - A computational model of empathy for interactive a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNG4SEF2","journalArticle","2020","Doraiswamy, P. Murali; Blease, Charlotte; Bodner, Kaylee","Artificial intelligence and the future of psychiatry: Insights from a global physician survey","Artificial Intelligence in Medicine","","09333657","10.1016/j.artmed.2019.101753","https://linkinghub.elsevier.com/retrieve/pii/S0933365719306505","Background: Futurists have predicted that new autonomous technologies, embedded with artiﬁcial intelligence (AI) and machine learning (ML), will lead to substantial job losses in many sectors disrupting many aspects of healthcare. Mental health appears ripe for such disruption given the global illness burden, stigma, and shortage of care providers. Objective: To characterize the global psychiatrist community’s opinion regarding the potential of future autonomous technology (referred to here as AI/ML) to replace key tasks carried out in mental health practice. Design: Cross sectional, random stratiﬁed sample of psychiatrists registered with Sermo, a global networking platform open to veriﬁed and licensed physicians. Main outcome measures: We measured opinions about the likelihood that AI/ML tools would be able to fully replace – not just assist – the average psychiatrist in performing 10 key psychiatric tasks. Among those who considered replacement likely, we measured opinions about how many years from now such a capacity might emerge. We also measured psychiatrist’s perceptions about whether beneﬁts of AI/ML would outweigh the risks. Results: Survey respondents were 791 psychiatrists from 22 countries representing North America, South America, Europe and Asia-Paciﬁc. Only 3.8 % of respondents felt it was likely that future technology would make their jobs obsolete and only 17 % felt that future AI/ML was likely to replace a human clinician for providing empathetic care. Documenting and updating medical records (75 %) and synthesizing information (54 %) were the two tasks where a majority predicted that AI/ML could fully replace human psychiatrists. Female- and USbased doctors were more uncertain that the beneﬁts of AI would outweigh risks than male- and non-US doctors, respectively. Around one in 2 psychiatrists did however predict that their jobs would be substantially changed by AI/ML. Conclusions: Our ﬁndings provide compelling insights into how physicians think about AI/ML which in turn may help us better integrate technology and reskill doctors to enhance mental health care.","2020-01","2021-02-15 21:44:38","2021-02-15 21:44:38","2021-02-15 21:44:38","101753","","","102","","Artificial Intelligence in Medicine","Artificial intelligence and the future of psychiatry","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\esben\Zotero\storage\R4HF47EC\Doraiswamy et al. - 2020 - Artificial intelligence and the future of psychiat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HWTSL9E8","journalArticle","2020","Aeschlimann, Sara; Bleiker, Marco; Wechner, Michael; Gampe, Anja","Communicative and social consequences of interactions with voice assistants","Computers in Human Behavior","","07475632","10.1016/j.chb.2020.106466","https://linkinghub.elsevier.com/retrieve/pii/S0747563220302181","The growing prevalence of artificial intelligence and digital media in children’s lives provides them with the opportunity to interact with novel non-human agents such as robots and voice assistants. Previous studies show that children eagerly adopt and interact with these technologies, but we have only limited evidence of children’s distinction between artificial intelligence and humans. In this study, the communication patterns and prosocial outcomes of interactions with voice assistants were investigated. Children between 5 and 6 years (N ¼ 72) of age solved a treasure hunt in either a human or voice assistant condition. During the treasure hunt, the interaction partner supplied information either about their knowledge of or experience with the objects. Afterwards, chil­ dren were administered a sharing task and a helping task. Results revealed that children provided voice assistants with less information than humans and that only the type of information given by a human interaction partner was related to children’s information selection. Sharing was influenced by an interaction between type of in­ formation and interaction partner, showing that the type of information shared influenced children’s decisions more when interacting with a human, but less when interacting with a voice assistant. Children in all conditions enjoyed the treasure hunt with the interaction partner. Overall, these results suggest that children do not impose the same expectations on voice assistants as they do on humans. Consequently, cooperation between humans and cooperation between humans and computers differ.","2020-11","2021-02-15 21:44:44","2021-02-15 21:44:44","2021-02-15 21:44:44","106466","","","112","","Computers in Human Behavior","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\esben\Zotero\storage\38SIT63H\Aeschlimann et al. - 2020 - Communicative and social consequences of interacti.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MFZ4QQIH","journalArticle","2019","Lee, Yeonjoo; Ha, Miyeon; Kwon, Sujeong; Shim, Yealin; Kim, Jinwoo","Egoistic and altruistic motivation: How to induce users’ willingness to help for imperfect AI","Computers in Human Behavior","","07475632","10.1016/j.chb.2019.06.009","https://linkinghub.elsevier.com/retrieve/pii/S0747563219302274","Although artificial intelligence is a growing area of research, several problems remain. One such problem of particular importance is the low accuracy of predictions. This paper suggests that users' help is a practical approach to improve accuracy and it considers four factors that trigger users' willingness to help for an imperfect AI system. The two factors covered in Study 1 are utilitarian benefit based on egoistic motivation, and empathy based on altruistic motivation. In Study 2, utilitarian benefit is divided into explainable AI and monetary reward. The results indicate that two variables, namely empathy and monetary reward, have significant positive effects on willingness to help, and monetary reward is the strongest stimulus. In addition, explainable AI is shown to be positively associated with trust in AI. This study applies social studies of help motivation to the HCI field in order to induce users' willingness to help for an imperfect AI. The triggers of help motivation, empathy and monetary reward, can be utilized to induce the users’ voluntary engagement in the loop with an imperfect AI.","2019-12","2021-02-15 21:44:48","2021-02-15 21:44:48","2021-02-15 21:44:48","180-196","","","101","","Computers in Human Behavior","Egoistic and altruistic motivation","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\esben\Zotero\storage\986766G3\Lee et al. - 2019 - Egoistic and altruistic motivation How to induce .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MASWSQF","journalArticle","2020","Aeschlimann, Sara; Bleiker, Marco; Wechner, Michael; Gampe, Anja","Communicative and social consequences of interactions with voice assistants","Computers in Human Behavior","","0747-5632","https://doi.org/10.1016/j.chb.2020.106466","https://www.sciencedirect.com/science/article/pii/S0747563220302181","The growing prevalence of artificial intelligence and digital media in children’s lives provides them with the opportunity to interact with novel non-human agents such as robots and voice assistants. Previous studies show that children eagerly adopt and interact with these technologies, but we have only limited evidence of children’s distinction between artificial intelligence and humans. In this study, the communication patterns and prosocial outcomes of interactions with voice assistants were investigated. Children between 5 and 6 years (N = 72) of age solved a treasure hunt in either a human or voice assistant condition. During the treasure hunt, the interaction partner supplied information either about their knowledge of or experience with the objects. Afterwards, children were administered a sharing task and a helping task. Results revealed that children provided voice assistants with less information than humans and that only the type of information given by a human interaction partner was related to children’s information selection. Sharing was influenced by an interaction between type of information and interaction partner, showing that the type of information shared influenced children’s decisions more when interacting with a human, but less when interacting with a voice assistant. Children in all conditions enjoyed the treasure hunt with the interaction partner. Overall, these results suggest that children do not impose the same expectations on voice assistants as they do on humans. Consequently, cooperation between humans and cooperation between humans and computers differ.","2020","2021-02-15 21:45:52","2021-02-15 21:45:52","","106466","","","112","","","","","","","","","","","","","","","","","","","C:\Users\esben\Zotero\storage\32ZPR8GH\Aeschlimann et al. - 2020 - Communicative and social consequences of interacti.pdf","","Communication; Artificial intelligence; Cooperation; Social; Voice assistants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQAY5LI2","journalArticle","2016","Chumkamon, Sakmongkon; Hayashi, Eiji; Koike, Masato","Intelligent emotion and behavior based on topological consciousness and adaptive resonance theory in a companion robot","Biologically Inspired Cognitive Architectures","","2212-683X","https://doi.org/10.1016/j.bica.2016.09.004","https://www.sciencedirect.com/science/article/pii/S2212683X1630072X","Companion or ‘pet’ robots can be expected to be an important part of a future in which robots contribute to our lives in many ways. An understanding of emotional interactions would be essential to such robots’ behavior. To improve the cognitive and behavior systems of such robots, we propose the use of an artificial topological consciousness that uses a synthetic neurotransmitter and motivation, including a biologically inspired emotion system. A fundamental aspect of a companion robot is a cross-communication system that enables natural interactions between humans and the robot. This paper focuses on three points in the development of our proposed framework: (1) the organization of the behavior including inside-state emotion regarding the phylogenetic consciousness-based architecture; (2) a method whereby the robot can have empathy toward its human user’s expressions of emotion; and (3) a method that enables the robot to select a facial expression in response to the human user, providing instant human-like ‘emotion’ and based on emotional intelligence (EI) that uses a biologically inspired topological online method to express, for example, encouragement or being delighted. We also demonstrate the performance of the artificial consciousness based on the complexity level and a robot’s social expressions that are designed to enhance the users affinity with the robot.","2016","2021-02-15 21:45:52","2021-02-15 21:45:52","","51-67","","","18","","","","","","","","","","","","","","","","","","","","","Behavior; Human-robot interaction; Emotional intelligence; Companion robot; Consciousness based architecture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
