Item Type;Publication_Year;Author_New ;Author;Title
journalArticle;2021;"Cuzzocrea, Alfredo; Pilato, Giovanni";"Cuzzocrea, Alfredo; Pilato, Giovanni";A composite framework for supporting user emotion detection based on intelligent taxonomy handling
journalArticle;2020;"Rafique, Memoona; Hassan, Muhammad Awais; Jaleel, Abdul; Khalid, Hina; Bano, Gulshan";"Rafique, Memoona; Hassan, Muhammad Awais; Jaleel, Abdul; Khalid, Hina; Bano, Gulshan";A Computation Model for Learning Programming and Emotional Intelligence
conferencePaper;2016;"Gibson, James; Can, Dogan; Xiao, Bo; Imel, Zac; Atkins, David; Georgiou, Panayiotis; Narayanan, Shrikanth";"Gibson, James; Can, Dogan; Xiao, Bo; Imel, Zac E.; Atkins, David C.; Georgiou, Panayiotis; Narayanan, Shrikanth";A Deep Learning Approach to Modeling Empathy in Addiction Counseling
conferencePaper;2016;"Egawa, Shoichi; Sejima, Yoshihiro; Sato, Yoichiro; Watanabe, Tomio";"Egawa, Shoichi; Sejima, Yoshihiro; Sato, Yoichiro; Watanabe, Tomio";A Laughing-driven Pupil Response System for Inducing Empathy
journalArticle;2019;"Cross, Emily; Riddoch, Katie; Pratts, Jaydan; Titone, Simon; Chaudhury, Bishakha; Hortensius, Ruud";"Cross, Emily S.; Riddoch, Katie A.; Pratts, Jaydan; Titone, Simon; Chaudhury, Bishakha; Hortensius, Ruud";A neurocognitive investigation of the impact of socializing with a robot on empathy for pain
conferencePaper;2017;"Xu, Anbang; Liu, Zhe; Guo, Yufan; Sinha, Vibha; Akkiraju, Rama";"Xu, Anbang; Liu, Zhe; Guo, Yufan; Sinha, Vibha; Akkiraju, Rama";A New Chatbot for Customer Service on Social Media
journalArticle;2022;"Fu, Changzeng; Deng, Qi; Shen, Jingcheng; Mahzoon, Hamed; Ishiguro, Hiroshi";Fu, Changzeng, Deng, Qi, Shen, Jingcheng, Mahzoon, Hamed, Ishiguro, Hiroshi,;A Preliminary Study on Realizing Human-Robot Mental Comforting Dialogue via Sharing Experience Emotionally.
journalArticle;2019;"Sejima, Yoshihiro; Egawa, Shoichi; Sato, Yoichiro; Watanabe, Tomio";"Sejima, Yoshihiro; Egawa, Shoichi; Sato, Yoichiro; Watanabe, Tomio";A pupil response system using hemispherical displays for enhancing affective conveyance
journalArticle;2015;"Lim, Angelica; Okuno, Hiroshi";"Lim, Angelica; Okuno, Hiroshi";A Recipe for Empathy Integrating the Mirror System, Insula, Somatosensory Cortex and Motherese
journalArticle;2021;"Bagheri, Elahe; Roesler, Oliver; Cao, Hoang-Long; Vanderborght, Bram";"Bagheri, Elahe; Roesler, Oliver; Cao, Hoang-Long; Vanderborght, Bram";A Reinforcement Learning Based Cognitive Empathy Framework for Social Robots
conferencePaper;2016;"Spaulding, Samuel; Gordon, Goren; Breazeal, Cynthia";"Spaulding, Samuel; Gordon, Goren; Breazeal, Cynthia";Affect-Aware Student Models for Robot Tutors
journalArticle;2019;"Adrian Acosta-Mitjans; Dagoberto Cruz-Sandoval; Ramon Hervas; Esperanza Johnson; Chris Nugent; Jesus Favela";"Adrian Acosta-Mitjans; Dagoberto Cruz-Sandoval; Ramon Hervas; Esperanza Johnson; Chris Nugent; Jesus Favela";Affective Embodied Agents and Their Effect on Decision Making
conferencePaper;2016;"Sorbello, Rosario; Chella, Antonio; Giardina, Marcello; Nishio, Shuichi; Ishiguro, Hiroshi";"Sorbello, Rosario; Chella, Antonio; Giardina, Marcello; Nishio, Shuichi; Ishiguro, Hiroshi";An Architecture for Telenoid Robot as Empathic Conversational Android Companion for Elderly People
journalArticle;2020;"Bagheri, Elahe; Esteban, Pablo; Cao, Hoang-Long; De Beir, Albert; Lefeber, Dirk; Vanderborght, Bram";"Bagheri, Elahe; Esteban, Pablo; Cao, Hoang-Long; De Beir, Albert; Lefeber, Dirk; Vanderborght, Bram";An Autonomous Cognitive Empathy Model Responsive to Users' Facial Emotion Expressions
conferencePaper;2016;"Ranieri, Caetano; Romero, Roseli";"Ranieri, Caetano; Romero, Roseli";An Emotion-Based Interaction Strategy to Improve Human-Robot Interaction
conferencePaper;2016;"Johnson, Esperanza; Lopez de la Franca, Carlos Gutierrez; Hervas, Ramon; Mondejar, Tania; Bravo, Jose";"Johnson, Esperanza; Lopez de la Franca, Carlos Gutierrez; Hervas, Ramon; Mondejar, Tania; Bravo, Jose";Analyzing Human-Avatar Interaction with Neurotypical and not Neurotypical Users
journalArticle;2018;"Ghosh, Dipanjan; Olewnik, Andrew; Lewis, Kemper";"Ghosh, Dipanjan; Olewnik, Andrew; Lewis, Kemper";Application of autoencoders in cyber-empathic design
journalArticle;2021;"Martin, Miguel; Valle, Eduardo; Horsburgh, Sheri";"Vargas, Martin, M.; Perez, Valle, E.; Horsburgh, Sheri";Artificial Empathy for Clinical Companion Robots with Privacy-By-Design
conferencePaper;2018;"James, Jesin; Watson, Catherine Inez; MacDonald, Bruce";"James, Jesin; Watson, Catherine Inez; MacDonald, Bruce";Artificial Empathy in Social Robots: An analysis of Emotions in Speech
journalArticle;2021;"Pozharliev, Rumen; De Angelis, Matteo; Rossi, Dario; Romani, Simona; Verbeke, Willem; Cherubino, Patrizia";"Pozharliev, Rumen; De Angelis, Matteo; Rossi, Dario; Romani, Simona; Verbeke, Willem; Cherubino, Patrizia";Attachment styles moderate customer responses to frontline service robots: Evidence from affective, attitudinal, and behavioral measures
journalArticle;2018;"Swiderska, Aleksandra; Kuester, Dennis";"Swiderska, Aleksandra; Kuester, Dennis";Avatars in Pain: Visible Harm Enhances Mind Perception in Humans and Robots
conferencePaper;2018;"Wen, James; Stewart, Amanda; Billinghurst, Mark; Tossell, Chad";"Wen, James; Stewart, Amanda; Billinghurst, Mark; Tossell, Chad";Band of Brothers and Bolts: Caring About Your Robot Teammate
conferencePaper;2021;"Urakami, Jacqueline; Sutthithatip, Sujitra";"Urakami, Jacqueline; Sutthithatip, Sujitra";Building a Collaborative Relationship between Human and Robot through Verbal and Non-Verbal Interaction
journalArticle;2015;"Lazzeri, Nicole; Mazzei, Daniele; Greco, Alberto; Rotesi, Annalisa; Lanata, Antonio; De Rossi, Danilo Emilio";"Lazzeri, Nicole; Mazzei, Daniele; Greco, Alberto; Rotesi, Annalisa; Lanata, Antonio; De Rossi, Danilo Emilio";Can a humanoid face be expressive? A psychophysiological investigation
journalArticle;2015;"Mirnig, Nicole; Strasser, Ewald; Weiss, Astrid; Kuehnlenz, Barbara; Wollherr, Dirk; Tscheligi, Manfred";"Mirnig, Nicole; Strasser, Ewald; Weiss, Astrid; Kuehnlenz, Barbara; Wollherr, Dirk; Tscheligi, Manfred";Can You Read My Face? A Methodological Variation for Assessing Facial Expressions of Robotic Heads
conferencePaper;2017;"Lewandowska-Tomaszczyk, Barbara; Wilson, Paul";"Lewandowska-Tomaszczyk, Barbara; Wilson, Paul.";Compassion, empathy and sympathy expression features in affective robotics
journalArticle;2017;"Chumkamon, Sakmongkon; Hayashi, Elaine";"Chumkamon, S.; Hayashi, E.";Consciousnes-based emotion and behavior of pet robot with brain-inspired method
conferencePaper;2018;"Kurashige, Kentarou; Tsuruta, Setsuo; Sakurai, Eriko; Sakurai, Yoshitaka; Knauf, Rainer; Damiani, Ernesto; Kutics, Andrea";"Kurashige, Kentarou; Tsuruta, Setsuo; Sakurai, Eriko; Sakurai, Yoshitaka; Knauf, Rainer; Damiani, Ernesto; Kutics, Andrea";Counseling Robot Implementation and Evaluation
journalArticle;2021;"Bisogni, Carmen; Cascone, Lucia; Castiglione, Aniello; Passero, Ignazio";"Bisogni, Carmen; Cascone, Lucia; Castiglione, Aniello; Passero, Ignazio";Deep learning for emotion driven user experiences
journalArticle;2019;"Sena, Juan; Cabatuan, Melvin";"Sena, J.R.; Cabatuan, M.";Deep learning-based facial expression recognition and analysis for filipino gamers
conferencePaper;2020;"Abate, Andrea; Castiglione, Aniello; Nappi, Michele; Passero, Ignazio";"Abate, Andrea F.; Castiglione, Aniello; Nappi, Michele; Passero, Ignazio";DELEX: A DEep Learning Emotive EXperience: Investigating Empathic HCI
conferencePaper;2015;"Hoffman, Guy; Zuckerman, Oren; Hirschberger, Gilad; Luria, Michal; Shani-Sherman, Tal";"Hoffman, Guy; Zuckerman, Oren; Hirschberger, Gilad; Luria, Michal; Shani-Sherman, Tal";Design and Evaluation of a Peripheral Robotic Conversation Companion
conferencePaper;2021;"Bejarano, Alexandra; Lomax, Olivia; Scherschel, Peyton; Williams, Tom";"Bejarano, Alexandra; Lomax, Olivia; Scherschel, Peyton; Williams, Tom";Designing for Perceived Robot Empathy for Children in Long-Term Care
journalArticle;2018;"Lazzeri, Nicole; Mazzei, Daniele; Cominelli, Lorenzo; Cisternino, Antonio; De Rossi, Danilo Emilio";"Lazzeri, Nicole; Mazzei, Daniele; Cominelli, Lorenzo; Cisternino, Antonio; De Rossi, Danilo Emilio";Designing the Mind of a Social Robot
conferencePaper;2019;"Lopez-Martinez, Daniel; El-Haouij, Neska; Picard, Rosalind";"Lopez-Martinez, Daniel; El-Haouij, Neska; Picard, Rosalind";Detection of Real-World Driving-Induced Affective State Using Physiological Signals and Multi-View Multi-Task Machine Learning
