source;target
3121604639;2048596731
2763083925;2282380228
2963427815;2001862949
2792400400;1608468640
2899506378;134062113
3008789378;2897433896
2559431840;2012372995
2559431840;2396108864
2794057029;3121604639
2794057029;2048596731
2396108864;2012372995
2478564110;1966669949
2998563994;2963382311
2963270767;2611049140
3158675732;2012372995
3158675732;2963427815
3158675732;2790233857
3009898121;2963427815
3009898121;2792480533
2912159753;1608468640
2912159753;20018439
3161372380;2763083925
2724805274;2282380228
2724805274;2069874839
2740340001;2963382311
3092837391;2282380228
3092837391;2919701584
2900111961;2048596731
2564450351;3121604639
3093260290;2897433896
2962480806;2963382311
2962480806;2897782875
2981376758;2792480533
2981376758;2282380228
3157600114;2001862949
3157600114;2948638627
3157600114;2899506378
3157600114;3008789378
3157600114;2559431840
3157600114;134062113
3157600114;2919701584
3157600114;2592980642
3157600114;3048638976
3158476941;2792400400
3158476941;1608468640
3158476941;2478564110
2929048143;2282380228
3131453300;2763083925
3131453300;2919701584
3100362702;2249189521
2909989773;3121604639
3156501751;2282380228
3156501751;2069874839
3107110953;2282380228
3084602142;2899785433
3087295506;2282380228
3087295506;2899905311
3127104011;3121604639
3042250753;2282380228
3042250753;2792400400
2952114518;2794057029
3099130608;2282380228
3099130608;20018439
