"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LGYTD4GC","conferencePaper","2020","Abate, Andrea F.; Castiglione, Aniello; Nappi, Michele; Passero, Ignazio","DELEX: A DEep Learning Emotive EXperience: Investigating Empathic HCI","Proceedings of the International Conference on Advanced Visual Interfaces","978-1-4503-7535-1","","10.1145/3399715.3399820","https://doi.org/10.1145/3399715.3399820","Recent advances in Machine Learning have unveiled interesting possibilities for real-time investigating about user characteristics and expressions like, but not limited to, age, sex, body posture, emotions and moods. These new opportunities lay the foundations for new HCI tools for interactive applications that adopt user emotions as a communication channel.This paper presents an Emotion Controlled User Experience that changes according to user feelings and emotions analysed at runtime. Aiming at obtaining a preliminary evaluation of the proposed ecosystem, a controlled experiment has been performed in an engineering and software development company, where 60 people have been involved as volunteers. The subjective evaluation has been based on a standard questionnaire commonly adopted for measuring user perceived sense of immersion in Virtual Environments. The results of the controlled experiment encourage further investigations strengthen by the analysis of objective performance measurements and user physiological parameters.","2020","2021-05-19 12:52:09","2021-05-19 12:52:09","","","","","","","","","AVI '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Salerno, Italy","","","","Computer Vision; Deep Learning; User Emotions; User Experience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MJMNC7X8","conferencePaper","2020","Daher, Karl; Casas, Jacky; Khaled, Omar Abou; Mugellini, Elena","Empathic Chatbot Response for Medical Assistance","Proceedings of the 20th ACM International Conference on Intelligent Virtual Agents","978-1-4503-7586-3","","10.1145/3383652.3423864","https://doi.org/10.1145/3383652.3423864","Is it helpful for a medical physical health chatbot to show empathy? How can a chatbot show empathy only based on short-term text conversations? We have investigated these questions by building two different medical assistant chatbots with the goal of providing a diagnosis for physical health problem to the user based on a short conversation. One chatbot was advice-only and asked only the necessary questions for the diagnosis without responding to the user's emotions. Another chatbot, capable of showing empathy, responded in a more supportive manner by analyzing the user's emotions and generating appropriate responses with a high empathic accuracy. Using the RoPE scale questionnaire for empathy perception in a human-robot interaction, our empathic chatbot was rated significantly better in showing empathy and was preferred by a majority of the preliminary study participants (N=12).","2020","2021-05-19 12:52:09","2021-05-19 12:52:09","","","","","","","","","IVA '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event, Scotland, UK","","","","empathy; conversational agent; emotion detection; healthcare computing; pattern matching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LVKN5RHR","conferencePaper","2015","Ribeiro, Tiago; Alves-Oliveira, Patrícia; Di Tullio, Eugenio; Petisca, Sofia; Sequeira, Pedro; Deshmukh, Amol; Janarthanam, Srinivasan; Foster, Mary Ellen; Jones, Aidan; Corrigan, Lee J.; Papadopoulos, Fotios; Hastie, Helen; Aylett, Ruth; Castellano, Ginevra; Paiva, Ana","The Empathic Robotic Tutor: Featuring the NAO Robot","Proceedings of the Tenth Annual ACM/IEEE International Conference on Human-Robot Interaction Extended Abstracts","978-1-4503-3318-4","","10.1145/2701973.2702100","https://doi.org/10.1145/2701973.2702100","We present an autonomous empathic robotic tutor to be used in classrooms as a peer in a virtual learning environment. The system merges a virtual agent design with HRI features, consisting of a robotic embodiment, a multimedia interactive learning application and perception sensors that are controlled by an artificial intelligence agent.","2015","2021-05-19 12:52:09","2021-05-19 12:52:09","","285","","","","","","","HRI'15 Extended Abstracts","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Portland, Oregon, USA","","","","educational robotics; empathic robot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KL3SYL83","journalArticle","2020","Zhou, Li; Gao, Jianfeng; Li, Di; Shum, Heung-Yeung","The Design and Implementation of XiaoIce, an Empathetic Social Chatbot","Comput. Linguist.","","0891-2017","10.1162/coli_a_00368","https://doi.org/10.1162/coli_a_00368","This article describes the development of Microsoft XiaoIce, the most popular social chatbot in the world. XiaoIce is uniquely designed as an artifical intelligence companion with an emotional connection to satisfy the human need for communication, affection, and social belonging. We take into account both intelligent quotient and emotional quotient in system design, cast human–machine social chat as decision-making over Markov Decision Processes, and optimize XiaoIce for long-term user engagement, measured in expected Conversation-turns Per Session (CPS). We detail the system architecture and key components, including dialogue manager, core chat, skills, and an empathetic computing module. We show how XiaoIce dynamically recognizes human feelings and states, understands user intent, and responds to user needs throughout long conversations. Since the release in 2014, XiaoIce has communicated with over 660 million active users and succeeded in establishing long-term relationships with many of them. Analysis of large-scale online logs shows that XiaoIce has achieved an average CPS of 23, which is significantly higher than that of other chatbots and even human conversations.","2020-03","2021-05-19 12:52:09","2021-05-19 12:52:09","","53–93","","1","46","","","","","","","","","","","","","","","","","Place: Cambridge, MA, USA Publisher: MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ACIMUBE","conferencePaper","2019","Roth, Daniel; Bloch, Carola; Schmitt, Josephine; Frischlich, Lena; Latoschik, Marc Erich; Bente, Gary","Perceived Authenticity, Empathy, and Pro-Social Intentions Evoked through Avatar-Mediated Self-Disclosures","Proceedings of Mensch Und Computer 2019","978-1-4503-7198-8","","10.1145/3340764.3340797","https://doi.org/10.1145/3340764.3340797","Avatars are our digital embodied alter egos. Virtual embodiment by avatars allows social interaction with others using the full spectrum of verbal and non-verbal behaviour. Still, one's avatar appearances is elective. Hence, avatars make it possible for users to discuss and exchange sensible or even problematic personal topics potentially hiding their real identity and hence preserving anonymity and privacy. While previous works identified similarities how participants perceive avatars compared to human stimuli, there is a question as to whether avatar-mediated self-disclosure is authentic and results in similar social responses. In the present study, we created a comparable stimulus set to investigate this issue and conducted an online study (N=172) for comparison. Our results indicate that avatars can be perceived as authentic and that empathy is attributed in similar level than to a human stimulus. In an exploratory model, we found that for in the overall results, authenticity fostered emotional empathy which in turn fostered pro-social intentions. We argue that avatars may serve as a valuable supporting medium for HCI applications related to mental well-being, self-disclosure, and support.","2019","2021-05-19 12:52:09","2021-05-19 12:52:09","","21–30","","","","","","","MuC'19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Hamburg, Germany","","","","Empathy; Avatars; Social Perception; Virtual Characters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBQBP3C4","conferencePaper","2019","Salaken, Syed Moshfeq; Nahavandi, Saeid; McGinn, Conor; Hossny, Mohammed; Kelly, Kevin; Abobakr, Ahmed; Nahavandi, Darius; Iskander, Julie","Development of a Cloud-Based Computational Framework for an Empathetic Robot","Proceedings of the 2019 11th International Conference on Computer and Automation Engineering","978-1-4503-6287-0","","10.1145/3313991.3314018","https://doi.org/10.1145/3313991.3314018","This article presents the development and preliminary evaluation of an empathy controlled robot. Such a robot is one step forward towards industry 5.0, as it provides a theoretical framework to enable the performance of the robot to be customized to suit the needs of both the task as well as the operator. An inventive step is taken through the separation of computational resources based on whether the algorithms are addressing functional or experiential needs. The paper therefore addresses the requirement for new approaches that can be employed in the design of mobile robots to reduce cost, power consumption, and computational burden of the system. We propose that tasks requiring real-time and safety critical control are processed using dedicated on-board computers, whereas functionality dedicated to system optimization, machine learning and customization are handled through use a cloud-based platform. In this paper, key components of the architecture are defined, and the development and preliminary evaluation of an exemplar robot capable of changing its behavior in accordance with the perceived emotional state of an operator's voice is presented.","2019","2021-05-19 12:52:09","2021-05-19 12:52:09","","102–108","","","","","","","ICCAE 2019","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Perth, WN, Australia","","","","deep learning; robot; cloud control; emotion classification; intent perception","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UA62QC48","conferencePaper","2017","Murphy, Dooley","Building a Hybrid Virtual Agent for Testing User Empathy and Arousal in Response to Avatar (Micro-)Expressions","Proceedings of the 23rd ACM Symposium on Virtual Reality Software and Technology","978-1-4503-5548-3","","10.1145/3139131.3141217","https://doi.org/10.1145/3139131.3141217","This poster paper describes a hybrid (i.e., film and CG) method for capturing and implementing facial expressions for/in VR. A video camera was used to capture an actor's performance. The actor's eyes and mouth were isolated, and footage was processed as movie textures to overlay a static 3D model of a head. Micro-expressions (subtle, rapid movements of muscles in and around the eyes and mouth in particular) are thus captured in a fine-grained, yet low- cost and low-tech alternative to established techniques. A future experiment will compare the emotive efficacy of the hybrid virtual agent with that of a conventional (fully CG) rigged avatar head in a 6DoF scenario that transitions from sympathetic (gauging empathy by self-report) to confrontational (gauging physiological arousal by heart-rate or GSR). The experiment's prospective design is discussed, as well as its significance for the study of the crucial intersection of social plausibility and perceptual realism in VR.","2017","2021-05-19 12:52:09","2021-05-19 12:52:09","","","","","","","","","VRST '17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Gothenburg, Sweden","","","","virtual reality; social presence; avatar capture; social plausibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2HFN32JD","journalArticle","2019","Alves-Oliveira, Patrícia; Sequeira, Pedro; Melo, Francisco S.; Castellano, Ginevra; Paiva, Ana","Empathic Robot for Group Learning: A Field Study","J. Hum.-Robot Interact.","","","10.1145/3300188","https://doi.org/10.1145/3300188","This work explores a group learning scenario with an autonomous empathic robot. We address two research questions: (1) Can an autonomous robot designed with empathic competencies foster collaborative learning in a group context? (2) Can an empathic robot sustain positive educational outcomes in long-term collaborative learning interactions with groups of students? To answer these questions, we developed an autonomous robot with empathic competencies that is able to interact with a group of students in a learning activity about sustainable development. Two studies were conducted. The first study compares learning outcomes in children across three conditions: learning with an empathic robot; learning with a robot without empathic capabilities; and learning without a robot. The results show that the autonomous robot with empathy fosters meaningful discussions about sustainability, which is a learning outcome in sustainability education. The second study features groups of students who interact with the robot in a school classroom for 2 months. The long-term educational interaction did not seem to provide significant learning gains, although there was a change in game-actions to achieve more sustainability during game-play. This result reflects the need to perform more long-term research in the field of educational robots for group learning.","2019-03","2021-05-19 12:52:09","2021-05-19 12:52:09","","","","1","8","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","education; empathy; human-robot interaction; collaborative learning; group learning; learning gains; Social robotics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q5KE4RJT","conferencePaper","2019","Franzoni, Valentina; Milani, Alfredo; Biondi, Giulio; Micheli, Francesco","A Preliminary Work on Dog Emotion Recognition","IEEE/WIC/ACM International Conference on Web Intelligence - Companion Volume","978-1-4503-6988-6","","10.1145/3358695.3361750","https://doi.org/10.1145/3358695.3361750","Humans react to animal emotions, and animals react to human emotions because we share similar emotional and neurological mirroring systems. Mirror neurons fire both when an animal performs an action and when the animal observes the same action performed by another individual. This neurological system has been linked to social behaviors and abilities, from empathy to learning by imitation, both in intra-species and in inter-species communications.The aim of this paper is to study if a machine learning system can recognize animal emotions, starting from dogs’ basic emotions of joy and anger, and to investigate the opportunity of future applications concerning systems of prosthetic knowledge to help people without the proper experience or capability to understand animals aggressivity or friendliness, or for supportive systems in Artificial Intelligence.","2019","2021-05-19 12:52:09","2021-05-19 12:52:09","","91–96","","","","","","","WI '19 Companion","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Thessaloniki, Greece","","","","Affective Computing; Artificial Intelligence; Emotion Recognition; Neural Networks; Transfer Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H9JZBU7L","conferencePaper","2021","Billinghurst, Mark","Empathic Computing and Human Robot Interaction","Proceedings of the 2021 ACM/IEEE International Conference on Human-Robot Interaction","978-1-4503-8289-2","","10.1145/3434073.3444642","https://doi.org/10.1145/3434073.3444642","Empathic Computing is an emerging research field that aims to use technology to create deeper shared understanding or empathy between people [1]. The field sits at the junction of research in Natural Collaboration, Experience Capture and Implicit Understanding. Technologies such as Augmented Reality (AR) and Virtual Reality (VR), can be combined with the sensing of human physiological signals to create new types of collaborative experiences. For example, Empathy Glasses [2] use gaze- and face-tracking to share non-verbal communication cues and enhance remote collaborative. More complex tools, such as EEG, can measure brain activity synchronization and physiological states not normally perceived by humans [3].This talk explores how lessons learned from Empathic Computing can be applied to field of Human Robot Interaction. Previous research has shown how humans can develop empathy for robots [4], and how robots can be used as telepresence surrogates for real people [5]. This shows that there is great potential to create robot mediated Empathic Computing experiences to enhance face to face and remote collaboration.","2021","2021-05-19 12:52:09","2021-05-19 12:52:09","","5","","","","","","","HRI '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Boulder, CO, USA","","","","virtual reality; augmented reality; empathic computing; human robot interaction; tele-existence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
