"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GCN6Y89T","journalArticle","2021","Cominelli, L.; Feri, F.; Garofalo, R.; Giannetti, C.; Meléndez-Jiménez, M.A.; Greco, A.; Nardelli, M.; Scilingo, E.P.; Kirchkamp, O.","Promises and trust in human–robot interaction","Scientific Reports","","20452322","10.1038/s41598-021-88622-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105440198&doi=10.1038%2fs41598-021-88622-9&partnerID=40&md5=8c892c097d8e210e475cacdab9bad379","Understanding human trust in machine partners has become imperative due to the widespread use of intelligent machines in a variety of applications and contexts. The aim of this paper is to investigate whether human-beings trust a social robot—i.e. a human-like robot that embodies emotional states, empathy, and non-verbal communication—differently than other types of agents. To do so, we adapt the well-known economic trust-game proposed by Charness and Dufwenberg (2006) to assess whether receiving a promise from a robot increases human-trust in it. We find that receiving a promise from the robot increases the trust of the human in it, but only for individuals who perceive the robot very similar to a human-being. Importantly, we observe a similar pattern in choices when we replace the humanoid counterpart with a real human but not when it is replaced by a computer-box. Additionally, we investigate participants’ psychophysiological reaction in terms of cardiovascular and electrodermal activity. Our results highlight an increased psychophysiological arousal when the game is played with the social robot compared to the computer-box. Taken all together, these results strongly support the development of technologies enhancing the humanity of robots. © 2021, The Author(s).","2021","2021-05-19 13:26:03","2021-05-19 13:26:03","","","","1","11","","","","","","","","","","English","","","","","","","Publisher: Nature Research","<p>cited By 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZUI32IRE","journalArticle","2021","Cambra-Badii, I.; Guardiola, E.; Baños, J.-E.","Frankenstein; or, the modern Prometheus: a classic novel to stimulate the analysis of complex contemporary issues in biomedical sciences","BMC Medical Ethics","","14726939","10.1186/s12910-021-00586-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101400240&doi=10.1186%2fs12910-021-00586-7&partnerID=40&md5=19817584595dd07a32d471c1efefce55","Background: Advances in biomedicine can substantially change human life. However, progress is not always followed by ethical reflection on its consequences or scientists’ responsibility for their creations. The humanities can help health sciences students learn to critically analyse these issues; in particular, literature can aid discussions about ethical principles in biomedical research. Mary Shelley’s Frankenstein; or, the modern Prometheus (1818) is an example of a classic novel presenting complex scenarios that could be used to stimulate discussion. Main text: Within the framework of the 200th anniversary of the novel, we searched PubMed to identify works that explore and discuss its value in teaching health sciences. Our search yielded 56 articles, but only two of these reported empirical findings. Our analysis of these articles identified three main approaches to using Frankenstein in teaching health sciences: discussing the relationship between literature and science, analysing ethical issues in biomedical research, and examining the importance of empathy and compassion in healthcare and research. After a critical discussion of the articles, we propose using Frankenstein as a teaching tool to prompt students to critically analyse ethical aspects of scientific and technological progress, the need for compassion and empathy in medical research, and scientists’ responsibility for their discoveries. Conclusion: Frankenstein can help students reflect on the personal and social limits of science, the connection between curiosity and scientific progress, and scientists’ responsibilities. Its potential usefulness in teaching derives from the interconnectedness of science, ethics, and compassion. Frankenstein can be a useful tool for analysing bioethical issues related to scientific and technological advances, such as artificial intelligence, genetic engineering, and cloning. Empirical studies measuring learning outcomes are necessary to confirm the usefulness of this approach. © 2021, The Author(s).","2021","2021-05-19 13:26:03","2021-05-19 13:26:03","","","","1","22","","","","","","","","","","English","","","","","","","Publisher: BioMed Central Ltd","<p>cited By 0</p>","","","artificial intelligence; learning; empathy; teaching; bioethics; responsibility; article; empiricism; genetic engineering; human; human experiment; medical research; Medline; systematic review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HVU3JSC7","journalArticle","2021","Kiesow, H.; Spreng, R.N.; Holmes, A.J.; Chakravarty, M.M.; Marquand, A.F.; Yeo, B.T.T.; Bzdok, D.","Deep learning identifies partially overlapping subnetworks in the human social brain","Communications Biology","","23993642","10.1038/s42003-020-01559-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099382680&doi=10.1038%2fs42003-020-01559-z&partnerID=40&md5=6fa716c14a9bf81828cfd5652c23f05f","Complex social interplay is a defining property of the human species. In social neuroscience, many experiments have sought to first define and then locate ‘perspective taking’, ‘empathy’, and other psychological concepts to specific brain circuits. Seldom, bottom-up studies were conducted to first identify explanatory patterns of brain variation, which are then related to psychological concepts; perhaps due to a lack of large population datasets. In this spirit, we performed a systematic de-construction of social brain morphology into its elementary building blocks, involving 10,000 UK Biobank participants. We explored coherent representations of structural co-variation at population scale within a recent social brain atlas, by translating autoencoder neural networks from deep learning. The learned subnetworks revealed essential patterns of structural relationships between social brain regions, with the nucleus accumbens, medial prefrontal cortex, and temporoparietal junction embedded at the core. Some of the uncovered subnetworks contributed to predicting examined social traits in general, while other subnetworks helped predict specific facets of social functioning, such as the experience of social isolation. As a consequence of our population-level evidence, spatially overlapping subsystems of the social brain probably relate to interindividual differences in everyday social life. © 2021, The Author(s).","2021","2021-05-19 13:26:03","2021-05-19 13:26:03","","","","1","4","","","","","","","","","","English","","","","","","","Publisher: Nature Research","<p>cited By 0</p>","","","deep learning; language; social interaction; article; human; human experiment; adult; autoencoder; biobank; brain region; female; major clinical study; male; medial prefrontal cortex; nerve cell network; nucleus accumbens; social isolation; social life; temporoparietal junction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J3WY5BTU","journalArticle","2021","Bulagang, A.F.; Mountstephens, J.; Teo, J.","Multiclass emotion prediction using heart rate and virtual reality stimuli","Journal of Big Data","","21961115","10.1186/s40537-020-00401-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098996733&doi=10.1186%2fs40537-020-00401-x&partnerID=40&md5=40364836f606d2bda836d890f230b353","Background: Emotion prediction is a method that recognizes the human emotion derived from the subject’s psychological data. The problem in question is the limited use of heart rate (HR) as the prediction feature through the use of common classifiers such as Support Vector Machine (SVM), K-Nearest Neighbor (KNN) and Random Forest (RF) in emotion prediction. This paper aims to investigate whether HR signals can be utilized to classify four-class emotions using the emotion model from Russell’s in a virtual reality (VR) environment using machine learning. Method: An experiment was conducted using the Empatica E4 wristband to acquire the participant’s HR, a VR headset as the display device for participants to view the 360° emotional videos, and the Empatica E4 real-time application was used during the experiment to extract and process the participant's recorded heart rate. Findings: For intra-subject classification, all three classifiers SVM, KNN, and RF achieved 100% as the highest accuracy while inter-subject classification achieved 46.7% for SVM, 42.9% for KNN and 43.3% for RF. Conclusion: The results demonstrate the potential of SVM, KNN and RF classifiers to classify HR as a feature to be used in emotion prediction in four distinct emotion classes in a virtual reality environment. The potential applications include interactive gaming, affective entertainment, and VR health rehabilitation. © 2021, The Author(s).","2021","2021-05-19 13:26:04","2021-05-19 13:26:04","","","","1","8","","","","","","","","","","English","","","","","","","Publisher: Springer Science and Business Media Deutschland GmbH","<p>cited By 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QBUI9AVY","journalArticle","2021","Wang, P.; Bai, X.; Billinghurst, M.; Zhang, S.; Zhang, X.; Wang, S.; He, W.; Yan, Y.; Ji, H.","AR/MR Remote Collaboration on Physical Tasks: A Review","Robotics and Computer-Integrated Manufacturing","","07365845","10.1016/j.rcim.2020.102071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105298901&doi=10.1016%2fj.rcim.2020.102071&partnerID=40&md5=282a12f04e71fd82b3d91dc627de280a","This paper provides a review of research into using Augmented Reality (AR) and Mixed Reality(MR) for remote collaboration on physical tasks. AR/MR-based remote collaboration on physical tasks has recently become more prominent in academic research and engineering applications. It has great potential in many fields, such as real-time remote medical consultation, education, training, maintenance, remote assistance in engineering, and other remote collaborative tasks. However, to the best of our knowledge there has not been any comprehensive review of research in AR/MR remote collaboration on physical tasks. Therefore, this paper presents a comprehensive survey of research between 2000 and 2018 in this domain. We collected 215 papers, more than 80% of which were published between 2010 and 2018, and all relevant works are discussed at length. Then we elaborate on the review from typical architectures, applications (e.g., industry, telemedicine, architecture, teleducation and others), and empathic computing. Next, we made an in-depth review of the papers from seven aspects: (1) collection and classification research, (2) using 3D scene reconstruction environments and live panorama, (3) periodicals and conducting research, (4) local and remote user interfaces, (5) features of user interfaces commonly used, (6) architecture and sharing non-verbal cues, (7) applications and toolkits. We find that most papers (160 articles, 74.4%) are published in conferences, using co-located collaboration to emulate remote collaboration is adopted by more than half (126, 58.6%) of the reviewed papers, the shared non-verbal cues can be mainly classified into five types (Virtual Replicas or Physical Proxy(VRP), AR Annotations or a Cursor Pointer(ARACP), avatar, gesture, and gaze), the local/remote interface is mainly divided into four categories (Head-Mounted Displays(HMD), Spatial Augmented Reality(SAR), Windows-Icon-Menu-Pointer(WIMP) and Hand-Held Displays(HHD)). From this, we can draw ten conclusions. Following this we report on issues for future works. The paper also provides an overall academic roadmap and useful insight into the state-of-the-art of AR/MR remote collaboration on physical tasks. This work will be useful for current and future researchers who are interested in collaborative AR/MR systems. © 2021 Elsevier Ltd","2021","2021-05-19 13:26:04","2021-05-19 13:26:04","","","","","72","","","","","","","","","","English","","","","","","","Publisher: Elsevier Ltd","<p>cited By 0</p>","","","Mixed reality; Augmented reality; Agricultural robots; Collaborative tasks; User interfaces; Remote collaboration; 3D scene reconstruction; Architecture; Co-located collaboration; Engineering applications; Head mounted displays; Helmet mounted displays; Remote user interfaces; Spatial augmented realities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5IVM54A9","journalArticle","2021","Jang, S.; Kim, J.-J.; Kim, S.-J.; Hong, J.; Kim, S.; Kim, E.","Mobile app-based chatbot to deliver cognitive behavioral therapy and psychoeducation for adults with attention deficit: A development and feasibility/usability study","International Journal of Medical Informatics","","13865056","10.1016/j.ijmedinf.2021.104440","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103373094&doi=10.1016%2fj.ijmedinf.2021.104440&partnerID=40&md5=95237e5772b5c33dbb30b650a904a03d","Background: Attention deficit is a growing problem in adults, and early diagnosis and treatment are needed. Previous studies have shown that cognitive behavioral therapy (CBT) is effective in improving attention deficit symptoms. However, many patients are not receiving adequate treatment due to time, space, and cost constraints. Recently, in other mental illnesses, mobile-based chatbots delivering CBT and psychoeducation have been used for symptom mitigation and treatment. Objective: This study aimed to investigate the feasibility and usability of a short-term intervention, specifically a mobile-based interactive chatbot application, in alleviating attention deficit symptoms. Methods: This was a randomized, non-blind parallel-group pilot study conducted from September 2019 to March 2020. Forty-six individuals with attention deficit aged 19–60 were randomly allocated to the chatbot (n = 23) and information-only control groups (n = 23) for 4 weeks. The former group was instructed to use the chatbot application “Todaki,” while the latter group was provided with a book on managing attention deficit symptoms. Participants were administered questionnaires to assess their symptoms of attention deficit, depression, and anxiety and evaluated at baseline and 4 weeks after the intervention. The post-intervention survey assessed the chatbot's usability, acceptability, and side effects. Results: The average age of the participants was 25.1 years (standard deviation [SD] 7.5 years), and 56.5 % (26/46) participants were female. Intention-to-treat analysis (chatbot, n = 23; control, n = 23) revealed a significant reduction of attention deficit symptoms only in the chatbot group, which is represented by group-by-time interaction in Conner's Adult ADHD Rating Scale subscales of Diagnostic and Statistical Manual-IV Attention-Deficit/Hyperactivity Disorder (ADHD) Hyperactive-Impulsive symptoms (F = 4.39; p =.04) and ADHD symptoms total (F = 6.74, p =.01). Further, the results of the paired t-test were significant only in the chatbot group. The average number of times the chatbots were used in 4 weeks was 20.32 (SD 12.89). The total average usage time was 1 h 15 min (SD 1 h 20 min). The degree of improvement in the ADHD symptoms total score was correlated with the number of times the psychoeducation program was used. According to the participants, the empathic/friendly character and unnatural flow of conversation were the best and worst features of the chatbot, respectively. Conclusions: This study identified the feasibility and usability of using the mobile-based chatbot to improve attention deficit and its associated psychiatric symptoms. Using this novel intervention to conduct CBT would provide a useful digital therapeutic tool that allows easy accessibility and self-guided management for people with attention deficit, which should be verified through the large scale randomized controlled trial. © 2021 Elsevier B.V.","2021","2021-05-19 13:26:04","2021-05-19 13:26:04","","","","","150","","","","","","","","","","English","","","","","","","Publisher: Elsevier Ireland Ltd","<p>cited By 0</p>","","","Surveys; Attention deficit; Diseases; Diagnosis; Patient treatment; Average numbers; Cognitive-behavioral therapies; Cost constraints; Post interventions; Randomized controlled trial; Standard deviation; Therapeutic tools","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RAVBSNNW","journalArticle","2021","Küster, D.; Swiderska, A.","Seeing the mind of robots: Harm augments mind perception but benevolent intentions reduce dehumanisation of artificial entities in visual vignettes","International Journal of Psychology","","00207594","10.1002/ijop.12715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090926311&doi=10.1002%2fijop.12715&partnerID=40&md5=93cd342d1b06662a239ccc999e6dde9d","According to moral typecasting theory, good- and evil-doers (agents) interact with the recipients of their actions (patients) in a moral dyad. When this dyad is completed, mind attribution towards intentionally harmed liminal minds is enhanced. However, from a dehumanisation view, malevolent actions may instead result in a denial of humanness. To contrast both accounts, a visual vignette experiment (N = 253) depicted either malevolent or benevolent intentions towards robotic or human avatars. Additionally, we examined the role of harm-salience by showing patients as either harmed, or still unharmed. The results revealed significantly increased mind attribution towards visibly harmed patients, mediated by perceived pain and expressed empathy. Benevolent and malevolent intentions were evaluated respectively as morally right or wrong, but their impact on the patient was diminished for the robotic avatar. Contrary to dehumanisation predictions, our manipulation of intentions failed to affect mind perception. Nonetheless, benevolent intentions reduced dehumanisation of the patients. Moreover, when pain and empathy were statistically controlled, the effect of intentions on mind perception was mediated by dehumanisation. These findings suggest that perceived intentions might only be indirectly tied to mind perception, and that their role may be better understood when additionally accounting for empathy and dehumanisation. © 2020 The Authors. International Journal of Psychology published by John Wiley & Sons Ltd on behalf of International Union of Psychological Science.","2021","2021-05-19 13:26:04","2021-05-19 13:26:04","","454-465","","3","56","","","","","","","","","","English","","","","","","","Publisher: Blackwell Publishing Ltd","<p>cited By 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XI5PLXF6","journalArticle","2021","Pozharliev, R.; De Angelis, M.; Rossi, D.; Romani, S.; Verbeke, W.; Cherubino, P.","Attachment styles moderate customer responses to frontline service robots: Evidence from affective, attitudinal, and behavioral measures","Psychology and Marketing","","07426046","10.1002/mar.21475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102376850&doi=10.1002%2fmar.21475&partnerID=40&md5=580e99d22b71187f8d39c58e61bf0f5b","Despite the growing application of interactive technologies like service robots in customer service, there is limited understanding about how customers respond to interactions with frontline service robots compared to those with frontline human employees. Moreover, it is unclear whether all customers respond to the interaction with frontline service robots in the same way. Our research looks at how individual differences in social behaviors, specifically in customers' attachment styles, influence three types of customer responses: affective responses (experienced pleasantness), attitudinal responses (perceived empathy, satisfaction), and behavioral responses (word-of-mouth). Three experimental studies reveal that customers with low (vs. high) scores on anxious attachment style (AAS) measures respond more negatively to frontline service robot (compared to a frontline human agent). We investigate alternative explanations for these findings, such as robots' level of anthropomorphism and we show that human-likeness features such as voice type and level of human-like physical appearance, cannot explain our findings. Our results indicate that for low-AAS customers replacing frontline human service agent with frontline robot undermines customer attitude and behavioral responses to service robots, leading to possible implications on customer segmentation, targeting, and marketing communication. © 2021 Wiley Periodicals LLC","2021","2021-05-19 13:26:04","2021-05-19 13:26:04","","881-895","","5","38","","","","","","","","","","English","","","","","","","Publisher: John Wiley and Sons Inc","<p>cited By 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L3WLR8QS","journalArticle","2021","Aqajari, S.A.H.; Cao, R.; Naeini, E.K.; Calderon, M.-D.; Zheng, K.; Dutt, N.; Liljeberg, P.; Salanterä, S.; Nelson, A.M.; Rahmani, A.M.","Pain assessment tool with electrodermal activity for postoperative patients: Method validation study","JMIR mHealth and uHealth","","22915222","10.2196/25258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105522128&doi=10.2196%2f25258&partnerID=40&md5=ad861611992a06028530ec1999e1898d","Background: Accurate, objective pain assessment is required in the health care domain and clinical settings for appropriate pain management. Automated, objective pain detection from physiological data in patients provides valuable information to hospital staff and caregivers to better manage pain, particularly for patients who are unable to self-report. Galvanic skin response (GSR) is one of the physiologic signals that refers to the changes in sweat gland activity, which can identify features of emotional states and anxiety induced by varying pain levels. This study used different statistical features extracted from GSR data collected from postoperative patients to detect their pain intensity. To the best of our knowledge, this is the first work building pain models using postoperative adult patients instead of healthy subjects. Objective: The goal of this study was to present an automatic pain assessment tool using GSR signals to predict different pain intensities in noncommunicative, postoperative patients. Methods: The study was designed to collect biomedical data from postoperative patients reporting moderate to high pain levels. We recruited 25 participants aged 23-89 years. First, a transcutaneous electrical nerve stimulation (TENS) unit was employed to obtain patients' baseline data. In the second part, the Empatica E4 wristband was worn by patients while they were performing low-intensity activities. Patient self-report based on the numeric rating scale (NRS) was used to record pain intensities that were correlated with objectively measured data. The labels were down-sampled from 11 pain levels to 5 different pain intensities, including the baseline. We used 2 different machine learning algorithms to construct the models. The mean decrease impurity method was used to find the top important features for pain prediction and improve the accuracy. We compared our results with a previously published research study to estimate the true performance of our models. Results: Four different binary classification models were constructed using each machine learning algorithm to classify the baseline and other pain intensities (Baseline [BL] vs Pain Level [PL] 1, BL vs PL2, BL vs PL3, and BL vs PL4). Our models achieved higher accuracy for the first 3 pain models than the BioVid paper approach despite the challenges in analyzing real patient data. For BL vs PL1, BL vs PL2, and BL vs PL4, the highest prediction accuracies were achieved when using a random forest classifier (86.0, 70.0, and 61.5, respectively). For BL vs PL3, we achieved an accuracy of 72.1 using a k-nearest-neighbor classifier. Conclusions: We are the first to propose and validate a pain assessment tool to predict different pain levels in real postoperative adult patients using GSR signals. We also exploited feature selection algorithms to find the top important features related to different pain intensities. © 2021 JMIR Publications. All rights reserved.","2021","2021-05-19 13:26:04","2021-05-19 13:26:04","","","","5","9","","","","","","","","","","English","","","","","","","Publisher: JMIR Publications Inc.","<p>cited By 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T67K7F6I","conferencePaper","2021","Li, Y.; Deng, K.","Application of Virtual Reality Technology in the Health Field Based on the Background of Big Data","Journal of Physics: Conference Series","","","10.1088/1742-6596/1883/1/012175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105486110&doi=10.1088%2f1742-6596%2f1883%2f1%2f012175&partnerID=40&md5=16999b6e4cf7389f753542cf8b211306","With the development of big data and artificial intelligence, virtual reality technology has penetrated into every aspect of daily life. Among them, the application of virtual reality technology in the health field is of great significance. Virtual reality technology can assist clinical medicine in the treatment of patients, and can also simulate the physical feelings of panic disorder and some disabilities to induce emotions similar to patients, produce empathy effects, enhance normal people's understanding of patients, or improve health The effect of dissemination. This article discusses the current status of the application of virtual reality technology in the context of big data, and analyzes how virtual reality technology can promote health communication, disperse pain, treatment of psychological disorders, and begin to provide services for the elderly, which has great social and practical significance. This article reviews and compares the recent applications of virtual reality technology in the health field at home and abroad, and analyzes its prospects and shortcomings. © Published under licence by IOP Publishing Ltd.","2021","2021-05-19 13:26:04","2021-05-19 13:26:04","","","","","1883","","","","","","","","IOP Publishing Ltd","","English","","","","","","","ISSN: 17426588 Issue: 1","<p>cited By 0; Conference of 2021 2nd International Conference on Computer Information and Big Data Applications, CIBDA 2021 ; Conference Date: 26 March 2021 Through 28 March 2021; Conference Code:168715</p>","","","Virtual reality; Artificial intelligence; Big data; Virtual reality technology; Patient treatment; Clinical medicine; Current status; Daily lives; Health communication; Medicine; Psychological disorders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
