"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XIW3BU2W","book","2016","De Carolis, Berardina; Ferilli, Stefano; Palestra, Giuseppe; SpringerLink (Online service)","Simulating empathic behavior in a social assistive robot","","","","","https://doi.org/10.1007/s11042-016-3797-0","","2016","2021-05-19 13:02:02","2021-05-19 13:02:02","2021-05-19 13:01:56","","","","","","","","","","","","","","English","","","","","Open WorldCat","","OCLC: 1188151127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"576XB6YW","journalArticle","2020","Jenkins J; Jenkins J; van der Poel S; Krussel J; Bosch E; Nelson S.M; Pinborg A; Yao M.M.W","Empathetic application of machine learning may address appropriate utilization of ART","Reprod. BioMed. Online Reproductive BioMedicine Online","","1472-6483","","","","2020","2021-05-19 13:02:02","2021-05-19 13:02:02","","573-577","","4","41","","","","","","","","","","English","","","","","Open WorldCat","","OCLC: 8660760112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4W4CTZC9","journalArticle","2019","Sanal MG; Paul K; Kumar S; Ganguly NK","Artificial Intelligence and Deep Learning: The Future of Medicine and Medical Practice.","The Journal of the Association of Physicians of India","","0004-5772","","","Abstract: Artificial Intelligence (AI) and access to ""Big Data"" together with the evolving techniques in biotechnology will change the medical practice a big way. Many diseases such as type II diabetes will no longer be considered as a single disease. Many familiar cancers such as cancer of liver or pancreas will have hundreds of subtypes whose management will be very different. The way we think about diseases will change. It will no longer be possible for clinicians to make a diagnosis, remember the names of diseases, the names of drugs or management protocols without the help of computers. As computer intelligence becomes more important than human intelligence in deciding diagnosis and treatment there will be a paradigm in the role of doctors. Internet, computers and social media will become more important than individuals in decision making. As a result, medicine will go more and more egalitarian (""wiki"") with increasing community participation in health decision making and management. A socialistic pattern will evolve over time globally as an adaptive reaction to the pressures put by artificial intelligence. This is because the individual differences in knowledge or intellect between human beings will become less apparent compared to the super powers of artificial intelligence. Qualities which are unique for humans such as compassion, empathy and emotional care will decide the professional success of future physicians even more than today. Today we are using artificial intelligence in diagnosis and prediction to help clinicians. Clinical algorithms and human experience cannot be replaced by machines. It will take many years to completely merge or replace humans with machines. However, we need to modify our medical education system in order to prepare the medical community and sensitize the society well in advance for a smooth transition.","2019","2021-05-19 13:02:02","2021-05-19 13:02:02","","71-73","","4","67","","","Artificial Intelligence and Deep Learning","","","","","","","English","","","","","Open WorldCat","","OCLC: 8178727167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWMW3SNK","journalArticle","2016","Simmhan, Yogesh; Ramakrishnan, Lavanya; Antoniu, Gabriel; Goble, Carole; Yu, Yong; Mu, Yi; Lu, Rongxing; Ren, Jian; Venticinque, Salvatore; Camacho, David; Hernández-Castro, Carlos Javier; Barrero, David F; R-Moreno, María D","Machine learning and empathy: the Civil Rights CAPTCHA A MACHINE LEARNING ATTACK AGAINST CRC","Concurrency Computat.: Pract. Exper. Concurrency and Computation: Practice and Experience","","","","","","2016","2021-05-19 13:02:02","2021-05-19 13:02:02","","1310-1323","","4","28","","","Machine learning and empathy","","","","","","","English","","","","","Open WorldCat","","OCLC: 5886321052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3RV2YRXH","journalArticle","2016","Hernández-Castro, Carlos Javier; Barrero, David F; R-Moreno, María D","Machine learning and empathy: the Civil Rights CAPTCHA","CPE Concurrency and Computation: Practice and Experience","","1532-0626","","","Human interactive proofs (HIPs) are a basic security measure on the Internet to avoid automatic attacks. There is an ongoing effort to find a HIP that is secure enough yet easy for humans. Recently, a new HIP has been designed aiming at higher security: the Civil Rights Completely Automated Public Turing test to tell Computers and Humans Apart (CAPTCHA). It employs the empathy capacity of humans to further strengthen Securimage, a well-known text CAPTCHA. In this paper, we analyze it from a security perspective, finding fundamental design flaws. Using several well-known machine learning (ML) algorithms, we analyze to what extent these flaws affect its security. We discover that thanks to them, we can create a successful side-channel attack. This attack is able to correctly solve the HIP on 20.7<i>%</i> of occasions, much more than enough to consider it broken. Thus, we show that there is no need to solve the problem of optical character recognition nor empathy analysis for computers to break this particular HIP. ML can be successfully used to break a HIP that uses both with a side-channel attack. This security analysis can be applied to other HIPs. It will allow to test whether they are <i>leaking</i> too much information by unexpected ways, given non-evident design flaws. Copyright © 2015 John Wiley & Sons, Ltd.","2016","2021-05-19 13:02:02","2021-05-19 13:02:02","","1310-1323","","4","28","","","Machine learning and empathy","","","","","","","English","","","","","Open WorldCat","","OCLC: 5997406030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFJD2IPB","journalArticle","2020","Ostherr K","Artificial Intelligence and Medical Humanities.","The Journal of medical humanities","","1041-3545","","","The use of artificial intelligence in healthcare has led to debates about the role of human clinicians in the increasingly technological contexts of medicine. Some researchers have argued that AI will augment the capacities of physicians and increase their availability to provide empathy and other uniquely human forms of care to their patients. The human vulnerabilities experienced in the healthcare context raise the stakes of new technologies such as AI, and the human dimensions of AI in healthcare have particular significance for research in the humanities. This article explains four key areas of concern relating to AI and the role that medical/health humanities research can play in addressing them: definition and regulation of ""medical"" versus ""health"" data and apps; social determinants of health; narrative medicine; and technological mediation of care. Issues include data privacy and trust, flawed datasets and algorithmic bias, racial discrimination, and the rhetoric of humanism and disability. Through a discussion of potential humanities contributions to these emerging intersections with AI, this article will suggest future scholarly directions for the field.","2020","2021-05-19 13:02:02","2021-05-19 13:02:02","","","","","","","","","","","","","","","English","","","","","Open WorldCat","","OCLC: 8626727427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6VRV4KBR","journalArticle","2016","Gibson J; Can D; Xiao B; Georgiou P; Narayanan S; Imel Z.E; Atkins D.C; 17th Annual Conference of the International Speech Communication Association, INTERSPEECH 2016","A deep learning approach to modeling empathy in addiction counseling","Proc. Annu. Conf. Int. Speech. Commun. Assoc., INTERSPEECH Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH","","2308-457X","","","","2016","2021-05-19 13:02:02","2021-05-19 13:02:02","","1447-1451","","","","","","","","","","","","","English","","","","","Open WorldCat","","OCLC: 6943004632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6HXNYF9U","journalArticle","2018","Indraganti, Madhavi","Enquiry-Based Learning Workshop for Deep Learning in Middle Eastern Classrooms -- An Action Research Approach","Educational Action Research","","0965-0792","","","The senior year design students and I were dismayed when my linear teaching and their habitual rote learning failed in a Middle Eastern University. The gulf between the curricular objectives and our teaching-learning methods intrigued me. I turned this into an action research project that sought to answer the questions, 'What paradigm shift might we need to migrate from traditional rote learning to deep learning? What attitudinal change and philosophical beliefs would that call for in an instructor?' The search for a solution metamorphosed me from a disengaged instructor into an empathizing reflecting practitioner. It led my students to active engagement in an enquiry-based learning workshop, which significantly improved their performance. This paper celebrates the journey of our collective deep learning. It explicates how I built my personal theory of teaching praxis through critical consciousness and meta reflection. This knowledge-creation process is empowering and may draw many teacher researchers towards meta-reflexive engagement with the social systems around. These change drivers can initiate institutional overhaul to effect systemic reforms.","2018","2021-05-19 13:02:02","2021-05-19 13:02:02","","603-625","","4","26","","","","","","","","","","English","","","","","Open WorldCat","","Publisher: Routledge. Available from: Taylor & Francis, Ltd. 530 Walnut Street Suite 850, Philadelphia, PA 19106. Tel: 800-354-1420; Tel: 215-625-8900; Fax: 215-207-0050; Web site: http://www.tandf.co.uk/journals OCLC: 7927267560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8PTJ9UHF","journalArticle","2020","Abate A.F; Nappi M; Passero I; Castiglione A; 2020 International Conference on Advanced Visual Interfaces, AVI 2020","DELEX: A DEep Learning Emotive eXperience: Investigating empathic HCI","ACM Int. Conf. Proc. Ser. ACM International Conference Proceeding Series","","","","","","2020","2021-05-19 13:02:02","2021-05-19 13:02:02","","","","","","","","DELEX","","","","","","","English","","","","","Open WorldCat","","OCLC: 8691066857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HGSZR6VE","journalArticle","2019","Devchand, Pallavi R","Well. From Artificial Intelligence to Empathy?","Nuclear Receptor Research","","2314-5706","","","","2019","2021-05-19 13:02:02","2021-05-19 13:02:02","","","","","6","","","","","","","","","","English","","","","","Open WorldCat","","OCLC: 8049478490","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EF38BYRL","journalArticle","2021","Kiesow, Hannah; Spreng, R. Nathan; Holmes, Avram J; Chakravarty, M. Mallar; Marquand, Andre F; Yeo, B. T. Thomas; Bzdok, Danilo","Deep learning identifies partially overlapping subnetworks in the human social brain","Commun Biol Communications Biology","","","","","Abstract: Complex social interplay is a defining property of the human species. In social neuroscience, many experiments have sought to first define and then locate ‘perspective taking’, ‘empathy’, and other psychological concepts to specific brain circuits. Seldom, bottom-up studies were conducted to first identify explanatory patterns of brain variation, which are then related to psychological concepts; perhaps due to a lack of large population datasets. In this spirit, we performed a systematic de-construction of social brain morphology into its elementary building blocks, involving ~10,000 UK Biobank participants. We explored coherent representations of structural co-variation at population scale within a recent social brain atlas, by translating autoencoder neural networks from deep learning. The learned subnetworks revealed essential patterns of structural relationships between social brain regions, with the nucleus accumbens, medial prefrontal cortex, and temporoparietal junction embedded at the core. Some of the uncovered subnetworks contributed to predicting examined social traits in general, while other subnetworks helped predict specific facets of social functioning, such as the experience of social isolation. As a consequence of our population-level evidence, spatially overlapping subsystems of the social brain probably relate to interindividual differences in everyday social life. : Kiesow et al. use deep learning to identify partially overlapping subnetworks in the human social brain at the population level. They also demonstrate that the learned subnetwork representations can be used to predict social traits.","2021","2021-05-19 13:02:23","2021-05-19 13:02:23","","","","1","4","","","","","","","","","","English","","","","","Open WorldCat","","OCLC: 8881022873","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSRY96YM","journalArticle","2021","Zhang L; Zhang T; Ren Z; Jiang G","Predicting compassion fatigue among psychological hotline counselors using machine learning techniques.","Current psychology (New Brunswick, N.J.)","","1046-1310","","","During the outbreak of coronavirus disease 2019, psychological hotline counselors frequently address help-seekers' traumatic experiences from time to time, which possibly causes counselors' compassion fatigue. The present study aimed to explore the predictors of compassion fatigue among a high-risk population of psychological hotline counselors. Seven hundred and twelve psychological hotline counselors were recruited from the Mental Health Service Platform at Central China Normal University, Ministry of Education, then were asked to complete the questionnaires measuring compassion fatigue, trait empathy, social support, trait mindfulness, counselor's self-efficacy, humor, life meaning, and post-traumatic growth. A chi-square test was utilized to filter for the top-20 predictive variables. Machine learning techniques, including logistic regression, decision tree, random forest, k-nearest neighbor, support vector machine, and naïve Bayes were employed to predict compassion fatigue. The results showed that the most important predictors of compassion fatigue were meaning in life, counselors' self-efficacy, mindfulness, and empathy. Except for the decision tree, the rest machine learning techniques obtained good performance. Naïve Bayes presented the highest area under the receiver operating characteristic curve of 0.803. Random forest achieved the least classification error of 23.64, followed by Naïve Bayes with a classification error of 23.85. These findings support the potential application of machine learning techniques in the prediction of compassion fatigue. Supplementary Information: The online version contains supplementary material available at 10.1007/s12144-021-01776-7.","2021","2021-05-19 13:02:23","2021-05-19 13:02:23","","1-12","","","2021","","","","","","","","","","English","","","","","Open WorldCat","","OCLC: 9021988548","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
