"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RZB8IEFY","journalArticle","2022","Lv, Xingyang; Yang, Yufan; Qin, Dazhi; Cao, Xingping; Xu, Hong","Artificial Intelligence Service Recovery: The Role of Empathic Response in Hospitality Customers’ Continuous Usage Intention","Comput. Hum. Behav.","","0747-5632","10.1016/j.chb.2021.106993","https://doi.org/10.1016/j.chb.2021.106993","","2022-01","2022-07-15 08:52:46","2022-07-15 08:52:46","","","","C","126","","","","","","","","","","","","","","","","","Place: NLD Publisher: Elsevier Science Publishers B. V.","","","","Artificial intelligence (AI); Continuous usage intention; Emotional intelligence; Empathy; Service recovery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U29JDFB8","conferencePaper","2021","Khalid, Mohd Nor Akmal; Iida, Hiroyuki; Yusof, Umi Kalsom; Che Mat, Ruzinoor","Artificial Intelligence and Entertainment Science Workshop: Towards Empathic Entertainment Technology","Entertainment Computing – ICEC 2021: 20th IFIP TC 14 International Conference, ICEC 2021, Coimbra, Portugal, November 2–5, 2021, Proceedings","978-3-030-89393-4","","10.1007/978-3-030-89394-1_41","https://doi.org/10.1007/978-3-030-89394-1_41","The intersection of artificial intelligence and entertainment science via games had led to fruitful development in both fields. Empathic technology in the entertainment medium is a promising trend that bridges both worlds. This workshop provides the discussion space for those interested in its application, societal issues, risks, and best practices .","2021","2022-07-15 08:52:46","2022-07-15 08:52:46","","475–481","","","","","","","","","","","Springer-Verlag","Berlin, Heidelberg","","","","","","","","event-place: Coimbra, Portugal","","","","Artificial intelligence; Empathy; Entertainment; Technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LRR8N8U8","conferencePaper","2021","Li, Yanran; Li, Ke; Ning, Hongke; Xia, Xiaoqiang; Guo, Yalong; Wei, Chen; Cui, Jianwei; Wang, Bin","Towards an Online Empathetic Chatbot with Emotion Causes","Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval","978-1-4503-8037-9","","10.1145/3404835.3463042","https://doi.org/10.1145/3404835.3463042","Existing emotion-aware conversational models usually focus on controlling the response contents to align with a specific emotion class, whereas empathy is the ability to understand and concern the feelings and experience of others. Hence, it is critical to learn the causes that evoke the users' emotion for empathetic responding, a.k.a. emotion causes. To gather emotion causes in online environments, we leverage counseling strategies and develop an empathetic chatbot to utilize the causal emotion information. On a real-world online dataset, we verify the effectiveness of the proposed approach by comparing our chatbot with several SOTA methods using automatic metrics, expert-based human judgements as well as user-based online evaluation.","2021","2022-07-15 08:52:46","2022-07-15 08:52:46","","2041–2045","","","","","","","SIGIR '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event, Canada","","","","dialogue systems; empathetic chatbots; response generation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MLEEMK4E","conferencePaper","2021","Park, Ung; Kim, Minsoo; Jang, Youngeun; Lee, GiJae; Kim, KangGeon; Kim, Ig-Jae; Choi, Jongsuk","Robot Facial Expression Framework for Enhancing Empathy in Human-Robot Interaction","2021 30th IEEE International Conference on Robot &amp; Human Interactive Communication (RO-MAN)","","","10.1109/RO-MAN50785.2021.9515533","https://doi.org/10.1109/RO-MAN50785.2021.9515533","A social robot interacts with humans based on social intelligence, for which related applications are being developed across diverse fields to be increasingly integrated in modern society. In this regard, social intelligence and interaction are the keywords of a social robot. Social intelligence refers to the ability to control interactions or thoughts and feelings of relationships with other people; primal empathy, which is the ability to empathize by perceiving emotional signals, among the components of social intelligence was applied to the robot in this study. We proposed that the empathic ability of a social robot can be improved if the social robot can create facial expressions based on the emotional state of a user. Moreover, we suggested a framework of facial expressions for robots. These facial expressions can be repeatedly used in various social robot platforms to achieve such a strategy.","2021","2022-07-15 08:52:46","2022-07-15 08:52:46","","832–838","","","","","","","","","","","IEEE Press","","","","","","","","","event-place: Vancouver, BC, Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J5H9JNNC","journalArticle","2021","Malinowska, Joanna K.","What Does It Mean to Empathise with a Robot?","Minds Mach.","","0924-6495","10.1007/s11023-021-09558-7","https://doi.org/10.1007/s11023-021-09558-7","Given that empathy allows people to form and maintain satisfying social relationships with other subjects, it is no surprise that this is one of the most studied phenomena in the area of human–robot interaction (HRI). But the fact that the term ‘empathy’ has strong social connotations raises a question: can it be applied to robots? Can we actually use social terms and explanations in relation to these inanimate machines? In this article, I analyse the range of uses of the term empathy in the field of HRI studies and social robotics, and consider the substantial, functional and relational positions on this issue. I focus on the relational (cooperational) perspective presented by Luisa Damiano and Paul Dumouchel, who interpret emotions (together with empathy) as being the result of affective coordination. I also reflect on the criteria that should be used to determine when, in such relations, we are dealing with actual empathy.","2021-09","2022-07-15 08:52:46","2022-07-15 08:52:46","","361–376","","3","31","","","","","","","","","","","","","","","","","Place: USA Publisher: Kluwer Academic Publishers","","","","Empathy; Human–robot interactions; Neuroscience; Social robots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4Z7J38Q6","conferencePaper","2021","Bejarano, Alexandra; Lomax, Olivia; Scherschel, Peyton; Williams, Tom","Designing for Perceived Robot Empathy for Children in Long-Term Care","Social Robotics: 13th International Conference, ICSR 2021, Singapore, Singapore, November 10–13, 2021, Proceedings","978-3-030-90524-8","","10.1007/978-3-030-90525-5_65","https://doi.org/10.1007/978-3-030-90525-5_65","We describe a mixed-methods approach toward the design and evaluation of social robots that can offer emotional support for children in long-term care environments. Based on the results of a needfinding interview with a local expert, our specific aim was to design a robot that would be perceived as empathetic. An online human-subject study (n&nbsp;=&nbsp;26) provided preliminary support for a hypothesis that this design goal could be achieved by designing robots to maintain the flow of conversation and ask related followup questions to further understand interlocutors’ feelings.","2021","2022-07-15 08:52:46","2022-07-15 08:52:46","","743–748","","","","","","","","","","","Springer-Verlag","Berlin, Heidelberg","","","","","","","","event-place: Singapore, Singapore","","","","Child-robot interaction; Empathy; Social robot design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUKBIEEP","journalArticle","2022","Balle, Simon N.","Empathic Responses and Moral Status for Social Robots: An Argument in Favor of Robot Patienthood Based on K. E. Løgstrup","AI Soc.","","0951-5666","10.1007/s00146-021-01211-2","https://doi.org/10.1007/s00146-021-01211-2","Empirical research on human–robot interaction (HRI) has demonstrated how humans tend to react to social robots with empathic responses and moral behavior. How should we ethically evaluate such responses to robots? Are people wrong to treat non-sentient artefacts as moral patients since this rests on anthropomorphism and ‘over-identification’ (Bryson and Kime, Proc Twenty-Second Int Jt Conf Artif Intell Barc Catalonia Spain 16–22:1641–1646, 2011)—or correct since spontaneous moral intuition and behavior toward nonhumans is indicative for moral patienthood, such that social robots become our ‘Others’ (Gunkel, Robot rights, MIT Press, London, 2018; Coeckelbergh, Kairos J Philos Sci 20:141–158, 2018)?. In this research paper, I weave extant HRI studies that demonstrate empathic responses toward robots with the recent debate on moral status for robots, on which the ethical evaluation of moral behavior toward them is dependent. Patienthood for robots has standardly been thought to obtain on some intrinsic ground, such as being sentient, conscious, or having interest. But since these attempts neglect moral experience and are curbed by epistemic difficulties, I take inspiration from Coeckelbergh and Gunkel’s ‘relational approach’ to explore an alternative way of accounting for robot patienthood based on extrinsic premises. Based on the ethics of Danish theologian K. E. Løgstrup (1905–1981) I argue that empathic responses can be interpreted as sovereign expressions of life and that these expressions benefit human subjects—even if they emerge from social interaction afforded by robots we have anthropomorphized. I ultimately develop an argument in defense of treating robots as moral patients.","2022-06","2022-07-15 08:52:46","2022-07-15 08:52:46","","535–548","","2","37","","","","","","","","","","","","","","","","","Place: Berlin, Heidelberg Publisher: Springer-Verlag","","","","Empathy; Ethics; K. E. Løgstrup; Moral status; Patienthood; Social robots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A53IVFEL","journalArticle","2021","Sripian, Peeraya; Mohd Anuardi, Muhammad Nur Adilin; Kajihara, Yushun; Sugaya, Midori","Empathetic Robot Evaluation through Emotion Estimation Analysis and Facial Expression Synchronization from Biological Information","Artif. Life Robot.","","1433-5298","10.1007/s10015-021-00696-w","https://doi.org/10.1007/s10015-021-00696-w","Empathy is an important factor in human communication. For a robot to apply a matching emotion in human–robot communication, the robot needs to be able to understand human feelings. Therefore, in this study, we aimed to improve the human impression of the robot using a robot that expresses human-like expressions by synchronizing with human biological information and changing the expressions in real time. We first measured and estimated human emotions using an emotion estimation method based on biological information (brain waves and heartbeats). The three-emotion estimation methods were proposed and evaluated in the preliminary experiment. Among the three-emotion estimation methods proposed, the one that yields the highest impression rating was chosen to be used in the second experiment which was based on the emotional value in each cycle method. Then, we developed a robot that shows expressions in two patterns: (1) synchronized emotion (same emotion as subject conveyed) and (2) inversed emotion with the human. The subjects evaluated the robot’s expression from both patterns using semantic differential (SD) method while having their biological information measured based on the selected emotion estimation method from previous preliminary experiment. The evaluation by SD method and biological information results showed that when the human experienced the happiness emotion, and the robot synchronized and expressed the same emotion, this could increase the intimacy between human and robot. Here, it can be said that the impression created by the robot’s expression can be improved using biological information.","2021-11","2022-07-15 08:52:46","2022-07-15 08:52:46","","379–389","","4","26","","","","","","","","","","","","","","","","","Place: Berlin, Heidelberg Publisher: Springer-Verlag","","","","Biological information; Emotion analysis; Emotion estimation; Empathetic robot; Robot expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGGQR8TI","conferencePaper","2022","Takahashi, Tomomi; Song, Sichao; Baba, Jun; Nakanishi, Junya; Yoshikawa, Yuichiro; Ishiguro, Hiroshi","Can an Empathetic Teleoperated Robot Be a Working Mate That Supports Operator's Mentality?","Proceedings of the 2022 ACM/IEEE International Conference on Human-Robot Interaction","","","","","Customer service with teleoperated robots is susceptible to the same problems related to stress as is emotional labor in general, such as for in-person customer service representatives. In this study, we aimed to reduce that stress by constructing a buddy-like rapport between the robot, which is the target of teleoperation, and its operator. For this purpose, we designed an empathetic interaction between the robot and the operator and conducted a customer service experiment to verify its effectiveness. Our results demonstrate that the proposed interaction can build rapport between the robot and the operator and the operator can feel more reassured. Although the effect on stress could not be isolated directly from the data, detailed analyses of the response to the questionnaires indicated that the proposed interaction may be useful to relieve stress.","2022","2022-07-15 08:52:46","2022-07-15 08:52:46","","1059–1063","","","","","","","HRI '22","","","","IEEE Press","","","","","","","","","event-place: Sapporo, Hokkaido, Japan","","","","empathetic interaction; mental stress; rapport; teleoperated robot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZUS4GYD","conferencePaper","2022","Salutari, Agnese; Tarantino, Laura; De Gasperis, Giovanni","BlocksBot: Towards an Empathic Robot Offering Multi-Modal Emotion Detection Based on a Distributed Hybrid System","Human-Computer Interaction. Technological Innovation: Thematic Area, HCI 2022, Held as Part of the 24th HCI International Conference, HCII 2022, Virtual Event, June 26 – July 1, 2022, Proceedings, Part II","978-3-031-05408-2","","10.1007/978-3-031-05409-9_45","https://doi.org/10.1007/978-3-031-05409-9_45","Studies show that people expectations on robots and their behavior are similar to those regarding living objects, and that users ascribe robots with human attributes, qualities, and capabilities even when the robot is not conceived for social interaction. Actually, the increasing availability of sensors able to capture situational data makes it possible to achieve adaptive systems able to dynamically take into account users’ and context information with unprecedented precision, thus showing some degree of empathy and emotional intelligence. Modern robots can use their sensors, like cameras and microphones, not only for their more traditional goals, but also for classifying human emotional states in order to emulate an empathic behavior, and to put the users at ease and tempt them in continuing the interaction. They can offer a human-like communication occurring over different verbal and non-verbal communication channels. Anyhow, since multi-modal emotion detection is a complex technique requiring a proper combination of all the deriving data, handling it can be very demanding, and maybe impossible to achieve for many machines because of hardware limitations or simply for an unaffordable battery power consumption, with an ultimate effect on usability, which can degrade up to an unacceptable degree. In this paper we discuss how these problems have been faced within the framework of the BlocksBot project and how its Hybrid Distributed approach allows to overcome such limitations.","2022","2022-07-15 08:52:46","2022-07-15 08:52:46","","625–638","","","","","","","","","","","Springer-Verlag","Berlin, Heidelberg","","","","","","","","","","","","Empathy; Human-Robot Interaction; Multimodal emotion detection; Performances","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
