"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GQEVN9EX","journalArticle","2020","Devaram, Sarada","Empathic Chatbot: Emotional Intelligence for Empathic Chatbot: Emotional Intelligence for Mental Health Well-being","arXiv:2012.09130 [cs]","","","","http://arxiv.org/abs/2012.09130","Conversational chatbots are Artificial Intelligence (AI)-powered applications that assist users with various tasks by responding in natural language and are prevalent across different industries. Most of the chatbots that we encounter on websites and digital assistants such as Alexa, Siri does not express empathy towards the user, and their ability to empathise remains immature. Lack of empathy towards the user is not critical for a transactional or interactive chatbot, but the bots designed to support mental healthcare patients need to understand the emotional state of the user and tailor the conversations. This research explains the different types of emotional intelligence methodologies adopted in the development of an empathic chatbot and how far they have been adopted and succeeded.","2020-12-15","2021-02-07 22:17:32","2021-02-07 22:17:32","2021-02-07 22:17:32","","","","","","","Empathic Chatbot","","","","","","","","","","","","arXiv.org","","arXiv: 2012.09130","","C:\Users\esben\Zotero\storage\A9VPMN73\Devaram - 2020 - Empathic Chatbot Emotional Intelligence for Empat.pdf; C:\Users\esben\Zotero\storage\EXZXA4AD\2012.html","","","Computer Science - Human-Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AVZPZ8EB","journalArticle","2020","Henriques, Nuno A. C.; Coelho, Helder; Garcia-Marques, Leonel","SensAI+Expanse Emotional Valence Prediction Studies with Cognition and Memory Integration","arXiv:2001.09746 [cs]","","","","http://arxiv.org/abs/2001.09746","The humans are affective and cognitive beings relying on memories for their individual and social identities. Also, human dyadic bonds require some common beliefs such as empathetic behaviour for better interaction. In this sense, research studies involving human-agent interaction should resource on affect, cognition, and memory integration. The developed artificial agent system (SensAI+Expanse) includes machine learning algorithms, heuristics, and memory as cognition aids towards emotional valence prediction on the interacting human. Further, an adaptive empathy score is always present in order to engage the human in a recognisable interaction outcome. [...] The agent is resilient on collecting data, adapts its cognitive processes to each human individual in a learning best effort for proper contextualised prediction. The current study make use of an achieved adaptive process. Also, the use of individual prediction models with specific options of the learning algorithm and evaluation metric from a previous research study. The accomplished solution includes a highly performant prediction ability, an efficient energy use, and feature importance explanation for predicted probabilities. Results of the present study show evidence of significant emotional valence behaviour differences between some age ranges and gender combinations. Therefore, this work contributes with an artificial intelligent agent able to assist on cognitive science studies. This ability is about affective disturbances by means of predicting human emotional valence contextualised in space and time. Moreover, contributes with learning processes and heuristics fit to the task including economy of cognition and memory to cope with the environment. Finally, these contributions include an achieved age and gender neutrality on predicting emotional valence states in context and with very good performance for each individual.","2020-03-10","2021-02-07 22:17:37","2021-02-07 22:17:37","2021-02-07 22:17:37","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 2001.09746","Comment: Accepted as regular paper in COGNITIVE 2020","C:\Users\esben\Zotero\storage\KAEHS8JX\Henriques et al. - 2020 - SensAI+Expanse Emotional Valence Prediction Studie.pdf; C:\Users\esben\Zotero\storage\2CJTZNX9\2001.html","","","Computer Science - Machine Learning; Computer Science - Computers and Society; Computer Science - Human-Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55HJAPM6","journalArticle","2019","Blease, Charlotte; Locher, Cosima; Leon-Carlyle, Marisa; Doraiswamy, P. Murali","Artificial Intelligence and the Future of Psychiatry: Qualitative Findings from a Global Physician Survey","arXiv:1910.09956 [cs]","","","","http://arxiv.org/abs/1910.09956","The potential for machine learning to disrupt the medical profession is the subject of ongoing debate within biomedical informatics. This study aimed to explore psychiatrists' opinions about the potential impact of innovations in artificial intelligence and machine learning on psychiatric practice. In Spring 2019, we conducted a web-based survey of 791 psychiatrists from 22 countries worldwide. The survey measured opinions about the likelihood future technology would fully replace physicians in performing ten key psychiatric tasks. This study involved qualitative descriptive analysis of written response to three open-ended questions in the survey. Comments were classified into four major categories in relation to the impact of future technology on patient-psychiatric interactions, the quality of patient medical care, the profession of psychiatry, and health systems. Overwhelmingly, psychiatrists were skeptical that technology could fully replace human empathy. Many predicted that 'man and machine' would increasingly collaborate in undertaking clinical decisions, with mixed opinions about the benefits and harms of such an arrangement. Participants were optimistic that technology might improve efficiencies and access to care, and reduce costs. Ethical and regulatory considerations received limited attention. This study presents timely information of psychiatrists' view about the scope of artificial intelligence and machine learning on psychiatric practice. Psychiatrists expressed divergent views about the value and impact of future technology with worrying omissions about practice guidelines, and ethical and regulatory issues.","2019-10-22","2021-02-07 22:17:41","2021-02-07 22:17:41","2021-02-07 22:17:40","","","","","","","Artificial Intelligence and the Future of Psychiatry","","","","","","","","","","","","arXiv.org","","arXiv: 1910.09956","","C:\Users\esben\Zotero\storage\9VV7MKZC\Blease et al. - 2019 - Artificial Intelligence and the Future of Psychiat.pdf; C:\Users\esben\Zotero\storage\FT9825X9\1910.html","","","Computer Science - Computers and Society; Computer Science - Artificial Intelligence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZ4U5ZYL","journalArticle","2019","Barros, Pablo; Churamani, Nikhil; Lim, Angelica; Wermter, Stefan","The OMG-Empathy Dataset: Evaluating the Impact of Affective Behavior in Storytelling","arXiv:1908.11706 [cs]","","","","http://arxiv.org/abs/1908.11706","Processing human affective behavior is important for developing intelligent agents that interact with humans in complex interaction scenarios. A large number of current approaches that address this problem focus on classifying emotion expressions by grouping them into known categories. Such strategies neglect, among other aspects, the impact of the affective responses from an individual on their interaction partner thus ignoring how people empathize towards each other. This is also reflected in the datasets used to train models for affective processing tasks. Most of the recent datasets, in particular, the ones which capture natural interactions (""in-the-wild"" datasets), are designed, collected, and annotated based on the recognition of displayed affective reactions, ignoring how these displayed or expressed emotions are perceived. In this paper, we propose a novel dataset composed of dyadic interactions designed, collected and annotated with a focus on measuring the affective impact that eight different stories have on the listener. Each video of the dataset contains around 5 minutes of interaction where a speaker tells a story to a listener. After each interaction, the listener annotated, using a valence scale, how the story impacted their affective state, reflecting how they empathized with the speaker as well as the story. We also propose different evaluation protocols and a baseline that encourages participation in the advancement of the field of artificial empathy and emotion contagion.","2019-08-30","2021-02-07 22:17:41","2021-02-07 22:17:41","2021-02-07 22:17:41","","","","","","","The OMG-Empathy Dataset","","","","","","","","","","","","arXiv.org","","arXiv: 1908.11706","Comment: 2019 8th International Conference on Affective Computing and Intelligent Interaction (ACII)","C:\Users\esben\Zotero\storage\3PZPMDQF\Barros et al. - 2019 - The OMG-Empathy Dataset Evaluating the Impact of .pdf; C:\Users\esben\Zotero\storage\MXKBN6TS\1908.html","","","Computer Science - Artificial Intelligence; Computer Science - Human-Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MV5NJWPV","journalArticle","2019","Shvo, Maayan; McIlraith, Sheila A.","Towards Empathetic Planning","arXiv:1906.06436 [cs]","","","","http://arxiv.org/abs/1906.06436","Critical to successful human interaction is a capacity for empathy - the ability to understand and share the thoughts and feelings of another. As Artificial Intelligence (AI) systems are increasingly required to interact with humans in a myriad of settings, it is important to enable AI to wield empathy as a tool to benefit those it interacts with. In this paper, we work towards this goal by bringing together a number of important concepts: empathy, AI planning, and reasoning in the presence of knowledge and belief. We formalize the notion of Empathetic Planning which is informed by the beliefs and affective state of the empathizee. We appeal to an epistemic logic framework to represent the beliefs of the empathizee and propose AI planning-based computational approaches to compute empathetic solutions. We illustrate the potential benefits of our approach by conducting a study where we evaluate participants' perceptions of the agent's empathetic abilities and assistive capabilities.","2019-06-14","2021-02-07 22:17:42","2021-02-07 22:17:42","2021-02-07 22:17:42","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1906.06436","","C:\Users\esben\Zotero\storage\ANSQ6JJG\Shvo and McIlraith - 2019 - Towards Empathetic Planning.pdf; C:\Users\esben\Zotero\storage\TZ27IYJI\1906.html","","","Computer Science - Artificial Intelligence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QE677A68","journalArticle","2013","Potapov, Alexey; Rodionov, Sergey","Universal Empathy and Ethical Bias for Artificial General Intelligence","arXiv:1308.0702 [cs]","","","","http://arxiv.org/abs/1308.0702","Rational agents are usually built to maximize rewards. However, AGI agents can find undesirable ways of maximizing any prior reward function. Therefore value learning is crucial for safe AGI. We assume that generalized states of the world are valuable - not rewards themselves, and propose an extension of AIXI, in which rewards are used only to bootstrap hierarchical value learning. The modified AIXI agent is considered in the multi-agent environment, where other agents can be either humans or other ""mature"" agents, which values should be revealed and adopted by the ""infant"" AGI agent. General framework for designing such empathic agent with ethical bias is proposed also as an extension of the universal intelligence model. Moreover, we perform experiments in the simple Markov environment, which demonstrate feasibility of our approach to value learning in safe AGI.","2013-08-03","2021-02-15 20:03:52","2021-02-15 20:03:52","2021-02-15 20:03:52","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1308.0702","Comment: AGI Impacts conference 2012 paper","C:\Users\esben\Zotero\storage\QW3CUPYQ\Potapov and Rodionov - 2013 - Universal Empathy and Ethical Bias for Artificial .pdf; C:\Users\esben\Zotero\storage\CPTDPDI2\1308.html","","","Computer Science - Artificial Intelligence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UW35F4QL","journalArticle","2020","Chen, Yi; Zhang, Lei; Merry, Tanner; Amatya, Sunny; Zhang, Wenlong; Ren, Yi","When Shall I Be Empathetic? The Utility of Empathetic Parameter Estimation in Multi-Agent Interactions","arXiv:2011.02047 [cs]","","","","http://arxiv.org/abs/2011.02047","Human-robot interactions (HRI) can be modeled as dynamic or differential games with incomplete information, where each agent holds private reward parameters. Due to the open challenge in finding perfect Bayesian equilibria of such games, existing studies often consider approximated solutions composed of parameter estimation and motion planning steps, in order to decouple the belief and physical dynamics. In parameter estimation, current approaches often assume that the reward parameters of the robot are known by the humans. We argue that by falsely conditioning on this assumption, the robot performs non-empathetic estimation of the humans' parameters, leading to undesirable values even in the simplest interactions. We test this argument by studying a two-vehicle uncontrolled intersection case with short reaction time. Results show that when both agents are unknowingly aggressive (or non-aggressive), empathy leads to more effective parameter estimation and higher reward values, suggesting that empathy is necessary when the true parameters of agents mismatch with their common belief. The proposed estimation and planning algorithms are therefore more robust than the existing approaches, by fully acknowledging the nature of information asymmetry in HRI. Lastly, we introduce value approximation techniques for real-time execution of the proposed algorithms.","2020-11-03","2021-02-15 21:06:05","2021-02-15 21:06:05","2021-02-15 21:06:05","","","","","","","When Shall I Be Empathetic?","","","","","","","","","","","","arXiv.org","","arXiv: 2011.02047","Comment: Submitted to ICRA2021","C:\Users\esben\Zotero\storage\WSY7IKJS\Chen et al. - 2020 - When Shall I Be Empathetic The Utility of Empathe.pdf; C:\Users\esben\Zotero\storage\LN4G4JB4\2011.html","","","Computer Science - Robotics; Computer Science - Computer Science and Game Theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9T7QBEB","journalArticle","2020","Alimardani, Maryam; Hermans, Annabella; Tinga, Angelica M.","Assessment of Empathy in an Affective VR Environment using EEG Signals","arXiv:2003.10886 [cs]","","","","http://arxiv.org/abs/2003.10886","With the advancements in social robotics and virtual avatars, it becomes increasingly important that these agents adapt their behavior to the mood, feelings and personality of their users. One such aspect of the user is empathy. Whereas many studies measure empathy through offline measures that are collected after empathic stimulation (e.g. post-hoc questionnaires), the current study aimed to measure empathy online, using brain activity collected during the experience. Participants watched an affective 360 video of a child experiencing domestic violence in a virtual reality headset while their EEG signals were recorded. Results showed a significant attenuation of alpha, theta and delta asymmetry in the frontal and central areas of the brain. Moreover, a significant relationship between participants' empathy scores and their frontal alpha asymmetry at baseline was found. These results demonstrate specific brain activity alterations when participants are exposed to an affective virtual reality environment, with the level of empathy as a personality trait being visible in brain activity during a baseline measurement. These findings suggest the potential of EEG measurements for development of passive brain-computer interfaces that assess the user's affective responses in real-time and consequently adapt the behavior of socially intelligent agents for a personalized interaction.","2020-03-24","2021-02-15 21:06:06","2021-02-15 21:06:06","2021-02-15 21:06:06","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 2003.10886","Comment: 13 pages, 3 figures, 3 tables","C:\Users\esben\Zotero\storage\I5CMYCAE\Alimardani et al. - 2020 - Assessment of Empathy in an Affective VR Environme.pdf; C:\Users\esben\Zotero\storage\V7WL2ADY\2003.html","","","Computer Science - Human-Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REE4T73P","journalArticle","2019","Perusquía-Hernández, Monica; Jáuregui, David Antonio Gómez; Cuberos-Balda, Marisabel; Paez-Granados, Diego","Robot mirroring: A framework for self-tracking feedback through empathy with an artificial agent representing the self","arXiv:1903.08524 [cs]","","","","http://arxiv.org/abs/1903.08524","Current technologies have enabled us to track and quantify our physical state and behavior. Self-tracking aims to achieve increased awareness to decrease undesired behaviors and lead to a healthier lifestyle. However, inappropriately communicated self-tracking results might cause the opposite effect. In this work, we propose a subtle self-tracking feedback by mirroring the self's state into an artificial agent. By eliciting empathy towards the artificial agent and fostering helping behaviors, users would help themselves as well. Finally, we reflected on the implications of this design framework, and the methodology to design and implement it. A series of interviews to expert designers pointed out to the importance of having multidisciplinary teams working in parallel. Moreover, an agile methodology with a sprint zero for the initial design, and shifted user research, design, and implementation sprints were proposed. Similar systems with data flow and hardware dependencies would also benefit from the proposed agile design process.","2019-03-20","2021-02-15 21:06:07","2021-02-15 21:06:07","2021-02-15 21:06:07","","","","","","","Robot mirroring","","","","","","","","","","","","arXiv.org","","arXiv: 1903.08524","Comment: 12 pages","C:\Users\esben\Zotero\storage\USMBJVXD\Perusquía-Hernández et al. - 2019 - Robot mirroring A framework for self-tracking fee.pdf; C:\Users\esben\Zotero\storage\XNTYF4K8\1903.html","","","Computer Science - Human-Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HGFBPLJ6","journalArticle","2019","Alves-Oliveira, Patricia; Sequeira, Pedro; Melo, Francisco S.; Castellano, Ginevra; Paiva, Ana","Empathic Robot for Group Learning: A Field Study","arXiv:1902.01800 [cs]","","","","http://arxiv.org/abs/1902.01800","This work explores a group learning scenario with an autonomous empathic robot. We address two research questions: (1) Can an autonomous robot designed with empathic competencies foster collaborative learning in a group context? (2) Can an empathic robot sustain positive educational outcomes in long-term collaborative learning interactions with groups of students? To answer these questions, we developed an autonomous robot with empathic competencies that is able to interact with a group of students in a learning activity about sustainable development. Two studies were conducted. The first study compares learning outcomes in children across 3 conditions: learning with an empathic robot; learning with a robot without empathic capabilities; and learning without a robot. The results show that the autonomous robot with empathy fosters meaningful discussions about sustainability, which is a learning outcome in sustainability education. The second study features groups of students who interact with the robot in a school classroom for two months. The long-term educational interaction did not seem to provide significant learning gains, although there was a change in game-actions to achieve more sustainability during game-play. This result reflects the need to perform more long-term research in the field of educational robots for group learning.","2019-02-05","2021-02-15 21:06:08","2021-02-15 21:06:08","2021-02-15 21:06:08","","","","","","","Empathic Robot for Group Learning","","","","","","","","","","","","arXiv.org","","arXiv: 1902.01800","Comment: ACM Transactions on Human-Robot Interaction, In press","C:\Users\esben\Zotero\storage\ZQKNGVPG\Alves-Oliveira et al. - 2019 - Empathic Robot for Group Learning A Field Study.pdf; C:\Users\esben\Zotero\storage\GC23QLFH\1902.html","","","Computer Science - Human-Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
