"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SWTYWWPW","conferencePaper","2011","Polajnar, J.; Dalvandi, B.; Polajnar, D.","Does empathy between artificial agents improve agent teamwork?","IEEE 10th International Conference on Cognitive Informatics and Cognitive Computing (ICCI-CC'11)","","","10.1109/COGINF.2011.6016126","","Both everyday experience and scientific studies indicate that emotional intelligence in general, and empathy in particular, improve the effectiveness of human teamwork. Research in affective computing confirms their significance in systems where humans and artificial agents interact. This paper explores the notion of empathy between artificial agents that has so far received little attention, and argues that it could have significant impact on the design of robust and resilient agent teams. Combining the formal framework of Emotional BDI agents with the principles underlying the leading model of empathy in psychology and neuroscience, we define a hierarchy of affective and behavioral responses, integrated into an algorithm that formalizes the interactions between the subject and object of empathy in the domain of artificial practical reasoning agents.","2011-08","2021-02-11 02:07:21","2021-02-11 02:07:21","","96-102","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\esben\Zotero\storage\72F6GM85\6016126.html","","","Humans; Cognition; neurophysiology; emotional intelligence; empathy; affective computing; neuroscience; affective responses; agent teamwork; artificial agents; artificial practical reasoning agents; behavioral responses; Computer science; Electronic mail; Emotional BDI agents; human teamwork; inference mechanisms; multi-agent systems; Neuroscience; psychology; resilient agent team design; robust agent team design; Robustness; Teamwork","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IEEE 10th International Conference on Cognitive Informatics and Cognitive Computing (ICCI-CC'11)","","","","","","","","","","","","","","",""
"NUJXZSXP","conferencePaper","2020","Nehra, V.; Nagpal, R.; Sehgal, R.","Collective Intelligence: When, Where and Why","2020 10th International Conference on Cloud Computing, Data Science Engineering (Confluence)","","","10.1109/Confluence47617.2020.9058000","","The term “Collective” is just not restricted to the human beings but can also be referred to the organisms such as flock of birds, swarm of bees, colony of bats etc. In computer environments, the term may also refer to groups of virtual artificially intelligent agents. Most generally it can applicable to the workings of the entire planet or universe as smart organization whose intelligence is supplied and manifested through the entities within it. Collective Intelligence is a no new terms infact it's been used from several decades now but what's new is the emergence of computer technology which makes it a new and one of the most promising application of it used in a variety of field. Machine learning and Artificial Intelligence are making an enormous buzz around the world. The plenty of utilizations in Artificial Intelligence have changed the substance of innovation. This paper would give an overview of the promising future aspects and researches in the field of Collective Intelligence in brief. We need to concentrate on the elements that guide collective intelligence if we really want to optimize our groups for excellent cooperation. We need to concentrate on personality characteristics that are not so simple to follow, yet they are critical to the long-term achievement of organizations, such as intellect, consciousness, compassion, empathy, and regard. In this paper along with the definition of the Collective Intelligence, it would be measured, compared with individual intelligence and its applications are studied in brief.","2020-01","2021-02-11 02:07:21","2021-02-11 02:07:21","","805-810","","","","","","Collective Intelligence","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\esben\Zotero\storage\7EW9HMRQ\9058000.html","","","artificial intelligence; learning (artificial intelligence); machine learning; Collective Intelligence; Aggregates; Artificial Intellegence; collective intelligence; Collective intelligence; Organizations; Particle swarm optimization; smart organization; Social network services; software agents; Standards organizations; Swarm Intelligence; virtual artificially intelligent agents","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 10th International Conference on Cloud Computing, Data Science Engineering (Confluence)","","","","","","","","","","","","","","",""
"NT4RQEAS","conferencePaper","2020","Dixit, R.; Chinnam, R. B.; Singh, H.","Artificial Intelligence and Machine Learning in Sparse/Inaccurate Data Situations","2020 IEEE Aerospace Conference","","","10.1109/AERO47225.2020.9172612","","Machine Learning (ML) and other artificial Intelligence (AI) techniques have been developed for real-time decision making, and are gaining traction in data-rich situations. However, these techniques are less proven in sparse-data environments, and at present are more the subject of research than application. Typical implementations of ML and AI require a cross-disciplinary decision engine that, once “trained,” can cognitively respond to changes in input. The key to successful training is to a) have a defined decision-basis (answer-key), and/or b) facilitate sufficient learning, both of which require ample data (observability) and ample time for the machine to develop a logical outcome. Much research has been focused on developing decision algorithms using various logical formulations, dimensionality reductions, neural techniques, and learning reinforcements for tasks that traditionally require human intelligence. What is missing in most current research streams are implementations of ML and AI for decisions that are fundamentally rooted in human intuition and empathy, e.g., situations in which the decision requires a holistic view and the outcome is based on a qualitative judgement based on context and fact. This paper is intended to benefit a wide range of readers considering Artificial Intelligence, from the merely curious to “techies” from other disciplines to experienced practitioners and researchers. Using a qualitative/ characteristics base perspective of data and AI, we examine defense industry procurement, operational, tactical, and strategic decision scenarios, then identify where AI can currently promote better informed decisions and which arenas need would benefit by letting AI technology and sophistication evolve further.","2020-03","2021-02-11 02:07:21","2021-02-11 02:07:21","","1-8","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 1095-323X","","C:\Users\esben\Zotero\storage\YB9ESVJG\9172612.html","","","artificial intelligence; learning (artificial intelligence); ML; AI; neural nets; human intelligence; ample data; ample time; answer-key; artificial Intelligence techniques; cross-disciplinary decision engine; current research streams; data-rich situations; decision algorithms; decision making; defined decision-basis; experienced practitioners; informed decisions; logical formulations; logical outcome; machine Learning; neural techniques; operational decision scenarios; real-time decision making; sparse-data environments; strategic decision scenarios; successful training; sufficient learning; tactical, decision scenarios; typical implementations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 IEEE Aerospace Conference","","","","","","","","","","","","","","",""
"CBG7D925","conferencePaper","2020","Wang, Z.","Future Challenges in the Next Generation of Voice User Interface","2020 International Conference on Computing and Data Science (CDS)","","","10.1109/CDS49703.2020.00045","","With the development of artificial intelligence technology, artificial interactions come up for providing powerful assistance to our lives. Among them, voice user interface (VUI) plays important roles in assisting the disabled and complex interaction scenarios. This paper mainly introduces the key elements and core technics in VUI. Also, future challenges will be discussed from the perspective of empathy, ethics, and accessibility. This paper serves as a summary for future study in VUI.","2020-08","2021-02-11 02:07:21","2021-02-11 02:07:21","","191-193","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\esben\Zotero\storage\R7MYADZR\9276008.html","","","artificial intelligence; ethics; empathy; accessibility; artificial intelligence technology; artificial interactions; complex interaction scenarios; core technics; Data science; disabled interaction scenarios; key elements; user interface; user interfaces; voice user interface; VUI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 International Conference on Computing and Data Science (CDS)","","","","","","","","","","","","","","",""
"TPW8YUM9","conferencePaper","2019","Chiu, K. C.","Use Text Mining to Abstract Affective Words in the Dream Log to Assist Dream Consultation","2019 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)","","","10.1109/IEEM44572.2019.8978876","","This study analyzes affective expression in dream log by text mining, guide participants focusing on the affective words in their dream log to release their emotions. This study provided a new method for exploring the correlation between dream and stress in psychology research area, and improved the application of knowledge management by text mining for dream log. The results show that teacher or counselor can improve their consultation by feeling empathy with the affective words in the dream log those emotions be ignored in previously consultation but picked from dream log by artificial intelligence.","2019-12","2021-02-11 02:07:21","2021-02-11 02:07:21","","1516-1520","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2157-362X","","C:\Users\esben\Zotero\storage\QQLZFV4Z\8978876.html","","","artificial intelligence; Artificial Intelligence; data mining; Dream Consultation; Knowledge Management; Text Mining; psychology; abstract affective words; affective expression; behavioural sciences computing; dream consultation; dream log; Semantic Analytics; text analysis; text mining","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)","","","","","","","","","","","","","","",""
"EAFXY2C5","conferencePaper","2014","Majot, A. M.; Yampolskiy, R. V.","AI safety engineering through introduction of self-reference into felicific calculus via artificial pain and pleasure","2014 IEEE International Symposium on Ethics in Science, Technology and Engineering","","","10.1109/ETHICS.2014.6893398","","In the 18th century the Utilitarianism movement produced a morality system based on the comparative pain and pleasure that an action created. Called felicific calculus, this system would judge an action to be morally right or wrong based on several factors like the amount of pleasure it would provide and how much pain the action would inflict upon others. Because of its basis as a type of “moral mathematics” felicific calculus may be a viable candidate as a working ethical system for artificial intelligent agents. This paper examines the concepts of felicific calculus and Utilitarianism in the light of their possible application to artificial intelligence, and proposes methods for its adoption in an actual intelligent machine. In order to facilitate the calculations necessary for this moral system, novel approaches to synthetic pain, pleasure, and empathy are also proposed.","2014-05","2021-02-11 02:07:21","2021-02-11 02:07:21","","1-6","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\esben\Zotero\storage\7U4WB6YD\6893398.html","","","learning (artificial intelligence); Ethics; Artificial intelligence; Computers; Concept Learning; Intelligent Agents; Machine Learning; Perceptual Reasoning; AI safety engineering; artificial intelligent agents; artificial pain; artificial pleasure; calculus; Calculus; felicific calculus; moral mathematics; morality system; Pain; Philosophical Foundations; Safety; self-reference; Senior citizens; utilitarianism movement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014 IEEE International Symposium on Ethics in Science, Technology and Engineering","","","","","","","","","","","","","","",""
"ZGUSU9B3","conferencePaper","2015","Headleand, C. J.; Jackson, J.; Priday, L.; Teahan, W.; Cenydd, L. A.","Does the Perceived Identity of Non-player Characters Change How We Interact with Them?","2015 International Conference on Cyberworlds (CW)","","","10.1109/CW.2015.35","","Although there have been studies demonstrating that users will respond favorably to synthetic companions and team-mates in computer games, there has been little research into how a player's behavior may change when a known non-player character (NPC) assumes a human identity or persona. This is a common scenario in modern computer games, where players interact with NPCs assuming the guise of human characters. To explore this question, an online game was developed in which a human player had a primary objective of surviving against increasingly difficult waves of enemies. As a secondary objective, the player was tasked with protecting an unarmed NPC companion which assumed either a human, or non-human identity, but with identical underlying Artificial Intelligence. The intention was to explore whether the human player would be more or less protective of a synthetic companion simply due to the identity assumed. The results of the study demonstrate that player's behavior does change based on identity, and clearly indicates that the player was more protective of the companion assuming a human identity. Furthermore, the results show that this phenomenon extends beyond simple human and non-human identities, and that the specific persona, or gender of the NPC may influence the player's empathy towards it.","2015-10","2021-02-11 02:07:21","2021-02-11 02:07:21","","145-152","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\esben\Zotero\storage\D8PIUTPC\7398406.html","","","artificial intelligence; Visualization; Artificial intelligence; Computers; Robots; behavioural sciences computing; Ash; Avatars; CASA; computer games; Games; Games AI; Human Agent Interaction; Identity; nonplayer character perceived identity; NPC; online game; player behavior; unarmed NPC companion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015 International Conference on Cyberworlds (CW)","","","","","","","","","","","","","","",""
"PJ4BZJVQ","conferencePaper","2019","Das, A. K.; Ashrafi, A.; Ahmmad, M.","Joint Cognition of Both Human and Machine for Predicting Criminal Punishment in Judicial System","2019 IEEE 4th International Conference on Computer and Communication Systems (ICCCS)","","","10.1109/CCOMS.2019.8821655","","Thousands of research have been taking place to develop advanced Artificial Intelligence System which can't only perform faster but also predict better than human. But a human has some qualities which can never be gained by a machine like creativity, empathy, sensing, and critical thinking. By aggregating the best sides of both, a novel paradigm for the judicial system can be anticipated. For this purpose, we prepare a dataset both from an online survey (n=103) and interviews conducted in Bangladesh on cases related to `Women and Children Repression Prevention Act, 2000'. We apply several machine learning algorithms to make a machine that can predict punishment like a judge and calculate both the test accuracy and the predictive power of the models to observe which algorithm performs better and stable than the others. Even human can guide machine for judging a delinquent.","2019-02","2021-02-11 02:07:21","2021-02-11 02:07:21","","36-40","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\esben\Zotero\storage\489Y55XX\8821655.html","","","learning (artificial intelligence); Task analysis; Decision making; cognition; Law; Case; Human Guided; Judge; Judicial System; Machine learning Framework; Predict Punishment; advanced artificial intelligence system; criminal punishment prediction; Forecasting; judicial system; law administration; Machine intelligence; machine learning algorithms; Machine learning algorithms; Predictive models; Women and Children Repression Prevention Act 2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 IEEE 4th International Conference on Computer and Communication Systems (ICCCS)","","","","","","","","","","","","","","",""
"CCJN75SK","conferencePaper","2017","Restrepo, E. G. y; Boticario, J. G.","Responsive and responsible higher education through advanced technology Accessibility, empathy and diversity the keys of our future","2017 International Conference on Engineering, Technology and Innovation (ICE/ITMC)","","","10.1109/ICE.2017.8280067","","This paper explores the unexpected but fundamental relationship among the strategy defined for the Educational and Professional Development and Support Centres, results from the ACACIA European project, and the future of artificial intelligence. The purpose of this analysis is reducing their respective bias and improving their acuity. The lack of empathy detected by several studies among current young population along with non-inclusive design tendencies of current and upcoming intelligent systems give rise to a problem that we must tackle as soon as possible if we want to achieve a more inclusive society.","2017-06","2021-02-11 02:07:21","2021-02-11 02:07:21","","1552-1558","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\esben\Zotero\storage\KL8B7BY3\8280067.html","","","artificial intelligence; Education; Artificial Intelligence; Empathy; Accessibility; Diversity; ACACIA European project; Afective computing; Assistive technology; Cultural differences; Economics; educational institutions; further education; Gesture recognition; higher education; intelligent systems; Intelligent systems; noninclusive design tendencies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017 International Conference on Engineering, Technology and Innovation (ICE/ITMC)","","","","","","","","","","","","","","",""
"3AFCZK2M","conferencePaper","2013","Kwak, S. S.; Kim, Y.; Kim, E.; Shin, C.; Cho, K.","What makes people empathize with an emotional robot?: The impact of agency and physical embodiment on human empathy for a robot","2013 IEEE RO-MAN","","","10.1109/ROMAN.2013.6628441","","As empathy is important for the emotional interaction between a human and a robot, the design factors which induce human empathy toward robots need to be explored. Human empathy toward a robot can be affected by the presence of a robot. Thus, we focused on the levels of agency and the physical embodiment of a robot, which are influential factors pertaining to social presence, by executing two experiments. In the first experiment, in a 2 (levels of agency: mediated vs. simulated) between-participants experiment, participants interacted with either a mediated robot which delivers the emotional state of a remote user or a simulated robot which expresses its own emotion. Participants empathized more with the mediated robot than with the simulated robot, demonstrating that the proper form of an emotional robot is as a mediator during emotional interaction between people. In the second study, in a 2 (physical embodiment: physically embodied vs. physically disembodied) between-participants experiment design, participants interacted with either a physically embodied robot or a physically disembodied robot. The results showed that participants empathized more with a physically embodied robot than with a physically disembodied robot, indicating the impact of physical embodiment on human empathy. Implications for the design of human-robot interactions are discussed.","2013-08","2021-02-11 03:17:10","2021-02-11 03:17:10","","180-185","","","","","","What makes people empathize with an emotional robot?","","","","","","","","","","","","IEEE Xplore","","ISSN: 1944-9437","","C:\Users\esben\Zotero\storage\SG9A724T\6628441.html","","","robots; human robot interactions; Educational institutions; Human-robot interaction; Conferences; Emotion recognition; emotional interaction; emotional robot; emotional state; Face; human computer interaction; human empathy; mediated robot; physical embodiment; Service robots; simulated robot; social presence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013 IEEE RO-MAN","","","","","","","","","","","","","","",""
