"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HYDG2VHV","journalArticle","2019","Devchand, Pallavi R.","Well. From Artificial Intelligence to Empathy?","Nuclear Receptor Research","","2314-5714","10.32527/2019/101436","http://www.kenzpub.com/journals/nurr/2019/101436/","","2019-03-30","2021-02-11 01:06:30","2021-02-11 01:06:30","2021-02-11 01:06:30","","","","6","","","","","","","","","","en","","","","","www.kenzpub.com","","Publisher: KenzPub","","C:\Users\esben\Zotero\storage\DIUP9HQ4\Devchand - 2019 - Well. From Artificial Intelligence to Empathy.pdf; C:\Users\esben\Zotero\storage\VLLZK582\101436.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TERWHZR7","journalArticle","2019","Boechat, Cid","INTELIGÊNCIA ARTIFICIAL, EMPATIA E INCLUSÃO: UM PROBLEMA DE DESIGN","Ergodesign &amp; HCI","","2317-8876","10.22570/ergodesignhci.v7iEspecial.1306","http://periodicos.puc-rio.br/index.php/revistaergodesign-hci/article/view/1306","Resumo 					 Pessoas já têm questões cruciais de suas vidas decididas por algoritmos matemáticos (avaliação de aprendizagem, concessão de pensões ou monitoramento de produtividade no trabalho, por exemplo). Este artigo questiona: como é a interação e a experiência dessas pessoas com essas ferramentas? Como ficam as questões de empatia e inclusão quando se tem decisões tomadas por máquinas?","2019-12-31","2021-02-11 01:06:55","2021-02-11 01:06:55","2021-02-11 01:06:55","51-63","","Especial","7","","","INTELIGÊNCIA ARTIFICIAL, EMPATIA E INCLUSÃO","","","","","","","pt","Copyright (c) 2019 Revista ErgodesignHCI","","","","periodicos.puc-rio.br","","Number: Especial","","C:\Users\esben\Zotero\storage\YX93YA3E\Boechat - 2019 - INTELIGÊNCIA ARTIFICIAL, EMPATIA E INCLUSÃO UM PR.pdf; C:\Users\esben\Zotero\storage\EH58K5MM\1306.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USJTWNTB","conferencePaper","2018","Kolonin, Anton","Resource-Constrained Social Evidence Based Cognitive Model for Empathy-Driven Artificial Intelligence","Artificial General Intelligence","978-3-319-97676-1","","10.1007/978-3-319-97676-1_10","","Working model of social aspects of human and non-human intelligence is required for social embodiment of artificial general intelligence systems to explain, predict and manage behavioral patterns in multi-agent communities. For this purpose, we propose implementation of resource-constrained social evidence based model and discuss possible implications of its application.","2018","2021-02-11 01:07:36","2021-02-11 01:07:36","","100-108","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\esben\Zotero\storage\WGMQRL9N\Kolonin - 2018 - Resource-Constrained Social Evidence Based Cogniti.pdf","","","Empathy; Artificial general intelligence; Artificial psychology; Cognitive model; Compassion; Social evidence; Social proof","Iklé, Matthew; Franz, Arthur; Rzepka, Rafal; Goertzel, Ben","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28ATHNDR","journalArticle","2020","Banerjee, Amitav","Empathy in the time of artificial intelligence: Fiction not fact may hold the key","Medical Journal of Dr. D.Y. Patil Vidyapeeth","","2589-8302","10.4103/mjdrdypu.mjdrdypu_344_19","https://www.mjdrdypv.org/article.asp?issn=2589-8302;year=2020;volume=13;issue=2;spage=97;epage=99;aulast=Banerjee;type=0","Medical Journal of Dr DY Patil Vidyapeeth, Official publication of Dr D Y Patil Vidyapeeth, Pune (Deemed to be University), Dr DY Patil Vidyapeeth Society, Pune.","2020-01-03","2021-02-11 01:07:39","2021-02-11 01:07:39","2021-02-11 01:07:39","97","","2","13","","","Empathy in the time of artificial intelligence","","","","","","","en","","","","","www.mjdrdypv.org","","Company: Medknow Publications and Media Pvt. Ltd. Distributor: Medknow Publications and Media Pvt. Ltd. Institution: Medknow Publications and Media Pvt. Ltd. Label: Medknow Publications and Media Pvt. Ltd. Publisher: Medknow Publications","","C:\Users\esben\Zotero\storage\YXLR9NAI\article.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7AJIILZ6","journalArticle","2020","Bhat, Vadisha Srinivas","Empathy in the time of artificial intelligence: Fiction not fact may hold the key","Medical Journal of Dr. D.Y. Patil Vidyapeeth","","2589-8302","10.4103/mjdrdypu.mjdrdypu_165_20","https://www.mjdrdypv.org/article.asp?issn=2589-8302;year=2020;volume=13;issue=6;spage=703;epage=704;aulast=Bhat;type=0","Medical Journal of Dr DY Patil Vidyapeeth, Official publication of Dr D Y Patil Vidyapeeth, Pune (Deemed to be University), Dr DY Patil Vidyapeeth Society, Pune.","2020-01-11","2021-02-11 01:07:41","2021-02-11 01:07:41","2021-02-11 01:07:41","703","","6","13","","","Empathy in the time of artificial intelligence","","","","","","","en","","","","","www.mjdrdypv.org","","Company: Medknow Publications and Media Pvt. Ltd. Distributor: Medknow Publications and Media Pvt. Ltd. Institution: Medknow Publications and Media Pvt. Ltd. Label: Medknow Publications and Media Pvt. Ltd. Publisher: Medknow Publications","","C:\Users\esben\Zotero\storage\CYYA997X\article.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SCVBVB3P","journalArticle","2018","Inkster, Becky; Sarda, Shubhankar; Subramanian, Vinod","An Empathy-Driven, Conversational Artificial Intelligence Agent (Wysa) for Digital Mental Well-Being: Real-World Data Evaluation Mixed-Methods Study","JMIR mHealth and uHealth","","","10.2196/12106","https://mhealth.jmir.org/2018/11/e12106","Background: A World Health Organization 2017 report stated that major depression affects almost 5% of the human population. Major depression is associated with impaired psychosocial functioning and reduced quality of life. Challenges such as shortage of mental health personnel, long waiting times, perceived stigma, and lower government spends pose barriers to the alleviation of mental health problems. Face-to-face psychotherapy alone provides only point-in-time support and cannot scale quickly enough to address this growing global public health challenge. Artificial intelligence (AI)-enabled, empathetic, and evidence-driven conversational mobile app technologies could play an active role in filling this gap by increasing adoption and enabling reach. Although such a technology can help manage these barriers, they should never replace time with a health care professional for more severe mental health problems. However, app technologies could act as a supplementary or intermediate support system. Mobile mental well-being apps need to uphold privacy and foster both short- and long-term positive outcomes. Objective: This study aimed to present a preliminary real-world data evaluation of the effectiveness and engagement levels of an AI-enabled, empathetic, text-based conversational mobile mental well-being app, Wysa, on users with self-reported symptoms of depression. Methods: In the study, a group of anonymous global users were observed who voluntarily installed the Wysa app, engaged in text-based messaging, and self-reported symptoms of depression using the Patient Health Questionnaire-9. On the basis of the extent of app usage on and between 2 consecutive screening time points, 2 distinct groups of users (high users and low users) emerged. The study used mixed-methods approach to evaluate the impact and engagement levels among these users. The quantitative analysis measured the app impact by comparing the average improvement in symptoms of depression between high and low users. The qualitative analysis measured the app engagement and experience by analyzing in-app user feedback and evaluated the performance of a machine learning classifier to detect user objections during conversations. Results: The average mood improvement (ie, difference in pre- and post-self-reported depression scores) between the groups (ie, high vs low users; n=108 and n=21, respectively) revealed that the high users group had significantly higher average improvement (mean 5.84 [SD 6.66]) compared with the low users group (mean 3.52 [SD 6.15]); Mann-Whitney P=.03 and with a moderate effect size of 0.63. Moreover, 67.7% of user-provided feedback responses found the app experience helpful and encouraging. Conclusions: The real-world data evaluation findings on the effectiveness and engagement levels of Wysa app on users with self-reported symptoms of depression show promise. However, further work is required to validate these initial findings in much larger samples and across longer periods.","2018-11-23","2021-02-11 01:07:42","2021-02-11 01:07:42","2021-02-11 01:07:42","e12106","","11","6","","","An Empathy-Driven, Conversational Artificial Intelligence Agent (Wysa) for Digital Mental Well-Being","","","","","","","EN","Unless stated otherwise, all articles are open-access distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work (""first published in JMIR mHealth and uHealth..."") is properly cited with original URL and bibliographic citation information. The complete bibliographic information, a link to the original publication on http://mhealth.jmir.org/, as well as this copyright and license information must be included.","","","","mhealth.jmir.org","","Company: JMIR mHealth and uHealth Distributor: JMIR mHealth and uHealth Institution: JMIR mHealth and uHealth Label: JMIR mHealth and uHealth Publisher: JMIR Publications Inc., Toronto, Canada","","C:\Users\esben\Zotero\storage\VQ262W6V\Inkster et al. - 2018 - An Empathy-Driven, Conversational Artificial Intel.pdf; C:\Users\esben\Zotero\storage\3ME9WWW5\e12106.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGDQMZGT","journalArticle","2020","Kerasidou, Angeliki","Artificial intelligence and the ongoing need for empathy, compassion and trust in healthcare","Bulletin of the World Health Organization","","0042-9686","10.2471/BLT.19.237198","http://www.who.int/entity/bulletin/volumes/98/4/19-237198.pdf","Empathy, compassion and trust are fundamental values of a patient-centred, relational model of health care. In recent years, the quest for greater efficiency in health care, including economic efficiency, has often resulted in the side-lining of these values, making it difficult for health-care professionals to incorporate them in practice. Artificial intelligence is increasingly being used in health care. This technology promises greater efficiency and more free time for health-care professionals to focus on the human side of care, including fostering trust relationships and engaging with patients with empathy and compassion. This article considers the vision of efficient, empathetic and trustworthy health care put forward by the proponents of artificial intelligence. The paper suggests that artificial intelligence has the potential to fundamentally alter the way in which empathy, compassion and trust are currently regarded and practised in health care. Moving forward, it is important to re-evaluate whether and how these values could be incorporated and practised within a health-care system where artificial intelligence is increasingly used. Most importantly, society needs to re-examine what kind of health care it ought to promote.","2020-04-01","2021-02-11 01:07:42","2021-02-11 01:07:42","2021-02-11 01:07:42","245-250","","4","98","","Bull. World Health Organ.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\esben\Zotero\storage\RQKJ8WKS\Kerasidou - 2020 - Artificial intelligence and the ongoing need for e.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMSSC3VY","journalArticle","2014","Potapov, Alexey; Rodionov, Sergey","Universal empathy and ethical bias for artificial general intelligence","Journal of Experimental & Theoretical Artificial Intelligence","","0952-813X","10.1080/0952813X.2014.895112","https://doi.org/10.1080/0952813X.2014.895112","Rational agents are usually built to maximise rewards. However, artificial general intelligence (AGI) agents can find undesirable ways of maximising any prior reward function. Therefore, value learning is crucial for safe AGI. We assume that generalised states of the world are valuable – not rewards themselves, and propose an extension of AIXI, in which rewards are used only to bootstrap hierarchical value learning. The modified AIXI agent is considered in the multi-agent environment, where other agents can be either humans or other ‘mature’ agents, the values of which should be revealed and adopted by the ‘infant’ AGI agent. A general framework for designing such empathic agent with ethical bias is proposed as an extension of the universal intelligence model as well. Moreover, we perform experiments in the simple Markov environment, which demonstrate feasibility of our approach to value learning in safe AGI.","2014-07-03","2021-02-11 01:07:45","2021-02-11 01:07:45","2021-02-11 01:07:45","405-416","","3","26","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/0952813X.2014.895112","","C:\Users\esben\Zotero\storage\4ZKW4TQN\Potapov and Rodionov - 2014 - Universal empathy and ethical bias for artificial .pdf; C:\Users\esben\Zotero\storage\BTHJBAYJ\0952813X.2014.html","","","empathy; AIXI; multi-agent environment; representations; safe AGI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C7DH8YG6","journalArticle","2020","Yalçın, Özge Nilay; DiPaola, Steve","Modeling empathy: building a link between affective and cognitive processes","Artificial Intelligence Review","","1573-7462","10.1007/s10462-019-09753-0","https://doi.org/10.1007/s10462-019-09753-0","Computational modeling of empathy has recently become an increasingly popular way of studying human relations. It provides a way to increase our understanding of the link between affective and cognitive processes and enhance our interaction with artificial agents. However, the variety of fields contributing to empathy research has resulted in isolated approaches to modeling empathy, and this has led to various definitions of empathy and an absence of common ground regarding underlying empathic processes. Although this diversity may be useful in that it allows for an in-depth examination of various processes linked to empathy, it also may not yet provide a coherent theoretical picture of empathy. We argue that a clear theoretical positioning is required for collective progress. The aim of this article is, therefore, to call for a holistic and multilayered view of a model of empathy, taken from the rich background research from various disciplines. To achieve this, we present a comprehensive background on the theoretical foundations, followed by the working definitions, components, and models of empathy that are proposed by various fields. Following this introduction, we provide a detailed review of the existing techniques used in AI research to model empathy in interactive agents, focusing on the strengths and weaknesses of each approach. We conclude with a discussion of future directions in this emerging field.","2020-04-01","2021-02-11 01:07:45","2021-02-11 01:07:45","2021-02-11 01:07:45","2983-3006","","4","53","","Artif Intell Rev","Modeling empathy","","","","","","","en","","","","","Springer Link","","","","C:\Users\esben\Zotero\storage\V73B9B4I\Yalçın and DiPaola - 2020 - Modeling empathy building a link between affectiv.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6S45C9P","journalArticle","2011","Boukricha, Hana; Wachsmuth, Ipke","Empathy-Based Emotional Alignment for a Virtual Human: A Three-Step Approach","KI - Künstliche Intelligenz","","1610-1987","10.1007/s13218-011-0109-8","https://doi.org/10.1007/s13218-011-0109-8","Allowing virtual humans to align to others’ perceived emotions is believed to enhance their cooperative and communicative social skills. In our work, emotional alignment is realized by endowing a virtual human with the ability to empathize. Recent research shows that humans empathize with each other to different degrees depending on several factors including, among others, their mood, their personality, and their social relationships. Although providing virtual humans with features like affect, personality, and the ability to build social relationships, little attention has been devoted to the role of such features as factors modulating their empathic behavior. Supported by psychological models of empathy, we propose an approach to model empathy for the virtual human EMMA—an Empathic MultiModal Agent—consisting of three processing steps: First, the Empathy Mechanism by which an empathic emotion is produced. Second, the Empathy Modulation by which the empathic emotion is modulated. Third, the Expression of Empathy by which EMMA’s multiple modalities are triggered through the modulated empathic emotion. The proposed model of empathy is illustrated in a conversational agent scenario involving the virtual humans MAX and EMMA.","2011-05-19","2021-02-11 01:07:46","2021-02-11 01:07:46","2021-02-11 01:07:46","195","","3","25","","Künstl Intell","Empathy-Based Emotional Alignment for a Virtual Human","","","","","","","en","","","","","Springer Link","","","","C:\Users\esben\Zotero\storage\FBHIZ23Q\Boukricha and Wachsmuth - 2011 - Empathy-Based Emotional Alignment for a Virtual Hu.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
