Title,Citations,Type of publication,Journal/conference name,Year,Country (funding affiliation),Field(s),"Meets inclusion criteria (contains methods/study/model, is not a survey, implements empathetic AI)",Out-of-scope (0),NOTES,Domain,Category,Hypothesis,Context dependence,NOTES,Definition used (NOT systematic),Definition implemented,Domain of empathy,Study design,Measurement method,Studying human's  or robot's response?,NOTES,Modalities,Quantity of data,NOTES,Embodiment,Application space,Approach,Definition,Domain,NOTES,Methodology,Control group,Treatment group,Subject handling,NOTES,Type of baseline,Performance metric,Validation procedure,Statistical testing,Comparison of results,NOTES,Dataset,Code,NOTES
Ethical and technical aspects of emotions to create empathy in medical machines,14,bookChapter,"Intelligent Systems, Control and Automation: Science and Engineering",2015,ES;JP,,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Evolving Artificial Pain from Fault Detection through Pattern Data Analysis,1,conferencePaper,2017 IEEE INTERNATIONAL CONFERENCE ON REAL-TIME COMPUTING AND ROBOTICS (RCAR),2017,ID,,1,,Country=appreciation to department at Indonesian university,,,,,,none,pain,behavioral threshold,pain study ,behavioral threshold,h,"A pain study is a specific type of psychological experiment with a standard design - pain vs no pain conditions; behavioral threshold = scalar measure of behavioral response (e.g., how badly would you hurt the robot?)",,,,NAO Robot,HRI,Causal reasoning,Thresholds,behavioral threshold,Develop underlying tech (concept of pain) to ground empathy,,,,,,,,,,,,0,0,
EmotoTent: Reducing School Violence through Embodied Empathy Games,4,conferencePaper,PROCEEDINGS OF ACM INTERACTION DESIGN AND CHILDREN (IDC 2019),2019,,biosensing; children; embodied learning; Empathy; experiential learning; holographic environments; mind-body interaction; robotic agents,0,, ,,,,,,,,,,,,,,,,Tent / wearables,Therapy,,,,"Not an implementation, more or less an environment for therapy facilitation",,,,,,,,,,,,0,0,
Empirical Study of Humor Support in Social Human-Robot Interaction,9,conferencePaper,"DISTRIBUTED, AMBIENT AND PERVASIVE INTERACTIONS, (DAPI 2016)",2016,FR,,1,,Country=authors,,,,,,none,emotional empathy,humor,social interaction,"questionnaire, behavioral observation",h,,,,,NAO Robot,HRI,Wizard of Oz,-,-,Non an implementation of empathy,,,,,,,,,,,,0,0,
The Effects of Cognitive Biases in Long-Term Human-Robot Interactions: Case Studies Using Three Cognitive Biases on MARC the Humanoid Robot,2,conferencePaper,"SOCIAL ROBOTICS, (ICSR 2016)",2016,UK,Cognitive bias in robot; Human-robot interaction; Human-robot long-term interactions; Imperfect robot,1,,Country=author,,,,,,none,prosociality,verbal cues,social interaction,questionnaire ,h,,,,,MARC Humanoid Robot,HRI,Wizard of Oz,,,Implementation of imperfect robot behavior to study empathy gap bias.,,,,,,,,,,,,0,0,
Digital empathy secures Frankenstein’s monster,4,conferencePaper,CEUR Workshop Proceedings,2019,EU,,0,, ,,,,,,,,,,,,,,,,,Medicine,,,,Not an implementation / Review paper,,,,,,,,,,,,0,0,
Predicting Future Alleviation of Mental Illness in Social Media: An Empathy-Based Social Network Perspective,0,conferencePaper,"2019 IEEE Intl Conf on Parallel Distributed Processing with Applications, Big Data Cloud Computing, Sustainable Computing Communications, Social Computing Networking (ISPA/BDCloud/SocialCom/SustainCom)",2019,CN,,1,,Country=authors,,,,,,descriptions but no definition,"emotional empathy, informational empathy",verbal cues,social interaction,machine learning,h,,,,,None / Text,Medicine / Psychology / NLP,"Word2vec / Doc2vec / NB, LR, RBF/SVM RF",,,Detection of mental illness in Social Media,,,,,,,,,,,,0,0,
Helper's High with a Robot Pet,0,conferencePaper,Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction,2021,UK,,1,,Country=authors,,,,,,none,emotional empathy,verbal cues,social interaction,"questionnaires, interview",h,,,,,Vector Robot,HRI,Not specified,,,Robot behavior to elicit an empathy response from the participants towards the robot,,,,,,,,,,,,0,0,
Facial Expression of Social Interaction Based on Emotional Motivation of Animal Robot,4,conferencePaper,"2015 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS (SMC 2015): BIG DATA ANALYTICS FOR HUMAN-CENTRIC SYSTEMS",2015,JP,CBA; component; Facial Expression Recognition; Human-Robot Interactio; Social Robot,1,, ,,,,,,none,emotional empathy,"facial expression, mirroring",social interaction,"features analysis, behavior modelling",h,,,,,Conbe Robot,HRI,Cognitive Architecture / TopoART + CLM,,,Implements some form of facial emotion recognition and tries to generate eye expressions in relation to the detected facial expression which is deemed empathetic,,,,,,,,,,,,0,0,
Learning Empathy-Driven Emotion Expressions using Affective Modulations,12,conferencePaper,2018 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS (IJCNN),2018,DE,,1,, ,,,,,,descriptions but no definition,emotional empathy,"facial expression, emotional cues","behavior modelling, machine learning",behavioral observation,R,This paper IS trying to teach AI empathy,,,,NICO Robot,HRI,Perception: CNN; GWRs for Mood and Affective Memory modeling,,,Implements some form of facial emotion recognition and tries to generate facial expressions (eyebrows and mouth) in relation to the detected facial expression which is deemed empathetic,,,,,,,,,,,,0,0,
Prompting Prosocial Human Interventions in Response to Robot Mistreatment,6,conferencePaper,PROCEEDINGS OF THE 2020 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION (HRI `20),2020,US,Human-robot interaction; prosocial behavior; robot abuse,1,,Country=authors,,,,,,none,"prosociality, pain","emotional cues, behavioral threshold, group behavior",social interaction,"features analysis, behavior modelling",h,,,,,Cozmo Robot,HRI,Not specified,,,Studies bystander behavior to elicit empathetic response from a human towards a mistreated robot,,,,,,,,,,,,0,0,
